bin,d,share,share2,share3,share4,sharenext
-0.0525,0,-0.0549999997,0.003025,-0.000166375,9.1506e-06,0.3807
-0.2375,0,-0.238499999,0.0568822495,-0.0135664165,0.0032355903,0.538
0.0775,1,0.0759999976,0.0057759996,0.000438976,3.33622e-05,0.551
0.1825,1,0.1812999994,0.0328696898,0.0059592747,0.0010804165,0.5632
0.1275,1,0.1263000071,0.0159516918,0.0020146988,0.0002544565,0.5475
-0.0225,0,-0.0243999995,0.00059536,-1.45268e-05,3.545e-07,0.3275
0.0475,1,0.0463999994,0.0021529599,9.98973e-05,4.6352e-06,0.5037
-0.0875,0,-0.0883999988,0.0078145598,-0.0006908071,6.10673e-05,0.3911
-0.2175,0,-0.2178000063,0.0474368427,-0.0103317446,0.002250254,0.2636
-0.0675,0,-0.0666999966,0.0044488895,-0.0002967409,1.97926e-05,0.5205
0.0625,1,0.0612999983,0.0037576898,0.0002303464,1.41202e-05,0.4988
0.1725,1,0.1748999953,0.0305900084,0.0053501923,0.0009357486,0.4768
-0.0125,0,-0.0121999998,0.00014884,-1.8158e-06,2.22e-08,0.3771
-0.2475,0,-0.2458000034,0.0604176417,-0.0148506565,0.0036502914,0.5107
0.1375,1,0.1366000026,0.0186595607,0.002548896,0.0003481792,0.642
-0.0075,0,-0.0070000002,4.9e-05,-3.43e-07,2.4e-09,0.3959
-0.0025,0,-0.0044999998,2.025e-05,-9.11e-08,4e-10,0.4855
-0.0225,0,-0.0200999994,0.00040401,-8.1206e-06,1.632e-07,0.3855
-0.2275,0,-0.2290000021,0.052441001,-0.0120089893,0.0027500586,0.5604
0.1225,1,0.1208000034,0.0145926408,0.0017627911,0.0002129452,0.5398
0.1025,1,0.1004000008,0.0100801602,0.0010120481,0.0001016096,0.5197
0.0475,1,0.0489999987,0.0024009999,0.000117649,5.7648e-06,0.4975
-0.0025,0,-0.0011,1.21e-06,-1.3e-09,0.0,0.5038
0.0525,1,0.0515000001,0.00265225,0.0001365909,7.0344e-06,0.5662
0.1325,1,0.1324999928,0.0175562481,0.0023262027,0.0003082218,0.5916
-0.0025,0,-0.0035999999,1.296e-05,-4.67e-08,2e-10,0.4262
-0.1475,0,-0.1474999934,0.0217562481,-0.0032090464,0.0004733343,0.358
0.0925,1,0.0942000002,0.00887364,0.0008358969,7.87415e-05,0.6322
-0.0375,0,-0.0379000008,0.0014364101,-5.44399e-05,2.0633e-06,0.5532
0.1075,1,0.1062999964,0.0112996892,0.0012011569,0.000127683,0.6033
0.2425,1,0.2400999963,0.0576480082,0.0138412866,0.0033232929,0.5676
0.1375,1,0.1351999938,0.0182790383,0.0024713259,0.0003341232,0.5571
0.1125,1,0.1141000018,0.0130188104,0.0014854463,0.0001694894,0.6421
-0.0975,0,-0.0996999964,0.0099400893,-0.0009910269,9.88054e-05,0.2149
0.0475,1,0.0494999997,0.00245025,0.0001212874,6.0037e-06,0.7194
-0.1425,0,-0.1436000019,0.0206209606,-0.00296117,0.000425224,0.3109
-0.1125,0,-0.1116999984,0.0124768896,-0.0013936686,0.0001556728,0.3599
-0.1125,0,-0.1106000021,0.0122323605,-0.0013528991,0.0001496306,0.3118
0.0525,1,0.0548,0.00300304,0.0001645666,9.0182e-06,0.7172
0.0975,1,0.0973000005,0.0094672901,0.0009211673,8.96296e-05,0.5464
0.1925,1,0.1926999986,0.0371332895,0.0071555848,0.0013788812,0.6122
0.2225,1,0.2243999988,0.0503553595,0.0112997426,0.0025356622,1.0
0.2225,1,0.2221000046,0.049328412,0.0109558405,0.0024332922,0.7175
0.2025,1,0.2012999952,0.0405216881,0.0081570156,0.0016420072,0.3766
0.1125,1,0.1108999997,0.0122988099,0.001363938,0.0001512607,1.0
-0.1025,0,-0.1044000015,0.0108993603,-0.0011378932,0.0001187961,0.5315
0.0775,1,0.0762000009,0.0058064401,0.0004424507,3.37147e-05,0.5696
0.1825,1,0.1835000068,0.0336722525,0.0061788586,0.0011338206,0.5694
0.1425,1,0.1425999999,0.02033476,0.0028997368,0.0004135025,0.5943
0.1875,1,0.1886000037,0.0355699614,0.0067084949,0.0012652222,0.6379
0.2175,1,0.2189999968,0.0479609986,0.0105034585,0.0023002574,0.5433
0.1625,1,0.1612000018,0.0259854406,0.0041888531,0.0006752431,0.5207
0.0425,1,0.0414999984,0.0017222499,7.14734e-05,2.9661e-06,1.0
-0.2075,0,-0.2081999928,0.043347237,-0.0090248944,0.001878983,0.367
0.2125,1,0.2127999961,0.0452838384,0.0096364006,0.002050626,0.6731
0.2425,1,0.240199998,0.057696039,0.0138585885,0.0033288329,0.6597
0.0675,1,0.0671000034,0.0045024105,0.0003021118,2.02717e-05,1.0
0.1325,1,0.134800002,0.0181710405,0.0024494563,0.0003301867,0.5376
0.0775,1,0.0751999989,0.0056550398,0.000425259,3.19795e-05,0.5082
-0.0325,0,-0.0311999992,0.0009734399,-3.03713e-05,9.476e-07,0.4823
0.0025,1,0.0013,1.69e-06,2.2e-09,0.0,0.5457
-0.0225,0,-0.0207000002,0.00042849,-8.8697e-06,1.836e-07,0.4611
0.0625,1,0.0639000013,0.0040832102,0.0002609171,1.66726e-05,0.5478
0.0975,1,0.0957000032,0.0091584906,0.0008764676,8.3878e-05,0.6636
-0.1325,0,-0.1333999932,0.0177955582,-0.0023739273,0.0003166819,0.4131
-0.1325,0,-0.1316000074,0.017318562,-0.0022791229,0.0002999326,0.3891
-0.2225,0,-0.2217999995,0.0491952398,-0.0109115042,0.0024201716,0.4531
-0.0925,0,-0.0938000008,0.0087984402,-0.0008252937,7.74125e-05,0.4429
-0.0125,0,-0.0131999999,0.00017424,-2.3e-06,3.04e-08,0.4704
-0.0575,0,-0.0593000017,0.0035164902,-0.0002085279,1.23657e-05,0.4782
-0.0425,0,-0.0436000004,0.00190096,-8.28819e-05,3.6136e-06,0.4178
-0.0225,0,-0.0219999999,0.000484,-1.0648e-05,2.343e-07,0.3263
-0.2225,0,-0.2229000032,0.0496844114,-0.0110746555,0.0024685407,0.3938
0.1125,1,0.1142000034,0.0130416408,0.0014893554,0.0001700844,0.6511
0.1275,1,0.1261000037,0.0159012109,0.0020051428,0.0002528485,0.7006
-0.1925,0,-0.1924999952,0.0370562482,-0.0071333276,0.0013731655,0.45
-0.1025,0,-0.1001000032,0.0100200106,-0.0010030031,0.0001004006,0.0
-0.1325,0,-0.1312000006,0.0172134402,-0.0022584034,0.0002963025,0.3733
-0.1575,0,-0.1598999947,0.0255680083,-0.0040883244,0.000653723,0.4438
-0.1125,0,-0.112499997,0.0126562493,-0.001423828,0.0001601806,0.5351
0.0725,1,0.070100002,0.0049140103,0.0003444721,2.41475e-05,0.5853
-0.2275,0,-0.2275000066,0.051756253,-0.0117745479,0.0026787097,0.3526
-0.2425,0,-0.240199998,0.057696039,-0.0138585885,0.0033288329,0.3762
-0.2475,0,-0.2477000058,0.0613552929,-0.0151977064,0.003764472,0.3896
-0.2225,0,-0.2207999974,0.0487526389,-0.0107645825,0.0023768198,0.3969
-0.1175,0,-0.1159000024,0.0134328106,-0.0015568628,0.0001804404,0.4248
-0.0025,0,-0.0043000001,1.849e-05,-7.95e-08,3e-10,0.426
-0.1475,0,-0.1480000019,0.0219040006,-0.0032417921,0.0004797852,0.4104
-0.1725,0,-0.1740999967,0.0303108088,-0.0052771117,0.0009187451,0.4345
0.0275,1,0.0270000007,0.000729,1.9683e-05,5.314e-07,0.4377
-0.1225,0,-0.1246000007,0.0155251602,-0.001934435,0.0002410306,0.3663
0.0425,1,0.0427000001,0.00182329,7.78545e-05,3.3244e-06,0.6804
-0.1775,0,-0.1782999933,0.0317908876,-0.005668315,0.0010106605,0.4365
-0.1275,0,-0.1271000057,0.0161544115,-0.0020532258,0.000260965,0.3969
-0.2075,0,-0.2063000053,0.0425596922,-0.0087800647,0.0018113274,0.4476
-0.0325,0,-0.0342000015,0.0011696401,-4.00017e-05,1.3681e-06,0.3315
-0.1575,0,-0.1564999968,0.024492249,-0.0038330369,0.0005998703,0.3554
-0.2075,0,-0.2083999962,0.0434305584,-0.0090509282,0.0018862134,0.3403
-0.1725,0,-0.1711000055,0.0292752119,-0.0050089889,0.000857038,0.3969
-0.0025,0,-0.0024000001,5.76e-06,-1.38e-08,0.0,0.3312
-0.2125,0,-0.2107000053,0.0443944922,-0.0093539197,0.0019708709,0.3187
-0.1425,0,-0.1425999999,0.02033476,-0.0028997368,0.0004135025,0.5269
-0.0525,0,-0.0549000017,0.0030140102,-0.0001654692,9.0843e-06,0.435
-0.0725,0,-0.0703999996,0.0049561599,-0.0003489137,2.45635e-05,0.4477
0.2425,1,0.2404000014,0.0577921607,0.0138932355,0.0033399338,0.6315
0.1825,1,0.1826000065,0.0333427624,0.0060883886,0.0011117398,0.5577
0.1175,1,0.1154000014,0.0133171603,0.0015368003,0.0001773468,0.6285
0.1375,1,0.1357000023,0.0184144906,0.0024988464,0.0003390935,0.6037
0.2175,1,0.2190999985,0.0480048093,0.0105178537,0.0023044617,0.6095
0.2225,1,0.2248000056,0.0505350425,0.0113602778,0.0025537905,0.6761
0.1525,1,0.1542000026,0.0237776408,0.0036665123,0.0005653762,0.4437
-0.1125,0,-0.1127000004,0.0127012901,-0.0014314354,0.0001613228,0.4484
0.0825,1,0.0829999968,0.0068889995,0.0005717869,4.74583e-05,0.6942
0.1925,1,0.1931000054,0.0372876121,0.0072002381,0.001390366,0.6078
0.2125,1,0.2101999968,0.0441840387,0.0092874848,0.0019522293,0.5221
0.0425,1,0.0441999994,0.0019536399,8.63509e-05,3.8167e-06,0.633
0.2225,1,0.2248000056,0.0505350425,0.0113602778,0.0025537905,0.6613
0.0525,1,0.0522000007,0.0027248401,0.0001422367,7.4248e-06,0.4469
-0.2225,0,-0.2233999968,0.0499075586,-0.0111493484,0.0024907644,0.3973
-0.2175,0,-0.2159000039,0.0466128117,-0.0100637062,0.0021727542,0.2557
-0.2275,0,-0.2275000066,0.051756253,-0.0117745479,0.0026787097,0.3287
0.0275,1,0.0293000005,0.00085849,2.51538e-05,7.37e-07,0.4283
-0.1275,0,-0.1288000047,0.0165894412,-0.0021367201,0.0002752096,0.3436
-0.1275,0,-0.1292999983,0.0167184896,-0.0021617007,0.0002795079,0.326
-0.2225,0,-0.2233999968,0.0499075586,-0.0111493484,0.0024907644,0.3973
0.1725,1,0.1703999937,0.0290361578,0.0049477611,0.0008430985,0.6616
-0.0175,0,-0.0157999992,0.00024964,-3.9443e-06,6.23e-08,0.4335
0.0975,1,0.0982000008,0.0096432402,0.0009469662,9.29921e-05,0.4804
-0.0375,0,-0.0390999988,0.0015288099,-5.97765e-05,2.3373e-06,0.5023
0.0025,1,0.0046000001,2.116e-05,9.73e-08,4e-10,0.5049
0.1325,1,0.131400004,0.0172659611,0.0022687474,0.0002981134,0.4423
-0.1175,0,-0.1154000014,0.0133171603,-0.0015368003,0.0001773468,0.4133
-0.1725,0,-0.1735000014,0.0301022505,-0.0052227405,0.0009061455,0.4456
-0.0375,0,-0.0384000018,0.0014745601,-5.66231e-05,2.1743e-06,0.4117
-0.1725,0,-0.1703000069,0.0290020923,-0.0049390565,0.0008411214,0.3751
0.1725,1,0.1703999937,0.0290361578,0.0049477611,0.0008430985,0.6616
-0.0725,0,-0.0724999979,0.0052562497,-0.0003810781,2.76282e-05,0.4325
-0.0875,0,-0.0883999988,0.0078145598,-0.0006908071,6.10673e-05,0.4149
-0.1675,0,-0.1680999994,0.0282576098,-0.0047501042,0.0007984925,0.4931
-0.0075,0,-0.0094999997,9.025e-05,-8.574e-07,8.1e-09,0.4224
-0.1275,0,-0.1251000017,0.0156500104,-0.0019578163,0.0002449228,0.4625
-0.0525,0,-0.050999999,0.0026009999,-0.000132651,6.7652e-06,0.4095
-0.1725,0,-0.1708000004,0.0291726401,-0.0049826869,0.0008510429,0.3844
0.1925,1,0.1900999993,0.0361380097,0.0068698356,0.0013059557,0.701
-0.2425,0,-0.2417999953,0.0584672377,-0.0141373778,0.0034184179,0.4566
-0.0725,0,-0.0734999999,0.00540225,-0.0003970654,2.91843e-05,0.4321
0.0175,1,0.0156999994,0.00024649,3.8699e-06,6.08e-08,0.4686
-0.0475,0,-0.0467000008,0.0021808901,-0.0001018476,4.7563e-06,0.4444
-0.1075,0,-0.1081999987,0.0117072397,-0.0012667233,0.0001370595,0.4832
0.1625,1,0.1603000015,0.0256960905,0.0041190833,0.0006602891,0.6172
0.2325,1,0.2344000041,0.0549433619,0.0128787243,0.003018773,0.6643
-0.2225,0,-0.2231000066,0.0497736129,-0.0111044934,0.0024774125,0.3078
-0.1875,0,-0.1853999943,0.0343731579,-0.0063727833,0.001181514,0.3699
-0.1525,0,-0.1511999965,0.0228614389,-0.0034566495,0.0005226454,0.3468
-0.1225,0,-0.1213999987,0.0147379597,-0.0017891883,0.0002172075,0.469
0.0075,1,0.0082999999,6.889e-05,5.718e-07,4.7e-09,0.5269
0.0625,1,0.0604999997,0.00366025,0.0002214451,1.33974e-05,0.5776
0.1575,1,0.1583999991,0.0250905597,0.0039743446,0.0006295362,0.5516
0.1275,1,0.125,0.015625,0.001953125,0.0002441406,0.4993
0.0775,1,0.0751999989,0.0056550398,0.000425259,3.19795e-05,0.587
0.1725,1,0.173999995,0.0302759983,0.0052680235,0.0009166361,0.5164
0.0425,1,0.0421000011,0.0017724101,7.46185e-05,3.1414e-06,0.4909
0.2325,1,0.2301000059,0.0529460127,0.0121828778,0.0028032803,0.5216
0.1675,1,0.1671999991,0.0279558397,0.0046742164,0.000781529,0.5453
0.0925,1,0.0907000005,0.0082264901,0.0007461427,6.76751e-05,0.6299
0.1275,1,0.1265999973,0.0160275593,0.002029089,0.0002568827,0.4644
-0.0675,0,-0.0691,0.00477481,-0.0003299394,2.27988e-05,0.5835
0.2425,1,0.241899997,0.0585156085,0.0141549255,0.0034240764,0.4064
-0.2275,0,-0.2261999995,0.0511664398,-0.0115738486,0.0026180046,0.3828
-0.2275,0,-0.2284000069,0.0521665631,-0.0119148434,0.0027213503,0.3345
-0.1625,0,-0.1609999985,0.0259209995,-0.0041732809,0.0006718982,0.3837
-0.1875,0,-0.1852999926,0.0343360872,-0.0063624767,0.0011789669,0.3536
-0.1175,0,-0.1164999977,0.0135722495,-0.001581167,0.000184206,0.4125
-0.0975,0,-0.0989999995,0.0098009999,-0.000970299,9.60596e-05,0.3134
-0.1425,0,-0.1448999941,0.0209960083,-0.0030423215,0.0004408324,0.3778
0.1425,1,0.1412999928,0.019965688,0.0028211516,0.0003986287,0.485
-0.0225,0,-0.0208999999,0.00043681,-9.1293e-06,1.908e-07,0.4685
-0.0425,0,-0.0423999988,0.0017977599,-7.6225e-05,3.2319e-06,0.414
-0.1925,0,-0.1948000044,0.0379470417,-0.0073920839,0.001439978,0.3065
-0.0725,0,-0.0700000003,0.0049,-0.000343,2.401e-05,0.3969
-0.1925,0,-0.1906999946,0.0363664879,-0.006935089,0.0013225214,0.3838
-0.2175,0,-0.2197999954,0.048312038,-0.0106189857,0.002334053,0.4131
0.1325,1,0.1305000037,0.017030251,0.0022224478,0.0002900294,0.69
0.2325,1,0.230399996,0.0530841582,0.0122305898,0.0028179278,0.5053
0.2275,1,0.2283000052,0.0521208924,0.0118992,0.0027165874,0.6125
-0.1275,0,-0.1292999983,0.0167184896,-0.0021617007,0.0002795079,0.3033
-0.1975,0,-0.1960999966,0.0384552087,-0.0075410663,0.0014788031,0.3602
-0.1325,0,-0.1339000016,0.0179292104,-0.0024007213,0.0003214566,0.3359
0.0525,1,0.0524999984,0.0027562498,0.0001447031,7.5969e-06,0.5655
0.1325,1,0.1308999956,0.0171348088,0.0022429464,0.0002936017,0.5255
0.0575,1,0.0590999983,0.0034928098,0.0002064251,1.21997e-05,0.4653
-0.2075,0,-0.2084999979,0.0434722491,-0.0090639638,0.0018898364,0.4183
-0.1375,0,-0.1356000006,0.0183873602,-0.0024933261,0.000338095,0.4443
-0.0025,0,-0.0012000001,1.44e-06,-1.7e-09,0.0,0.3598
-0.0975,0,-0.0965000018,0.0093122504,-0.0008986322,8.6718e-05,0.3873
-0.2225,0,-0.2207999974,0.0487526389,-0.0107645825,0.0023768198,0.4119
-0.1675,0,-0.1691000015,0.0285948105,-0.0048353825,0.0008176632,0.5203
0.2125,1,0.2136999965,0.0456676885,0.0097591849,0.0020855378,0.6137
0.2325,1,0.2316000015,0.0536385607,0.0124226907,0.0028770952,0.6099
-0.0125,0,-0.0130000003,0.000169,-2.197e-06,2.86e-08,0.512
0.0325,1,0.0324000008,0.0010497601,3.40122e-05,1.102e-06,0.6208
-0.2425,0,-0.2449000031,0.0599760115,-0.0146881254,0.003597122,0.3282
-0.2025,0,-0.2046999931,0.0419020872,-0.008577357,0.0017557849,0.3189
-0.1525,0,-0.1543000042,0.0238084913,-0.0036736503,0.0005668443,0.416
0.0125,1,0.0109000001,0.00011881,1.295e-06,1.41e-08,0.5088
0.0175,1,0.0175999999,0.00030976,5.4518e-06,9.6e-08,0.4984
0.0125,1,0.0119000003,0.00014161,1.6852e-06,2.01e-08,0.566
-0.0875,0,-0.0876000002,0.00767376,-0.0006722214,5.88866e-05,0.3789
-0.1125,0,-0.1105000004,0.0122102501,-0.0013492326,0.0001490902,0.3833
0.1375,1,0.135800004,0.0184416411,0.0025043749,0.0003400941,0.6456
0.0475,1,0.0498999991,0.0024900099,0.0001242515,6.2001e-06,0.6101
0.1225,1,0.1224000007,0.0149817602,0.0018337675,0.0002244531,0.639
0.0175,1,0.0155999996,0.00024336,3.7964e-06,5.92e-08,0.5158
0.1525,1,0.1500999928,0.0225300078,0.003381754,0.0005076013,0.5168
0.0475,1,0.0491000004,0.00241081,0.0001183708,5.812e-06,0.5934
0.1875,1,0.1868000031,0.0348942411,0.0065182444,0.0012176081,0.6139
0.1725,1,0.174999997,0.030624999,0.0053593747,0.0009378906,0.6547
-0.1175,0,-0.115199998,0.0132710395,-0.0015288237,0.0001761205,0.3198
-0.0375,0,-0.0364000015,0.0013249601,-4.82285e-05,1.7555e-06,0.4467
-0.0625,0,-0.0612999983,0.0037576898,-0.0002303464,1.41202e-05,0.3869
-0.2075,0,-0.2099000067,0.0440580128,-0.0092477772,0.0019411085,0.453
-0.0725,0,-0.0737000033,0.0054316905,-0.0004003156,2.95033e-05,0.4773
0.0625,1,0.0640999973,0.0041088097,0.0002633747,1.68823e-05,0.2394
-0.0375,0,-0.0379999988,0.0014439999,-5.4872e-05,2.0851e-06,0.5012
0.0025,1,0.0005,2.5e-07,1e-10,0.0,0.6613
0.2075,1,0.2070000023,0.0428490009,0.0088697433,0.0018360369,0.7111
0.1475,1,0.145600006,0.0211993617,0.0030866272,0.0004494129,0.5037
0.0275,1,0.0251000002,0.00063001,1.58133e-05,3.969e-07,0.4816
-0.0375,0,-0.0368000008,0.0013542401,-4.9836e-05,1.834e-06,0.2636
-0.2225,0,-0.2229000032,0.0496844114,-0.0110746555,0.0024685407,0.3464
-0.0675,0,-0.0670000017,0.0044890002,-0.000300763,2.01511e-05,0.6285
0.2425,1,0.2437999994,0.0594384397,0.0144910916,0.0035329281,0.6973
0.0475,1,0.0467000008,0.0021808901,0.0001018476,4.7563e-06,0.6361
0.1525,1,0.1545999944,0.0239011583,0.0036951189,0.0005712654,0.5457
0.0975,1,0.0979999974,0.0096039995,0.0009411919,9.22368e-05,0.6106
0.0225,1,0.0244999994,0.00060025,1.47061e-05,3.603e-07,0.5342
-0.1475,0,-0.1492999941,0.0222904882,-0.0033279698,0.0004968659,0.5037
-0.1825,0,-0.1800999939,0.0324360078,-0.0058417248,0.0010520946,0.5222
-0.1425,0,-0.1431999952,0.0205062386,-0.0029364933,0.0004205058,0.4188
-0.0625,0,-0.061900001,0.0038316101,-0.0002371767,1.46812e-05,0.5124
0.0875,1,0.0895000026,0.0080102505,0.0007169174,6.41641e-05,0.5079
0.0175,1,0.0159000009,0.00025281,4.0197e-06,6.39e-08,0.563
-0.0625,0,-0.0601000004,0.00361201,-0.0002170818,1.30466e-05,0.4528
-0.0925,0,-0.0944000036,0.0089113607,-0.0008412325,7.94123e-05,0.3587
-0.2125,0,-0.210800007,0.0444366429,-0.0093672446,0.0019746152,0.3901
-0.0325,0,-0.0329000019,0.0010824101,-3.56113e-05,1.1716e-06,0.3414
-0.2075,0,-0.2052000016,0.0421070407,-0.0086403648,0.0017730029,0.6902
0.0425,1,0.0414000005,0.00171396,7.09579e-05,2.9377e-06,0.5706
0.1475,1,0.1468999982,0.0215796095,0.0031700446,0.0004656795,0.5486
0.0975,1,0.0971999988,0.0094478398,0.00091833,8.92617e-05,0.5635
0.0925,1,0.0939000025,0.0088172105,0.0008279361,7.77432e-05,0.6427
0.2325,1,0.2328999937,0.054242407,0.0126330563,0.0029422387,0.5576
-0.2125,0,-0.2122000009,0.0450288404,-0.00955512,0.0020275965,0.3364
-0.1675,0,-0.1667000055,0.0277888918,-0.0046324084,0.0007722225,0.3807
-0.2375,0,-0.2386000007,0.0569299604,-0.0135834886,0.0032410204,0.4558
-0.0875,0,-0.0882999972,0.0077968895,-0.0006884653,6.07915e-05,0.4589
0.0125,1,0.0137999998,0.00019044,2.6281e-06,3.63e-08,0.5026
0.0075,1,0.0051000002,2.601e-05,1.327e-07,7e-10,0.4023
-0.1175,0,-0.1182999983,0.0139948896,-0.0016555954,0.0001958569,0.5441
0.0575,1,0.0568999983,0.0032376098,0.00018422,1.04821e-05,0.5195
0.0525,1,0.0520000011,0.0027040001,0.000140608,7.3116e-06,0.5086
0.0275,1,0.0293000005,0.00085849,2.51538e-05,7.37e-07,0.4747
0.0325,1,0.0308999997,0.00095481,2.95036e-05,9.117e-07,0.5644
0.1575,1,0.1587000042,0.0251856913,0.0039969693,0.000634319,0.5721
0.1675,1,0.1659000069,0.0275228123,0.0045660347,0.0007575052,0.5329
-0.1925,0,-0.1925999969,0.0370947588,-0.0071444504,0.0013760211,0.4214
-0.1325,0,-0.1316000074,0.017318562,-0.0022791229,0.0002999326,0.3489
0.0325,1,0.0300999992,0.0009060099,2.72709e-05,8.209e-07,0.5418
-0.1375,0,-0.1391000003,0.0193488101,-0.0026914195,0.0003743765,0.4419
-0.1175,0,-0.1162,0.01350244,-0.0015689835,0.0001823159,0.4744
-0.0525,0,-0.0513000004,0.00263169,-0.0001350057,6.9258e-06,0.4492
-0.0975,0,-0.0993999988,0.0098803598,-0.0009821077,9.76215e-05,0.3205
-0.0975,0,-0.0993999988,0.0098803598,-0.0009821077,9.76215e-05,0.4419
-0.1175,0,-0.1162,0.01350244,-0.0015689835,0.0001823159,0.3245
-0.1275,0,-0.1288000047,0.0165894412,-0.0021367201,0.0002752096,0.5749
0.1675,1,0.1697999984,0.0288320395,0.0048956803,0.0008312865,0.526
0.0675,1,0.0670000017,0.0044890002,0.000300763,2.01511e-05,0.4838
-0.0775,0,-0.0782999992,0.0061308899,-0.0004800487,3.75878e-05,0.4144
-0.1725,0,-0.1712000072,0.0293094425,-0.0050177768,0.0008590434,0.437
-0.0825,0,-0.0842000023,0.0070896404,-0.0005969477,5.0263e-05,0.5418
0.1175,1,0.1159000024,0.0134328106,0.0015568628,0.0001804404,0.4988
0.0125,1,0.0126,0.00015876,2.0004e-06,2.52e-08,0.4929
-0.0125,0,-0.0141000003,0.00019881,-2.8032e-06,3.95e-08,0.4608
-0.0825,0,-0.0847000033,0.0071740906,-0.0006076455,5.14676e-05,0.4433
-0.1125,0,-0.113499999,0.0128822498,-0.0014621353,0.0001659524,0.4163
-0.1675,0,-0.1675000042,0.0280562514,-0.0046994222,0.0007871532,0.4235
0.1175,1,0.1172999963,0.0137592891,0.0016139646,0.000189318,0.6366
0.1475,1,0.1480000019,0.0219040006,0.0032417921,0.0004797852,0.568
0.0875,1,0.0898000002,0.00806404,0.0007241508,6.50287e-05,0.5685
0.1375,1,0.1369999945,0.0187689985,0.0025713527,0.0003522753,0.6356
-0.1425,0,-0.1411000043,0.0199092112,-0.0028091898,0.0003963767,0.2943
0.1975,1,0.1994999945,0.0398002478,0.0079401492,0.0015840597,0.5698
0.1775,1,0.1792999953,0.0321484883,0.0057642238,0.0010335253,0.5003
0.0025,1,0.0007,4.9e-07,3e-10,0.0,0.6114
0.2225,1,0.2228000015,0.0496398407,0.0110597566,0.0024641138,0.6068
-0.2175,0,-0.2176000029,0.0473497613,-0.0103033082,0.0022419999,0.9075
0.1375,1,0.1351000071,0.0182520119,0.0024658469,0.0003331359,0.4966
0.0675,1,0.0698999986,0.0048860098,0.0003415321,2.38731e-05,0.9189
0.0975,1,0.0974999964,0.0095062493,0.0009268593,9.03688e-05,0.5834
