price,sqft,age,pool,fireplace,close,twostory,occupied
121.9,25.14,8,0,0,0,0,1
124.0,16.81,9,0,0,0,0,0
124.9,24.78,9,0,0,0,0,1
125.0,20.02,8,0,0,0,0,0
125.0,24.54,9,0,0,0,0,1
125.9,24.19,9,0,0,0,0,1
129.9,19.7,9,0,0,0,0,0
130.0,26.15,9,0,0,0,0,0
131.4,25.54,9,0,0,0,0,0
132.5,31.31,9,0,0,0,0,0
133.3,25.05,8,0,1,0,0,0
133.9,29.37,9,0,1,0,0,1
134.0,21.32,6,0,0,0,0,0
134.0,31.81,9,0,1,0,0,0
135.0,20.94,9,0,0,0,0,1
136.0,27.53,9,0,0,0,0,0
136.5,22.94,9,0,0,0,0,1
136.9,20.94,9,0,0,0,0,1
137.0,29.52,10,0,0,0,0,0
138.0,20.0,8,0,0,0,0,0
139.0,26.39,10,0,0,0,0,0
139.0,22.46,8,0,1,0,0,1
139.0,24.43,9,0,0,0,0,0
145.0,27.94,8,0,0,0,0,1
145.0,23.49,9,1,0,0,0,0
148.5,23.99,8,0,0,0,0,1
149.0,28.45,6,0,0,0,0,0
150.0,26.35,9,0,0,0,0,0
150.0,41.5,8,0,1,0,1,1
157.0,20.74,9,0,1,0,0,1
159.0,25.12,8,1,0,0,0,0
160.0,38.0,8,0,1,0,0,0
165.0,24.8,9,1,0,0,0,0
180.0,34.86,8,0,1,0,1,0
187.0,34.22,8,0,0,0,1,0
190.0,41.27,9,0,0,0,0,0
213.0,40.9,8,1,1,0,1,1
125.0,17.61,10,0,0,0,0,0
150.0,25.39,10,0,0,0,0,0
170.0,29.63,10,0,1,0,0,1
300.0,32.8,9,0,1,0,0,0
315.0,36.69,10,0,0,0,0,1
325.0,41.54,10,0,1,0,1,1
330.0,31.12,10,0,1,0,0,1
385.0,44.41,10,1,1,0,0,1
389.43,49.8,11,0,0,0,1,0
405.0,44.02,10,0,1,0,0,0
407.0,46.06,10,0,1,0,0,1
412.0,36.13,10,1,1,0,0,1
415.0,40.48,6,0,1,0,1,1
446.5,35.11,4,0,1,0,1,1
452.5,30.31,6,0,1,0,0,1
462.5,48.5,11,0,1,0,1,0
510.0,50.5,11,0,1,0,1,0
568.0,43.29,9,0,1,0,1,1
572.0,47.24,10,0,1,0,1,1
608.0,39.83,10,0,1,0,1,1
845.0,57.25,4,0,1,0,0,1
315.0,32.65,9,1,1,0,0,0
325.0,31.87,9,0,0,0,0,0
350.0,29.93,10,0,0,0,0,1
369.9,26.76,10,0,0,0,0,1
378.0,29.44,8,0,1,0,0,1
450.0,34.3,10,0,1,0,0,1
510.0,31.21,9,1,1,0,0,1
549.9,34.72,9,0,1,0,0,0
557.5,42.14,10,0,1,0,0,1
565.0,31.21,9,0,1,0,0,0
580.0,41.45,10,0,1,0,0,1
580.0,41.45,10,0,1,0,0,1
582.0,51.25,9,0,0,0,0,1
607.0,37.43,10,0,1,0,0,1
937.5,58.17,6,0,1,0,1,1
999.0,57.69,6,1,1,0,0,1
1044.0,72.12,1,0,1,0,1,0
1050.0,58.53,10,0,0,0,0,1
1050.0,51.36,6,0,1,0,0,0
1120.0,61.5,2,0,1,0,0,1
1139.0,76.64,2,0,1,0,1,1
1300.0,70.11,10,1,1,0,0,1
1370.0,91.67,7,0,1,0,1,1
115.0,14.28,9,0,0,0,0,1
127.0,20.82,9,0,0,0,0,0
135.0,19.8,9,0,0,0,0,0
153.0,17.19,8,0,0,0,0,0
160.0,17.19,9,0,0,0,0,1
169.0,20.0,8,0,1,0,0,0
175.5,17.0,9,0,0,0,0,0
178.0,20.89,9,0,0,0,0,1
196.0,22.89,9,0,0,0,0,1
225.0,26.19,8,0,1,0,0,0
240.0,29.14,10,0,1,0,0,1
87.0,28.65,8,0,0,0,1,0
125.0,31.54,8,0,1,0,0,1
125.0,25.55,8,0,0,0,0,0
139.9,18.97,7,0,0,0,0,1
179.9,39.49,7,0,1,0,0,0
185.0,27.22,7,0,1,0,0,1
196.0,27.22,7,0,1,0,0,1
198.0,25.44,7,0,1,0,0,0
200.0,26.86,8,0,1,0,0,1
208.0,27.45,8,0,1,0,0,1
215.0,33.92,8,1,1,0,0,1
230.0,31.24,8,0,1,0,0,0
234.0,33.48,7,0,1,0,0,1
255.0,26.74,8,1,1,0,0,1
255.0,39.6,8,0,1,0,1,1
103.0,18.59,9,0,0,0,0,0
114.9,25.49,7,1,1,0,1,0
115.0,15.24,8,0,0,0,0,1
117.9,15.38,10,0,0,0,0,0
120.0,18.37,9,0,0,0,0,1
120.0,27.72,9,0,1,0,0,0
120.0,20.6,8,0,0,0,0,0
120.0,18.3,10,0,0,0,0,1
126.0,15.07,10,0,0,0,0,0
135.0,24.93,9,0,0,0,0,0
137.0,15.12,9,0,0,0,0,0
138.5,20.42,7,0,1,0,0,1
140.0,13.22,9,0,0,0,0,0
140.0,19.09,8,0,0,0,0,0
146.0,18.5,8,0,1,0,0,0
147.5,23.8,8,0,0,0,0,1
149.5,24.58,8,0,0,0,0,1
150.0,17.32,9,0,0,0,0,1
153.0,26.26,8,0,0,0,0,0
153.0,18.2,8,0,0,0,0,0
154.9,22.16,8,0,0,0,0,0
155.0,28.89,8,0,1,0,0,0
155.0,18.59,9,0,0,0,0,0
155.0,16.91,9,0,0,0,0,0
155.0,22.52,9,0,1,0,0,0
156.0,30.55,9,0,0,0,1,1
156.0,23.8,8,0,0,0,0,0
157.0,21.29,8,0,0,0,0,1
158.0,20.2,8,0,1,0,0,0
162.5,21.62,8,0,0,0,0,1
162.5,17.0,10,0,0,0,0,0
162.9,22.95,9,0,0,0,0,0
163.0,20.67,8,0,0,0,0,1
165.0,23.5,9,0,0,0,0,1
165.0,20.74,8,0,1,0,0,1
165.0,30.51,9,0,1,0,0,0
166.0,27.04,8,0,0,0,0,1
167.0,17.39,8,0,0,0,0,1
167.0,23.14,8,0,0,0,0,1
170.0,25.63,8,0,1,0,0,0
172.0,19.57,9,0,1,0,0,1
172.5,21.58,7,0,1,0,0,1
172.5,19.48,8,0,1,0,0,1
173.0,27.68,8,0,0,0,0,1
174.0,20.51,7,0,1,0,0,0
175.0,21.45,7,0,1,0,0,0
175.0,22.54,8,0,0,0,0,0
175.0,23.87,8,0,0,0,0,1
176.0,21.5,8,0,0,0,0,1
177.5,21.76,7,0,1,0,0,1
178.0,22.65,8,0,1,0,0,0
178.0,24.25,8,1,1,0,0,0
180.0,30.33,8,0,1,0,0,0
183.0,20.0,7,0,1,0,0,1
183.0,21.68,7,0,0,0,0,0
183.9,21.85,8,0,0,0,0,1
185.0,24.72,8,0,1,0,0,1
185.0,19.04,9,0,0,0,0,1
185.0,25.79,8,0,1,0,0,1
185.0,26.36,8,0,1,0,0,0
185.5,33.18,8,0,1,0,0,1
187.5,26.37,8,0,1,0,0,1
188.0,23.36,7,0,1,0,0,0
188.0,21.68,8,0,0,0,0,1
189.0,21.4,9,1,1,0,0,0
189.5,26.52,7,1,1,0,0,1
194.6,31.13,8,0,0,0,0,1
195.0,22.53,8,0,1,0,0,1
195.0,25.8,9,0,0,0,0,1
195.5,26.25,7,0,1,0,0,0
196.5,30.0,7,0,1,0,0,0
197.0,30.03,9,0,1,0,0,1
199.0,30.27,8,0,1,0,0,0
202.0,26.8,9,1,0,0,0,1
202.0,35.97,8,0,1,0,0,0
203.5,24.55,9,0,1,0,0,1
204.0,17.68,8,0,1,0,0,0
204.0,28.88,8,0,1,0,0,1
214.0,30.24,8,0,0,0,0,1
215.0,24.97,8,0,0,0,0,1
215.0,25.98,8,0,0,0,0,0
216.0,28.88,7,1,0,0,0,1
219.9,25.87,8,0,0,0,0,1
220.0,24.97,8,0,1,0,0,1
229.9,28.88,7,1,0,0,0,0
230.0,25.22,5,0,1,0,0,1
230.0,29.07,5,0,1,0,0,1
232.0,27.87,5,0,1,0,0,1
235.0,25.75,5,0,1,0,0,1
235.0,27.9,5,0,0,0,0,1
240.0,24.18,4,0,1,0,0,1
242.0,31.41,8,0,1,0,0,1
245.0,28.2,4,0,1,0,0,1
245.0,26.72,4,0,1,0,0,1
253.44,28.25,5,1,1,0,0,1
258.0,27.26,5,0,1,0,0,1
259.0,27.0,5,0,1,0,0,1
260.0,27.36,5,0,0,0,0,1
265.0,29.66,5,0,1,0,0,1
269.5,28.26,5,1,1,0,0,1
276.0,10.0,5,0,1,0,0,1
290.0,30.37,5,0,1,0,0,1
292.5,30.85,4,0,1,0,0,1
198.0,24.18,8,0,0,1,0,1
170.0,28.92,7,0,0,1,0,1
250.0,29.4,9,0,0,1,1,1
185.0,16.8,9,0,0,1,0,0
200.0,27.37,9,0,0,1,0,0
225.0,23.41,9,0,0,1,0,1
161.0,21.59,9,0,0,1,0,1
210.0,18.5,10,0,1,1,0,0
365.0,36.07,10,0,1,1,1,1
485.0,30.77,10,0,1,1,1,1
258.3,20.58,10,0,1,1,0,1
325.0,22.4,11,0,1,1,1,0
350.0,34.91,10,0,0,1,0,0
207.0,18.3,9,0,1,1,0,1
530.0,43.77,7,0,1,1,1,1
392.0,26.59,10,0,0,1,0,1
555.0,38.3,10,0,1,1,1,1
395.0,35.6,10,0,1,1,1,0
158.0,23.19,5,0,1,1,1,1
139.0,16.79,6,0,1,1,0,0
165.5,22.0,7,0,1,1,0,1
176.0,22.9,7,0,1,1,1,0
157.75,20.07,7,0,1,1,0,1
148.5,17.66,7,0,1,1,0,0
142.0,20.06,7,0,1,1,0,0
150.0,20.5,7,0,1,1,0,0
137.0,17.97,7,0,1,1,0,1
152.0,30.13,7,0,1,1,1,0
132.5,18.17,7,0,1,1,0,1
169.9,21.24,3,0,0,1,0,1
155.0,21.42,7,0,1,1,1,1
137.5,18.4,5,0,1,1,0,0
145.1,20.2,8,0,0,1,0,0
121.0,17.64,7,0,0,1,0,0
136.0,16.75,6,0,1,1,0,1
174.5,30.19,7,0,1,1,1,1
129.0,17.55,6,0,1,1,0,1
170.0,23.09,7,0,1,1,1,1
120.0,24.58,7,0,1,1,1,0
115.0,18.31,7,0,1,1,0,0
180.0,24.05,9,0,0,1,1,0
164.9,17.37,9,0,0,1,0,0
164.0,15.54,9,0,1,1,0,0
110.0,15.39,9,0,0,1,0,1
187.0,24.97,7,0,1,1,0,1
215.0,30.94,7,0,1,1,0,1
176.0,31.48,8,0,1,1,0,0
205.0,19.93,7,0,0,1,0,1
225.0,28.48,7,0,1,1,0,1
191.0,29.87,7,0,1,1,0,0
238.0,31.15,8,1,1,1,0,1
190.0,27.75,8,0,1,1,0,1
182.5,32.57,8,0,1,1,0,1
285.0,38.47,7,0,0,1,1,0
275.0,47.53,8,0,1,1,1,0
250.0,26.53,8,0,1,1,0,1
265.0,36.6,8,0,1,1,0,1
255.0,38.24,8,0,1,1,0,0
247.0,35.48,8,0,1,1,0,0
277.5,34.9,5,0,1,1,0,1
213.0,29.51,7,0,1,1,0,1
204.0,28.16,7,0,1,1,0,0
151.34,26.0,9,0,0,1,0,0
199.0,35.52,9,0,1,1,0,1
169.5,16.93,9,0,1,1,0,1
192.5,28.47,10,0,0,1,0,1
170.0,18.99,10,0,0,1,0,1
254.0,28.68,6,0,1,1,0,1
272.5,28.38,8,0,1,1,1,0
216.0,42.46,8,0,1,1,0,1
199.9,26.69,8,0,0,1,0,1
280.0,37.07,8,0,0,1,0,1
195.01,24.19,9,0,1,1,0,0
184.0,24.78,9,0,0,1,0,1
239.9,35.04,7,0,1,1,0,0
257.5,26.56,7,0,1,1,0,1
219.0,29.11,7,0,1,1,0,1
195.0,26.67,8,0,1,1,1,0
295.0,40.14,5,0,1,1,0,1
345.0,38.11,8,0,1,1,0,1
265.0,35.15,9,0,1,1,0,1
285.0,31.2,8,0,1,1,1,0
245.0,27.66,7,0,1,1,0,1
265.0,33.06,8,0,1,1,0,0
368.2,59.73,6,1,1,1,0,0
415.0,42.94,6,1,1,1,0,1
274.0,35.45,8,1,1,1,0,1
180.0,35.67,9,0,1,1,0,0
250.0,29.11,10,0,0,1,0,0
296.9,38.5,7,1,1,1,0,1
283.0,27.17,9,0,1,1,0,1
455.0,46.21,6,0,1,1,0,1
269.0,34.85,8,0,1,1,0,1
227.5,31.66,8,0,0,1,0,0
248.0,31.26,9,0,1,1,0,0
299.9,35.67,9,0,1,1,0,0
255.0,37.22,9,0,1,1,0,0
400.0,34.95,7,0,1,1,0,1
225.0,34.46,9,0,1,1,0,0
220.0,32.8,9,0,1,1,0,0
319.0,34.4,7,1,1,1,0,1
210.0,22.6,8,0,1,1,0,0
207.5,28.0,9,0,0,1,0,1
160.0,28.27,10,0,0,1,0,0
430.0,40.78,8,0,1,1,1,1
280.0,26.95,9,0,0,1,0,0
295.0,44.08,9,0,0,1,0,1
315.0,30.58,9,0,0,1,0,1
236.0,15.7,9,0,0,1,0,1
179.9,16.94,10,0,0,1,0,1
160.0,13.65,8,0,0,1,0,0
208.0,11.25,10,0,0,1,0,0
176.0,18.67,10,0,0,1,0,0
214.0,15.49,9,0,0,1,0,0
200.0,14.5,9,0,0,1,0,0
172.0,14.52,10,0,0,1,0,1
178.0,12.89,10,0,0,1,0,0
379.9,31.59,10,0,1,1,1,0
233.5,27.44,10,0,0,1,0,1
370.0,35.21,10,0,0,1,0,1
199.0,17.86,10,0,0,1,0,0
219.5,18.76,9,0,0,1,0,0
222.5,20.35,10,0,0,1,0,1
207.5,17.86,10,0,1,1,0,0
130.0,10.0,10,0,0,1,0,0
257.0,18.54,10,0,0,1,0,1
234.0,25.8,10,0,0,1,0,0
260.0,19.28,10,0,0,1,1,0
245.0,24.33,10,0,0,1,0,1
213.5,14.09,10,0,0,1,0,0
160.0,20.7,10,0,0,1,0,0
221.0,20.94,10,0,1,1,0,1
230.63,20.63,9,0,1,1,0,1
225.0,13.93,10,0,0,1,0,1
201.8,19.91,10,0,1,1,0,1
175.0,17.01,10,0,0,1,0,0
278.0,26.71,10,0,1,1,0,0
138.0,22.5,9,0,0,1,0,0
297.9,19.93,9,0,0,1,0,1
236.85,17.05,9,0,0,1,0,1
234.0,15.14,10,0,1,1,0,1
357.0,33.58,10,0,1,1,0,0
335.0,23.79,10,0,1,1,0,1
219.0,18.07,10,0,0,1,0,1
245.0,20.39,10,0,0,1,0,1
193.0,17.94,10,0,0,1,0,1
249.0,25.72,10,0,1,1,0,1
140.0,12.65,10,0,0,1,0,1
297.5,19.72,6,0,0,1,0,1
315.0,26.03,9,0,1,1,0,1
328.9,29.48,10,0,1,1,0,1
254.5,23.45,9,0,0,1,0,1
900.0,55.86,9,0,1,1,0,0
334.5,21.0,9,0,0,1,0,0
398.0,31.96,9,0,1,1,0,0
321.0,22.46,10,1,0,1,1,0
325.0,25.97,10,0,1,1,0,1
795.0,40.01,6,0,1,1,1,1
415.0,37.93,10,0,1,1,0,0
460.0,24.94,9,0,1,1,0,0
640.0,51.13,6,0,1,1,1,1
365.0,38.85,8,0,1,1,1,1
288.25,31.47,10,0,1,1,0,0
285.0,32.01,11,0,0,1,1,1
460.0,37.5,10,0,0,1,1,1
319.9,29.7,10,0,1,1,1,1
380.0,29.8,10,0,1,1,0,1
347.0,26.65,6,0,1,1,0,1
365.0,28.85,10,0,1,1,1,1
296.9,22.47,10,0,0,1,0,0
230.0,21.0,9,0,0,1,0,0
245.0,15.38,10,0,1,1,0,1
342.0,30.25,7,0,1,1,0,1
215.0,26.99,11,0,1,1,0,0
287.0,27.51,10,0,1,1,0,1
270.0,25.61,10,0,0,1,0,1
340.0,35.32,8,0,1,1,1,1
278.0,20.7,10,0,1,1,0,0
295.0,30.36,10,0,1,1,0,0
269.0,27.34,8,0,0,1,1,0
252.0,22.02,10,0,0,1,0,1
165.0,14.7,10,0,0,1,0,0
223.0,15.51,10,0,0,1,0,1
205.5,11.48,10,0,0,1,0,1
350.0,25.21,11,0,1,1,1,1
207.0,19.17,10,0,0,1,0,1
270.0,21.04,10,0,1,1,0,1
296.0,32.55,10,0,1,1,0,1
470.0,29.49,8,0,1,1,1,1
