id,schid,tchid,tchexper,absent,readscore,mathscore,totalscore,boy,white_asian,black,tchwhite,tchmasters,freelunch,schurban,schrural,small,regular,aide
10316,262937,26293703,18.0,19.0,503,576,1079.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1,0,0
10319,244801,24480103,8.0,3.0,442,547,989.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1
10321,189396,18939602,4.0,4.0,443,484,927.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0,1,0
10322,212522,21252201,,15.0,403,459,862.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0,0,1
10323,253888,25388801,13.0,26.0,424,444,868.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0,0,1
10326,205491,20549104,17.0,6.0,413,459,872.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0,0,1
10329,262937,26293702,15.0,5.0,495,576,1071.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0,1,0
10330,262937,26293701,16.0,10.0,451,528,979.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0,0,1
10331,221571,22157103,13.0,3.0,413,468,881.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0,1,0
10332,205489,20548903,3.0,15.0,393,429,822.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0,0,1
10333,205491,20549104,17.0,13.0,398,444,842.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0,0,1
10334,218562,21856203,11.0,2.0,483,506,989.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1,0,0
10379,162184,16218404,2.0,1.0,431,500,931.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1,0,0
10381,244736,24473601,11.0,12.0,421,459,880.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0,0,1
10383,244818,24481802,10.0,7.0,419,468,887.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1,0,0
10384,244736,24473601,11.0,2.0,472,536,1008.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0,0,1
10386,244736,24473601,11.0,6.0,405,412,817.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0,0,1
10391,244796,24479603,21.0,4.0,416,439,855.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1,0,0
10395,162184,16218404,2.0,5.0,445,468,913.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1,0,0
10396,244796,24479603,21.0,6.0,428,489,917.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1,0,0
10424,244806,24480601,1.0,4.0,414,500,914.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1,0,0
10425,159171,15917101,10.0,8.0,467,489,956.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0,0,1
10432,169229,16922901,15.0,6.0,461,559,1020.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1,0,0
10433,162184,16218403,6.0,4.0,398,459,857.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1,0,0
10434,244723,24472301,17.0,3.0,400,399,799.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0,0,1
10473,244723,24472301,17.0,17.0,414,463,877.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0,0,1
10481,215533,21553303,6.0,7.0,433,489,922.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1,0,0
10485,169229,16922904,5.0,9.0,414,434,848.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1
10486,169229,16922903,13.0,7.0,451,506,957.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0,1,0
10489,244723,24472303,1.0,3.0,414,434,848.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1,0,0
10491,244806,24480602,20.0,5.0,485,536,1021.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0,0,1
10541,244755,24475502,7.0,23.0,397,434,831.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0,0,1
10726,244796,24479603,21.0,7.0,411,473,884.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1,0,0
10763,169229,16922903,13.0,13.0,427,459,886.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0,1,0
10764,169280,16928002,13.0,0.0,461,536,997.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0,1,0
10766,180344,18034403,11.0,4.0,414,454,868.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0,0,1
10767,201449,20144904,7.0,2.0,451,547,998.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0,0,1
10783,257905,25790504,5.0,10.0,448,494,942.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0,1,0
10803,215533,21553306,0.0,74.0,393,418,811.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0,1,0
10817,244755,24475505,24.0,24.0,440,439,879.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0,1,0
10825,244818,24481802,10.0,10.0,407,449,856.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1,0,0
10857,201449,20144904,7.0,13.0,419,434,853.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0,0,1
10899,193422,19342201,9.0,8.0,443,459,902.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0,0,1
10935,169229,16922903,13.0,3.0,440,484,924.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0,1,0
10960,112038,11203803,17.0,5.0,390,444,834.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0,0,1
10961,112038,11203803,17.0,18.0,402,478,880.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0,0,1
10964,128068,12806802,1.0,12.0,407,454,861.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0,1,0
10969,166203,16620302,13.0,9.0,403,429,832.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0,1,0
10975,112038,11203802,6.0,3.0,408,429,837.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0,1,0
10984,189378,18937803,5.0,6.0,436,459,895.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0,0,1
10986,128079,12807902,8.0,14.0,422,418,840.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0,0,1
10987,205488,20548802,12.0,0.0,428,459,887.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0,1,0
10998,221571,22157105,7.0,8.0,398,384,782.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0,0,1
11004,215533,21553304,9.0,5.0,382,405,787.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0,0,1
11005,244839,24483901,1.0,11.0,450,602,1052.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0,1,0
11007,257899,25789905,12.0,0.0,431,489,920.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0,0,1
11013,228606,22860601,8.0,25.0,418,463,881.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0,0,1
11018,225585,22558503,13.0,8.0,421,500,921.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0,1,0
11025,189382,18938203,14.0,24.0,424,444,868.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0,0,1
11040,244764,24476401,1.0,12.0,413,468,881.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0,0,1
11046,112038,11203803,17.0,29.0,405,429,834.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0,0,1
11049,257905,25790505,14.0,39.0,418,434,852.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0,0,1
11050,128079,12807902,8.0,3.0,436,528,964.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0,0,1
11051,128068,12806803,11.0,3.0,448,489,937.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0,0,1
11052,225585,22558504,13.0,13.0,408,484,892.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0,0,1
11057,244776,24477607,7.0,55.0,431,473,904.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0,1,0
11058,244745,24474503,1.0,1.0,453,536,989.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0,1,0
11059,244736,24473603,6.0,14.0,425,500,925.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1,0,0
11066,128079,12807901,8.0,27.0,419,439,858.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0,1,0
11069,244774,24477405,6.0,19.0,428,439,867.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0,1,0
11077,169229,16922902,11.0,7.0,447,528,975.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0,1,0
11078,169229,16922902,11.0,3.0,398,439,837.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0,1,0
11086,244697,24469703,5.0,6.0,443,494,937.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0,0,1
11089,201449,20144902,12.0,8.0,428,489,917.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0,0,1
11090,244697,24469702,1.0,6.0,414,429,843.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1,0,0
11094,244801,24480102,5.0,0.0,436,506,942.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1,0,0
11099,191411,19141103,13.0,23.0,414,449,863.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0,1,0
11106,244780,24478002,10.0,11.0,440,559,999.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0,1,0
11117,208501,20850102,12.0,29.0,407,473,880.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0,0,1
11124,215533,21553302,15.0,3.0,437,506,943.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0,1,0
11128,201449,20144904,7.0,5.0,398,434,832.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0,0,1
11131,205492,20549204,3.0,18.0,408,449,857.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1,0,0
11140,244745,24474501,5.0,3.0,456,602,1058.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0,1
11144,218562,21856202,8.0,6.0,436,468,904.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0,0,1
11150,128076,12807603,7.0,36.0,403,489,892.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0,0,1
11151,203452,20345205,20.0,8.0,461,559,1020.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0,1,0
11152,205490,20549001,3.0,18.0,419,439,858.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1,0,0
11156,205488,20548802,12.0,10.0,433,444,877.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0,1,0
11157,252885,25288503,5.0,7.0,485,513,998.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0,1,0
11160,244755,24475507,3.0,21.0,458,602,1060.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1,0,0
11162,257899,25789904,12.0,2.0,405,429,834.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0,1,0
11170,112038,11203803,17.0,4.0,410,468,878.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0,0,1
11171,112038,11203802,6.0,7.0,408,449,857.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0,1,0
11176,128068,12806802,1.0,15.0,430,478,908.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0,1,0
11177,205490,20549003,12.0,1.0,433,494,927.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0,1,0
11178,205490,20549002,11.0,1.0,433,463,896.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0,0,1
11179,244776,24477606,10.0,1.0,450,468,918.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0,0,1
11184,234628,23462805,8.0,14.0,456,439,895.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0,1,0
11187,205492,20549204,3.0,9.0,436,484,920.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1,0,0
11193,205492,20549203,24.0,18.0,436,473,909.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0,1,0
11197,205488,20548802,12.0,12.0,458,576,1034.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0,1,0
11198,244755,24475501,11.0,16.0,405,478,883.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0,1,0
11200,205491,20549103,3.0,10.0,411,439,850.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0,1,0
11202,205490,20549002,11.0,16.0,410,439,849.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0,0,1
11203,205492,20549202,3.0,2.0,485,506,991.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1,0,0
11206,203452,20345205,20.0,17.0,460,602,1062.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0,1,0
11208,161183,16118304,10.0,12.0,453,528,981.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0,0,1
11210,128079,12807903,8.0,34.0,580,500,1080.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1,0,0
11211,161183,16118301,12.0,4.0,443,506,949.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0,1,0
11212,205488,20548803,4.0,1.0,495,559,1054.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1,0,0
11213,205490,20549003,12.0,8.0,403,418,821.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0,1,0
11214,203452,20345204,5.0,9.0,439,449,888.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0,0,1
11216,205492,20549203,24.0,16.0,434,528,962.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0,1,0
11217,180344,18034402,0.0,8.0,431,463,894.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,1
11219,205491,20549104,17.0,15.0,431,429,860.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0,0,1
11220,161176,16117603,6.0,20.0,414,412,826.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0,1,0
11228,128068,12806801,12.0,21.0,418,473,891.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1,0,0
11234,231616,23161602,9.0,21.0,434,528,962.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1,0,0
11236,244806,24480606,10.0,2.0,428,463,891.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0,0,1
11255,205491,20549101,0.0,5.0,447,500,947.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1,0,0
11261,209510,20951004,10.0,2.0,407,412,819.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1,0,0
11267,193423,19342302,12.0,43.0,434,528,962.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1,0,0
11275,221571,22157105,7.0,12.0,388,412,800.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0,0,1
11285,244818,24481804,9.0,0.0,431,429,860.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0,1,0
11287,244801,24480102,5.0,17.0,393,418,811.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1,0,0
11291,169229,16922904,5.0,8.0,424,473,897.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1
11292,244708,24470804,3.0,10.0,397,489,886.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0,1,0
11294,244723,24472305,8.0,5.0,391,392,783.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0,1,0
11300,244780,24478003,2.0,3.0,485,559,1044.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1,0,0
11303,168211,16821102,27.0,10.0,442,454,896.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0,0,1
11305,252885,25288501,14.0,5.0,453,559,1012.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1,0,0
11308,244774,24477405,6.0,3.0,395,434,829.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0,1,0
11311,112038,11203801,12.0,4.0,413,454,867.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1,0,0
11315,244727,24472703,12.0,6.0,422,429,851.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0,0,1
11321,164198,16419803,4.0,11.0,390,429,819.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0,1,0
11323,234628,23462805,8.0,33.0,416,506,922.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0,1,0
11324,168211,16821103,15.0,11.0,403,444,847.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1,0,0
11328,169229,16922904,5.0,15.0,453,473,926.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1
11332,244745,24474502,14.0,12.0,434,489,923.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1,0,0
11334,244780,24478001,24.0,36.0,478,547,1025.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0,0,1
11346,244776,24477608,3.0,5.0,410,463,873.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1,0,0
11352,189382,18938203,14.0,7.0,436,459,895.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0,0,1
11354,244776,24477607,7.0,2.0,433,463,896.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0,1,0
11363,244801,24480103,8.0,17.0,421,506,927.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0,0,1
11365,205490,20549003,12.0,4.0,400,429,829.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0,1,0
11368,208501,20850104,5.0,10.0,405,439,844.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1,0,0
11369,193423,19342302,12.0,48.0,450,513,963.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1,0,0
11379,244801,24480101,0.0,9.0,422,547,969.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0,1,0
11382,228606,22860603,12.0,9.0,437,463,900.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1,0,0
11388,244727,24472702,4.0,5.0,421,506,927.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0,1,0
11389,244796,24479601,12.0,4.0,460,500,960.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1,0,0
11390,244736,24473602,0.0,27.0,416,468,884.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0,1,0
11391,244776,24477601,6.0,3.0,421,506,927.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1,0,0
11392,244818,24481804,9.0,4.0,428,489,917.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0,1,0
11393,244746,24474603,5.0,7.0,463,536,999.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1,0,0
11394,244774,24477402,6.0,13.0,414,478,892.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1,0,0
11397,244727,24472701,21.0,0.0,450,536,986.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1,0,0
11398,244697,24469704,22.0,4.0,424,429,853.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0,0,1
11400,244727,24472704,1.0,14.0,448,473,921.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0,1
11401,244755,24475507,3.0,1.0,503,576,1079.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1,0,0
11402,244774,24477403,1.0,4.0,440,536,976.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0,0,1
11403,244806,24480605,6.0,3.0,470,463,933.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0,1,0
11404,244697,24469704,22.0,6.0,433,468,901.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0,0,1
11405,244697,24469703,5.0,16.0,431,468,899.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0,0,1
11406,244755,24475506,16.0,7.0,424,459,883.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0,0,1
11407,244755,24475506,16.0,1.0,436,459,895.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0,0,1
11408,244746,24474601,17.0,34.0,442,444,886.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0,0,1
11410,244755,24475503,9.0,21.0,434,506,940.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1,0,0
11411,244708,24470806,0.0,9.0,421,454,875.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0,0,1
11412,244818,24481802,10.0,1.0,465,520,985.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1,0,0
11413,244839,24483901,1.0,8.0,442,528,970.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0,1,0
11414,244708,24470803,2.0,1.0,388,429,817.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0,1,0
11415,244697,24469702,1.0,15.0,419,463,882.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1,0,0
11417,244697,24469704,22.0,8.0,410,459,869.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0,0,1
11418,244806,24480603,0.0,4.0,461,478,939.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0,1,0
11419,244801,24480101,0.0,6.0,443,500,943.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0,1,0
11420,244796,24479603,21.0,12.0,431,423,854.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1,0,0
11421,244839,24483903,20.0,0.0,490,602,1092.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,1,0
11422,244708,24470803,2.0,4.0,388,405,793.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0,1,0
11423,244697,24469702,1.0,17.0,428,468,896.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1,0,0
11424,244697,24469704,22.0,3.0,416,439,855.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0,0,1
11425,244697,24469704,22.0,9.0,414,484,898.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0,0,1
11426,244746,24474603,5.0,16.0,425,439,864.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1,0,0
11428,244796,24479602,11.0,0.0,430,489,919.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0,1,0
11430,244799,24479902,13.0,5.0,433,506,939.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1,0,0
11432,244806,24480601,1.0,3.0,425,468,893.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1,0,0
11433,244796,24479602,11.0,1.0,419,468,887.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0,1,0
11436,244806,24480602,20.0,28.0,461,494,955.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0,0,1
11437,244755,24475504,1.0,28.0,434,500,934.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0,1,0
11438,244697,24469704,22.0,2.0,430,513,943.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0,0,1
11439,244708,24470801,14.0,2.0,442,506,948.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1,0,0
11440,244799,24479902,13.0,18.0,422,468,890.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1,0,0
11441,244723,24472304,6.0,17.0,400,429,829.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0,0,1
