x,y
20.0,281.79916
20.0,249.9607
20.0,239.84154
20.0,336.63406
20.0,304.77298
20.0,369.1749
20.0,310.4175
20.0,281.71674
20.0,315.92264
20.0,288.38922
20.0,283.0873
20.0,351.20908
20.0,342.9429
20.0,314.1269
20.0,270.64337
20.0,258.22818
20.0,247.90895
20.0,257.23062
20.0,245.0412
20.0,283.61658
20.0,391.5831
20.0,242.38577
20.0,245.91614
20.0,238.6759
20.0,273.04733
20.0,302.28934
20.0,393.59143
20.0,302.04318
20.0,346.98145
20.0,271.25098
20.0,249.9822
20.0,239.65015
20.0,257.71423
20.0,324.51114
20.0,268.01157
20.0,281.37836
20.0,358.29837
20.0,359.1643
20.0,318.21838
20.0,290.65964
20.0,274.00882
20.0,248.95355
20.0,362.18335
20.0,334.5321
20.0,312.2904
20.0,339.03754
20.0,288.27762
20.0,260.83374
20.0,231.22081
20.0,429.3959
20.0,369.17026
20.0,449.13055
20.0,444.70425
20.0,366.55606
20.0,300.11557
20.0,321.6851
20.0,277.17
20.0,258.2302
20.0,257.0876
20.0,355.49286
20.0,311.74356
20.0,292.81122
20.0,257.4201
20.0,265.69232
20.0,302.22827
20.0,348.87427
20.0,282.23438
20.0,311.0249
20.0,245.00621
20.0,407.6876
20.0,378.0473
20.0,283.67435
20.0,278.5967
20.0,316.58508
