default,arm,refinance,lien2,term30,underwater,ltv,rate,amount,fico
0.0,1.0,1.0,0.0,1.0,1.0,80.0,4.0,33.2,756.0
1.0,0.0,0.0,0.0,1.0,1.0,80.0,3.875,18.88,664.0
0.0,0.0,1.0,0.0,1.0,1.0,66.67,6.75,100.0,749.0
1.0,1.0,0.0,0.0,0.0,1.0,79.9,3.875,32.84,792.0
1.0,1.0,1.0,0.0,1.0,1.0,79.21,3.375,24.0,733.0
0.0,1.0,0.0,0.0,1.0,1.0,80.0,3.125,25.6544,745.0
0.0,0.0,1.0,0.0,1.0,1.0,52.0,8.875,12.948,558.0
0.0,1.0,0.0,0.0,1.0,1.0,78.98,6.625,18.56,727.0
0.0,1.0,1.0,0.0,1.0,0.0,41.67,3.125,100.0,677.0
0.0,0.0,1.0,0.0,1.0,0.0,47.39,6.25,20.85,718.0
0.0,0.0,1.0,0.0,0.0,0.0,48.15,5.625,15.0,666.0
0.0,0.0,1.0,0.0,1.0,1.0,79.31,6.9,23.0,632.0
0.0,0.0,1.0,0.0,1.0,1.0,59.63,6.0,13.0,534.0
0.0,1.0,1.0,0.0,1.0,1.0,90.0,2.14,23.4,567.0
0.0,0.0,0.0,0.0,1.0,1.0,75.0,3.75,15.75,777.0
0.0,1.0,0.0,0.0,1.0,1.0,80.0,2.625,21.2,771.0
0.0,1.0,0.0,0.0,1.0,0.0,80.0,7.0,21.52,695.0
1.0,1.0,0.0,0.0,1.0,1.0,80.0,6.0,22.8,663.0
0.0,1.0,0.0,0.0,1.0,1.0,80.0,6.25,100.0,792.0
1.0,0.0,1.0,0.0,1.0,1.0,68.55,5.9,25.5,654.0
1.0,0.0,1.0,1.0,1.0,0.0,25.41,9.375,8.64,750.0
0.0,0.0,1.0,1.0,1.0,0.0,24.43,7.75,6.01,748.0
0.0,0.0,1.0,0.0,1.0,1.0,70.0,8.0,19.74,556.0
0.0,1.0,0.0,0.0,1.0,1.0,77.19,4.0,17.6,769.0
0.0,1.0,0.0,0.0,1.0,1.0,80.0,5.375,73.2,784.0
0.0,0.0,0.0,0.0,1.0,1.0,95.0,2.0,30.875,687.0
0.0,1.0,0.0,0.0,1.0,1.0,68.63,6.875,21.0,678.0
1.0,1.0,1.0,0.0,0.0,1.0,70.0,3.021,20.44,635.0
0.0,0.0,0.0,0.0,1.0,1.0,75.88,6.375,17.3,797.0
1.0,0.0,1.0,0.0,1.0,1.0,95.0,9.0,27.075,552.0
0.0,1.0,1.0,0.0,1.0,1.0,90.0,4.625,27.0,684.0
1.0,0.0,1.0,0.0,1.0,1.0,75.0,6.625,18.15,750.0
1.0,0.0,0.0,0.0,1.0,1.0,69.98,7.5,20.993,662.0
0.0,1.0,1.0,0.0,1.0,0.0,45.17,3.375,27.1,730.0
0.0,0.0,1.0,0.0,1.0,1.0,62.13,6.875,16.9,727.0
0.0,0.0,1.0,0.0,1.0,1.0,74.25,6.625,62.0,685.0
0.0,1.0,0.0,0.0,1.0,1.0,80.0,6.75,22.0,687.0
0.0,1.0,0.0,0.0,1.0,1.0,77.49,3.5,19.76,743.0
1.0,1.0,0.0,0.0,1.0,1.0,80.0,6.5,39.3041,736.0
0.0,0.0,1.0,0.0,1.0,1.0,69.92,7.5,26.5,639.0
1.0,1.0,1.0,0.0,1.0,1.0,85.0,8.15,18.275,527.0
0.0,1.0,1.0,0.0,1.0,1.0,80.0,3.875,22.0,755.0
0.0,0.0,1.0,0.0,1.0,1.0,75.0,6.125,16.5,705.0
1.0,0.0,0.0,0.0,1.0,1.0,77.83,8.0,18.68,633.0
1.0,0.0,1.0,0.0,1.0,1.0,80.0,6.25,23.2,787.0
0.0,0.0,1.0,0.0,1.0,1.0,85.0,6.5,20.06,690.0
0.0,0.0,0.0,0.0,1.0,1.0,74.86,3.0,27.7,657.0
1.0,0.0,1.0,0.0,1.0,1.0,75.0,3.875,12.675,696.0
0.0,0.0,1.0,0.0,0.0,1.0,62.09,6.25,11.3,761.0
0.0,0.0,1.0,0.0,1.0,1.0,72.09,5.5,15.5,667.0
0.0,0.0,1.0,0.0,1.0,1.0,51.92,7.25,40.5,700.0
1.0,1.0,0.0,0.0,1.0,1.0,80.0,8.025,17.6,665.0
0.0,0.0,0.0,0.0,0.0,0.0,31.91,6.125,7.5,784.0
1.0,0.0,0.0,1.0,0.0,0.0,20.0,11.4,5.26,670.0
0.0,1.0,0.0,0.0,1.0,1.0,95.0,5.125,17.67,552.0
0.0,1.0,0.0,0.0,1.0,1.0,80.0,5.75,20.4,755.0
1.0,0.0,1.0,0.0,1.0,1.0,90.0,5.875,54.0,682.0
1.0,0.0,1.0,0.0,1.0,1.0,85.0,8.25,20.23,638.0
0.0,1.0,0.0,0.0,1.0,0.0,61.54,3.125,80.0,677.0
1.0,0.0,0.0,1.0,1.0,0.0,20.0,12.0,4.3,689.0
0.0,0.0,1.0,0.0,1.0,1.0,84.55,7.625,15.6,617.0
0.0,0.0,0.0,0.0,1.0,1.0,80.0,3.0,30.0,697.0
0.0,1.0,1.0,0.0,1.0,1.0,79.19,3.875,29.3,774.0
0.0,0.0,1.0,0.0,1.0,1.0,71.25,3.875,19.95,638.0
0.0,1.0,1.0,0.0,1.0,1.0,70.0,8.425,31.15,588.0
0.0,0.0,1.0,0.0,1.0,1.0,74.0,6.125,17.02,667.0
0.0,1.0,1.0,0.0,1.0,1.0,70.0,5.85,93.45,777.0
1.0,1.0,1.0,0.0,0.0,1.0,64.71,6.5,22.0,504.0
0.0,0.0,0.0,1.0,1.0,0.0,18.06,10.75,12.1,756.0
0.0,1.0,1.0,0.0,1.0,1.0,90.0,8.2,14.67,646.0
1.0,0.0,1.0,0.0,1.0,1.0,90.28,6.15,26.18,645.0
0.0,1.0,1.0,0.0,1.0,1.0,75.0,2.271,24.0,759.0
0.0,1.0,0.0,0.0,1.0,1.0,79.91,3.25,18.2201,713.0
0.0,0.0,1.0,1.0,1.0,0.0,15.26,6.24,4.9,696.0
0.0,1.0,0.0,1.0,1.0,0.0,18.85,6.65,8.2,652.0
1.0,0.0,1.0,0.0,1.0,1.0,70.0,6.5,17.15,628.0
0.0,0.0,0.0,0.0,1.0,1.0,55.56,6.125,50.0,790.0
1.0,1.0,0.0,0.0,1.0,1.0,75.85,5.625,45.89,759.0
1.0,1.0,0.0,0.0,1.0,1.0,79.71,6.5,22.08,688.0
0.0,0.0,0.0,0.0,1.0,1.0,55.94,6.5,20.81,775.0
1.0,0.0,0.0,0.0,1.0,1.0,75.0,6.625,24.0,722.0
0.0,0.0,0.0,0.0,1.0,1.0,76.06,5.625,24.8,672.0
1.0,1.0,0.0,0.0,1.0,1.0,80.0,7.25,18.528,639.0
0.0,1.0,1.0,0.0,1.0,1.0,73.65,5.875,67.02,731.0
0.0,0.0,0.0,0.0,1.0,1.0,80.0,5.25,53.5449,684.0
0.0,0.0,1.0,0.0,1.0,1.0,80.0,8.0,32.0,569.0
1.0,1.0,0.0,0.0,1.0,1.0,80.0,6.99,25.7592,743.0
1.0,0.0,1.0,0.0,1.0,1.0,80.0,3.875,17.2,752.0
1.0,0.0,0.0,0.0,1.0,1.0,95.0,6.58,28.495,654.0
0.0,1.0,0.0,0.0,1.0,1.0,80.0,3.75,34.0,714.0
0.0,1.0,1.0,0.0,1.0,1.0,70.0,3.125,84.0,742.0
0.0,0.0,0.0,0.0,1.0,0.0,56.52,5.875,13.0,779.0
0.0,1.0,1.0,0.0,1.0,1.0,74.03,4.1,22.95,655.0
1.0,0.0,1.0,0.0,1.0,1.0,75.0,7.875,19.575,709.0
1.0,1.0,0.0,0.0,1.0,1.0,79.15,8.85,18.72,655.0
0.0,0.0,0.0,1.0,1.0,0.0,15.0,8.5,26.7,728.0
0.0,0.0,1.0,0.0,1.0,1.0,72.86,5.875,15.3,620.0
0.0,0.0,0.0,0.0,1.0,1.0,80.0,6.75,16.4,755.0
1.0,1.0,0.0,0.0,1.0,1.0,75.93,6.75,22.4,682.0
1.0,0.0,1.0,0.0,1.0,1.0,89.45,6.75,24.6,560.0
1.0,0.0,1.0,0.0,0.0,1.0,80.0,8.1,17.28,658.0
1.0,1.0,1.0,0.0,1.0,1.0,80.0,6.75,22.4,678.0
0.0,1.0,0.0,0.0,1.0,1.0,80.0,5.0,21.52,680.0
1.0,0.0,1.0,0.0,1.0,1.0,60.0,6.75,18.24,612.0
0.0,0.0,1.0,0.0,1.0,0.0,54.25,6.125,6.51,730.0
0.0,0.0,0.0,1.0,1.0,0.0,15.0,11.25,3.525,765.0
0.0,0.0,1.0,0.0,1.0,1.0,69.94,6.25,54.2,662.0
1.0,1.0,1.0,0.0,1.0,1.0,75.0,6.625,110.25,686.0
1.0,1.0,0.0,0.0,1.0,1.0,90.0,5.5,13.5,578.0
1.0,0.0,0.0,1.0,1.0,0.0,15.0,12.0,5.25,665.0
1.0,0.0,1.0,0.0,1.0,1.0,80.0,9.05,21.6,603.0
0.0,0.0,1.0,0.0,1.0,1.0,79.77,3.875,14.0,630.0
0.0,0.0,1.0,0.0,1.0,1.0,57.07,6.1,21.4,662.0
0.0,0.0,1.0,0.0,1.0,1.0,63.62,8.375,14.95,562.0
0.0,1.0,0.0,0.0,1.0,1.0,80.0,3.25,31.16,740.0
0.0,1.0,0.0,0.0,0.0,1.0,62.67,7.75,18.8,700.0
1.0,0.0,0.0,0.0,1.0,1.0,80.0,3.125,25.6,680.0
1.0,1.0,0.0,0.0,1.0,1.0,80.0,2.321,31.28,732.0
0.0,0.0,0.0,0.0,1.0,0.0,20.0,9.875,4.24,682.0
0.0,0.0,1.0,0.0,1.0,1.0,67.5,7.0,18.9,582.0
0.0,1.0,1.0,0.0,1.0,1.0,73.33,3.125,16.5,764.0
0.0,1.0,1.0,0.0,1.0,1.0,80.0,2.321,30.8,760.0
0.0,0.0,1.0,0.0,1.0,1.0,79.62,6.375,20.7,791.0
0.0,1.0,1.0,0.0,1.0,1.0,85.0,3.0,20.74,571.0
0.0,0.0,1.0,0.0,1.0,1.0,79.73,6.5,39.07,714.0
0.0,1.0,0.0,0.0,1.0,1.0,80.0,3.125,84.0,736.0
0.0,1.0,0.0,0.0,1.0,1.0,80.0,7.375,18.4,758.0
0.0,0.0,0.0,0.0,0.0,0.0,20.0,10.0,4.2,754.0
0.0,0.0,1.0,0.0,1.0,1.0,63.83,6.25,49.47,685.0
0.0,0.0,1.0,0.0,1.0,1.0,74.38,6.375,19.34,659.0
1.0,0.0,0.0,0.0,1.0,1.0,79.98,5.875,25.592,694.0
0.0,1.0,0.0,0.0,1.0,1.0,70.4,6.4,15.84,771.0
0.0,0.0,0.0,1.0,0.0,0.0,14.49,10.625,5.925,691.0
1.0,0.0,1.0,0.0,1.0,1.0,80.0,4.0,21.2,635.0
1.0,0.0,1.0,0.0,1.0,1.0,80.0,3.875,19.6,661.0
0.0,0.0,1.0,0.0,1.0,1.0,48.37,6.25,16.3,782.0
0.0,1.0,0.0,0.0,1.0,1.0,95.0,3.125,31.5875,713.0
1.0,0.0,1.0,0.0,1.0,1.0,70.0,4.5,18.2,510.0
0.0,0.0,1.0,0.0,1.0,1.0,64.0,6.0,24.0,738.0
0.0,0.0,1.0,0.0,1.0,1.0,66.98,4.25,14.2,648.0
0.0,1.0,1.0,0.0,1.0,1.0,57.65,5.5,17.7,609.0
1.0,0.0,1.0,0.0,1.0,1.0,80.0,6.625,13.84,631.0
0.0,1.0,0.0,0.0,1.0,1.0,93.17,7.25,53.2,684.0
0.0,0.0,1.0,0.0,1.0,1.0,53.44,6.0,14.0,628.0
0.0,0.0,1.0,0.0,1.0,1.0,75.68,5.875,14.0,735.0
0.0,0.0,1.0,0.0,0.0,1.0,69.26,6.625,33.59,773.0
0.0,0.0,1.0,0.0,1.0,1.0,80.0,6.625,20.0,671.0
0.0,0.0,1.0,0.0,0.0,0.0,68.26,5.75,34.13,782.0
1.0,1.0,1.0,0.0,1.0,1.0,83.33,2.75,19.9999,663.0
0.0,1.0,1.0,0.0,1.0,1.0,80.0,5.25,22.84,767.0
0.0,0.0,1.0,0.0,1.0,1.0,60.0,6.2,15.48,604.0
1.0,0.0,0.0,0.0,1.0,1.0,79.24,6.79,25.992,662.0
0.0,0.0,0.0,0.0,1.0,1.0,79.84,6.0,19.72,713.0
1.0,0.0,0.0,0.0,1.0,1.0,80.0,6.875,28.8,653.0
1.0,1.0,1.0,0.0,1.0,1.0,94.07,5.25,18.13,731.0
0.0,0.0,1.0,0.0,1.0,1.0,70.0,5.6,84.0,736.0
0.0,0.0,1.0,0.0,1.0,1.0,67.83,7.8,19.4,637.0
0.0,0.0,1.0,1.0,0.0,0.0,16.89,7.375,4.5428,684.0
0.0,0.0,0.0,0.0,1.0,1.0,75.0,7.85,24.75,694.0
0.0,0.0,1.0,0.0,1.0,1.0,65.0,4.0,17.225,749.0
0.0,1.0,0.0,0.0,1.0,1.0,79.73,3.121,23.28,761.0
0.0,0.0,1.0,0.0,1.0,1.0,85.0,6.5,40.8,550.0
0.0,0.0,1.0,0.0,1.0,1.0,72.64,4.25,38.5,675.0
1.0,1.0,1.0,0.0,1.0,1.0,80.0,3.5,22.4,666.0
0.0,0.0,0.0,0.0,1.0,0.0,80.0,3.25,22.4,788.0
0.0,0.0,0.0,0.0,1.0,1.0,64.52,7.125,100.0,750.0
1.0,0.0,0.0,0.0,1.0,1.0,99.95,7.875,20.49,601.0
0.0,0.0,0.0,1.0,1.0,0.0,13.3,11.75,5.0,663.0
0.0,1.0,0.0,1.0,0.0,0.0,22.22,4.125,40.0,667.0
0.0,1.0,0.0,0.0,1.0,1.0,86.96,4.875,10.0,723.0
1.0,1.0,0.0,0.0,1.0,1.0,95.0,7.25,27.55,690.0
1.0,0.0,0.0,1.0,1.0,0.0,19.41,11.75,5.24,754.0
1.0,0.0,1.0,1.0,1.0,0.0,15.0,9.25,4.245,653.0
0.0,1.0,0.0,0.0,1.0,1.0,79.66,6.625,33.0592,713.0
1.0,1.0,0.0,0.0,1.0,1.0,74.8,2.521,20.0466,700.0
0.0,1.0,1.0,0.0,1.0,0.0,41.88,3.125,24.5,765.0
0.0,1.0,1.0,0.0,1.0,0.0,21.51,6.875,10.0,666.0
0.0,0.0,0.0,0.0,1.0,1.0,103.0,7.25,20.16,775.0
0.0,0.0,0.0,1.0,1.0,0.0,18.94,5.0,4.64,630.0
1.0,0.0,0.0,0.0,1.0,1.0,80.0,6.65,22.4,718.0
1.0,0.0,0.0,0.0,1.0,1.0,77.9,3.25,22.592,744.0
0.0,0.0,1.0,0.0,1.0,1.0,75.0,6.125,21.75,737.0
1.0,0.0,1.0,0.0,1.0,1.0,70.0,4.0,24.5,713.0
1.0,0.0,1.0,0.0,0.0,1.0,82.75,7.75,23.17,560.0
1.0,0.0,0.0,1.0,0.0,0.0,19.77,8.0,5.24,752.0
0.0,0.0,0.0,1.0,1.0,0.0,19.99,9.5,5.878,626.0
1.0,1.0,0.0,0.0,1.0,1.0,80.0,6.05,17.76,625.0
0.0,1.0,0.0,0.0,1.0,1.0,80.0,7.38,18.8,572.0
1.0,1.0,0.0,0.0,1.0,1.0,80.0,6.4,24.24,663.0
0.0,0.0,0.0,0.0,0.0,0.0,14.95,12.0,4.2,742.0
0.0,0.0,0.0,0.0,0.0,0.0,19.4,10.875,2.6,734.0
1.0,1.0,1.0,0.0,1.0,1.0,75.0,6.2,21.375,605.0
0.0,1.0,0.0,0.0,1.0,1.0,65.98,3.125,66.7,686.0
0.0,1.0,0.0,0.0,1.0,1.0,79.73,3.25,20.6511,779.0
0.0,0.0,1.0,0.0,0.0,1.0,75.0,6.75,18.0,674.0
1.0,0.0,0.0,0.0,1.0,1.0,73.86,3.625,65.0,680.0
0.0,1.0,1.0,0.0,1.0,0.0,43.05,5.625,90.4,711.0
0.0,1.0,1.0,0.0,0.0,1.0,100.0,2.0,88.7,637.0
0.0,0.0,1.0,0.0,1.0,1.0,80.0,5.875,39.2,680.0
0.0,0.0,0.0,0.0,1.0,1.0,80.0,4.0,24.32,794.0
0.0,1.0,0.0,0.0,0.0,1.0,75.0,2.521,27.075,711.0
0.0,0.0,1.0,0.0,1.0,1.0,46.04,6.75,9.3,734.0
0.0,0.0,1.0,0.0,0.0,1.0,95.0,6.0,32.775,632.0
1.0,0.0,1.0,0.0,1.0,1.0,77.84,4.625,21.25,743.0
1.0,1.0,0.0,0.0,1.0,1.0,100.0,8.375,28.5,664.0
0.0,1.0,0.0,0.0,1.0,1.0,70.95,3.146,21.64,727.0
0.0,0.0,0.0,0.0,1.0,0.0,59.88,6.75,10.0,748.0
1.0,0.0,1.0,0.0,1.0,1.0,90.0,8.375,36.9,590.0
0.0,0.0,0.0,0.0,1.0,1.0,79.7,6.4,21.52,755.0
1.0,0.0,1.0,0.0,1.0,1.0,80.0,6.25,38.8,677.0
0.0,0.0,0.0,1.0,0.0,0.0,34.17,8.875,9.225,709.0
0.0,0.0,1.0,1.0,0.0,0.0,36.36,6.0,10.0,757.0
1.0,0.0,1.0,0.0,1.0,1.0,80.0,4.0,19.2,700.0
1.0,0.0,0.0,0.0,1.0,1.0,80.0,6.0,29.6,752.0
1.0,0.0,1.0,0.0,0.0,1.0,63.08,6.44,24.6,658.0
1.0,0.0,0.0,0.0,1.0,1.0,90.0,5.5,32.4,697.0
0.0,1.0,0.0,0.0,1.0,1.0,72.56,5.5,62.2,776.0
0.0,0.0,1.0,0.0,1.0,1.0,53.53,6.0,18.63,653.0
0.0,0.0,0.0,0.0,1.0,1.0,70.91,8.8,19.5,594.0
0.0,1.0,1.0,0.0,1.0,1.0,80.0,2.671,28.16,721.0
0.0,0.0,0.0,0.0,1.0,1.0,80.0,5.75,25.44,787.0
0.0,1.0,0.0,0.0,1.0,1.0,80.0,3.125,32.8,752.0
1.0,0.0,1.0,0.0,1.0,1.0,71.43,6.75,43.0,709.0
0.0,0.0,1.0,1.0,1.0,0.0,10.0,8.125,8.0,715.0
1.0,1.0,1.0,0.0,1.0,1.0,90.0,7.85,23.4,651.0
0.0,1.0,0.0,0.0,0.0,1.0,79.38,4.25,40.88,795.0
0.0,0.0,1.0,0.0,1.0,1.0,80.0,3.125,22.24,660.0
1.0,0.0,1.0,0.0,1.0,1.0,95.0,6.5,22.895,755.0
0.0,1.0,1.0,0.0,1.0,1.0,75.0,6.375,20.625,688.0
0.0,0.0,1.0,0.0,1.0,1.0,85.0,2.0,39.1,678.0
0.0,0.0,1.0,0.0,0.0,1.0,58.33,6.5,52.5,732.0
0.0,1.0,1.0,0.0,1.0,1.0,70.0,5.875,10.5,736.0
0.0,1.0,1.0,0.0,1.0,1.0,95.0,5.5,27.55,598.0
0.0,1.0,1.0,0.0,1.0,1.0,75.0,8.95,19.5,602.0
1.0,0.0,1.0,0.0,1.0,1.0,63.71,5.75,20.07,648.0
1.0,1.0,1.0,0.0,0.0,1.0,90.0,4.125,25.38,706.0
1.0,0.0,1.0,0.0,1.0,1.0,87.21,2.25,29.65,628.0
0.0,1.0,0.0,0.0,1.0,1.0,80.0,5.75,87.92,765.0
0.0,0.0,0.0,0.0,0.0,1.0,80.0,5.25,55.968,744.0
1.0,0.0,1.0,0.0,0.0,1.0,57.45,5.875,13.5,591.0
0.0,0.0,1.0,0.0,1.0,1.0,47.76,6.125,11.7,706.0
0.0,0.0,0.0,0.0,1.0,1.0,68.35,6.25,16.95,713.0
1.0,0.0,1.0,0.0,1.0,1.0,56.64,5.5,16.2,683.0
0.0,0.0,1.0,0.0,1.0,1.0,80.0,1.25,24.92,692.0
0.0,1.0,0.0,0.0,1.0,1.0,80.0,6.5,55.68,677.0
0.0,1.0,0.0,0.0,1.0,1.0,79.89,6.0,55.92,770.0
1.0,1.0,0.0,0.0,1.0,1.0,80.0,6.375,62.4,712.0
1.0,0.0,1.0,0.0,1.0,1.0,79.24,7.375,49.528,713.0
0.0,0.0,1.0,0.0,1.0,1.0,80.0,5.25,18.0,697.0
0.0,1.0,1.0,0.0,0.0,1.0,80.0,4.621,24.0,791.0
1.0,1.0,1.0,0.0,1.0,1.0,95.0,6.35,18.525,619.0
1.0,0.0,0.0,0.0,1.0,1.0,86.59,5.0,25.11,609.0
0.0,0.0,1.0,0.0,1.0,1.0,62.8,6.25,15.7,722.0
0.0,0.0,1.0,0.0,1.0,1.0,55.0,6.25,14.3,652.0
1.0,0.0,1.0,0.0,1.0,1.0,80.0,7.5,18.0,558.0
0.0,0.0,1.0,0.0,1.0,1.0,54.38,5.875,13.16,663.0
0.0,0.0,1.0,0.0,1.0,1.0,80.0,4.375,19.2,732.0
0.0,0.0,1.0,0.0,1.0,1.0,68.75,5.75,55.0,667.0
0.0,1.0,1.0,0.0,1.0,1.0,63.24,3.0,43.0,740.0
1.0,0.0,0.0,0.0,1.0,1.0,89.26,7.5,32.4,642.0
0.0,0.0,1.0,0.0,1.0,1.0,64.71,5.75,13.2,702.0
1.0,0.0,1.0,0.0,1.0,1.0,72.5,4.125,26.1,734.0
0.0,1.0,1.0,0.0,0.0,1.0,64.69,8.25,13.1,760.0
0.0,1.0,0.0,0.0,1.0,1.0,90.31,8.25,14.45,620.0
1.0,0.0,1.0,0.0,1.0,1.0,90.0,4.0,21.15,658.0
1.0,0.0,1.0,0.0,1.0,1.0,70.0,5.5,44.1,605.0
1.0,0.0,1.0,0.0,1.0,1.0,80.0,6.0,13.76,672.0
1.0,1.0,0.0,0.0,1.0,1.0,73.95,8.4,17.6,652.0
0.0,1.0,1.0,0.0,1.0,1.0,91.27,7.0,23.0,718.0
1.0,1.0,0.0,1.0,0.0,0.0,10.0,10.65,2.5,700.0
1.0,0.0,0.0,0.0,1.0,1.0,95.0,6.25,34.675,692.0
1.0,1.0,1.0,0.0,1.0,1.0,78.13,7.375,18.75,582.0
1.0,0.0,1.0,0.0,1.0,1.0,82.0,5.66,18.86,708.0
0.0,1.0,0.0,0.0,1.0,0.0,80.0,6.0,53.9628,770.0
0.0,1.0,1.0,0.0,1.0,1.0,80.0,6.375,22.96,672.0
0.0,0.0,1.0,1.0,1.0,0.0,9.68,8.75,3.0,633.0
0.0,0.0,0.0,0.0,1.0,1.0,79.98,6.375,34.392,701.0
0.0,0.0,1.0,0.0,0.0,0.0,70.0,5.75,63.7,744.0
1.0,1.0,1.0,0.0,0.0,1.0,80.0,4.0,30.8,753.0
1.0,1.0,0.0,0.0,1.0,1.0,80.0,4.5,53.8992,743.0
0.0,0.0,0.0,0.0,1.0,1.0,80.0,6.5,56.7042,793.0
1.0,0.0,0.0,0.0,1.0,1.0,80.0,6.55,14.4,661.0
0.0,0.0,1.0,0.0,1.0,1.0,67.65,5.8,46.0,694.0
1.0,0.0,0.0,0.0,1.0,1.0,80.0,7.875,40.8,740.0
0.0,0.0,1.0,0.0,1.0,1.0,85.71,7.45,18.0,652.0
0.0,1.0,0.0,0.0,1.0,1.0,80.0,4.375,20.0,734.0
0.0,0.0,0.0,0.0,1.0,1.0,80.0,3.125,18.0,751.0
0.0,0.0,0.0,0.0,1.0,1.0,72.62,6.375,23.6,779.0
0.0,0.0,0.0,0.0,1.0,1.0,79.81,6.5,16.6,734.0
0.0,0.0,0.0,0.0,1.0,1.0,80.0,6.75,76.0,771.0
0.0,0.0,0.0,0.0,1.0,1.0,78.55,6.25,52.0,802.0
0.0,0.0,0.0,0.0,1.0,1.0,79.25,6.75,50.325,749.0
0.0,0.0,1.0,0.0,1.0,1.0,58.82,6.75,15.0,642.0
0.0,0.0,1.0,0.0,1.0,0.0,80.83,6.5,16.165,735.0
1.0,1.0,0.0,0.0,1.0,1.0,80.0,2.625,18.16,756.0
0.0,0.0,0.0,0.0,1.0,1.0,64.72,5.875,50.0,782.0
0.0,1.0,0.0,0.0,1.0,1.0,80.0,2.375,21.2,770.0
0.0,1.0,1.0,0.0,1.0,1.0,51.94,6.75,16.1,687.0
0.0,0.0,0.0,0.0,1.0,1.0,80.0,7.5,54.4574,780.0
0.0,1.0,0.0,1.0,0.0,0.0,9.96,5.5,2.55,771.0
1.0,0.0,1.0,0.0,1.0,1.0,79.99,6.15,21.25,673.0
1.0,0.0,1.0,0.0,1.0,1.0,80.0,7.375,25.6,653.0
1.0,0.0,1.0,0.0,0.0,1.0,75.0,4.0,32.4,634.0
1.0,0.0,0.0,0.0,1.0,1.0,79.93,6.375,79.9268,709.0
0.0,0.0,0.0,0.0,1.0,1.0,79.88,3.0,26.0,641.0
0.0,0.0,0.0,0.0,1.0,0.0,95.0,7.125,31.35,786.0
1.0,0.0,0.0,0.0,1.0,1.0,80.0,6.77,16.4,678.0
0.0,0.0,0.0,1.0,0.0,0.0,20.0,5.0,5.52,676.0
0.0,0.0,0.0,0.0,1.0,0.0,77.58,6.875,25.6,756.0
0.0,0.0,1.0,0.0,1.0,1.0,103.0,7.125,20.6,683.0
1.0,0.0,1.0,0.0,0.0,1.0,78.58,8.25,20.825,550.0
0.0,0.0,1.0,0.0,1.0,1.0,51.67,6.75,9.3,753.0
0.0,1.0,0.0,0.0,1.0,1.0,80.0,3.25,14.7741,755.0
1.0,0.0,1.0,0.0,1.0,1.0,75.0,7.75,16.5,706.0
0.0,0.0,0.0,0.0,1.0,1.0,80.0,6.625,60.0,772.0
