county,year,crmrte,prbarr,prbconv,prbpris,avgsen,polpc,density,taxpc,west,central,urban,pctmin80,wcon,wtuc,wtrd,wfir,wser,wmfg,wfed,wsta,wloc,mix,pctymle,d82,d83,d84,d85,d86,d87,lcrmrte,lprbarr,lprbconv,lprbpris,lavgsen,lpolpc,ldensity,ltaxpc,lwcon,lwtuc,lwtrd,lwfir,lwser,lwmfg,lwfed,lwsta,lwloc,lmix,lpctymle,lpctmin,clcrmrte,clprbarr,clprbcon,clprbpri,clavgsen,clpolpc,cltaxpc,clmix
3,86,0.0129982,0.156069,1.03704,0.392857,6.03,0.00067621,1.034749,26.599594,0,1,0,7.91632,241.5459,336.8101,181.67317,260.7562,228.16167,279.38,420.77,334.72,279.25,0.05167173,0.08363704,0,0,0,0,1,0,-4.3429446,-1.857457,0.036370497,-0.93430966,1.7967471,-7.299007,0.034158915,3.280896,5.4870596,5.819519,5.2022095,5.5635858,5.4300547,5.6325727,6.042086,5.8132944,5.6321073,-2.9628444,-2.481269,2.0689263,0.07702494,-0.28192282,0.13168058,0.06899148,-0.35385168,0.052943707,0.101327896,-0.49814034
3,87,0.0152532,0.132029,1.48148,0.45,6.35,0.00074588,1.046332,26.892078,0,1,0,7.91632,255.10204,376.25418,196.0101,258.56497,192.3077,300.38,409.83,362.96,301.47,0.0302267,0.08260694,0,0,0,0,0,1,-4.1829658,-2.0247338,0.39304158,-0.79850775,1.8484548,-7.200946,0.045290716,3.2918317,5.5416636,5.930265,5.2781663,5.555147,5.2590966,5.7050486,6.0157423,5.894293,5.7086706,-3.4990296,-2.4936616,2.0689263,0.15997887,-0.16727674,0.3566711,0.13580191,0.051707745,0.098061085,0.010935783,-0.53618526
5,81,0.00933716,0.406593,0.27027,0.5,5.53,0.00082085,0.41276595,18.630598,1,0,0,3.16053,147.929,284.9003,143.5132,200.32051,158.22784,157.24,318.96,233.33,191.98,0.08333333,0.0738525,0,0,0,0,0,0,-4.6737533,-0.8999426,-1.3083339,-0.6931472,1.7101879,-7.1051702,-0.8848746,2.9248054,4.996732,5.652139,4.966427,5.2999187,5.064036,5.057773,5.7650657,5.4524536,5.257391,-2.4849067,-2.6056855,1.1507398,,,,,,,,
5,82,0.0123229,0.38,0.736842,0.392857,9.7,0.00135551,0.41702127,19.522532,1,0,0,3.16053,147.929,343.4066,160.75256,213.67522,166.70636,164.62,314.61,247.59,188.48,0.02040816,0.07379472,1,0,0,0,0,0,-4.396296,-0.967584,-0.30538183,-0.93430966,2.272126,-6.6035776,-0.87461805,2.9715693,4.996732,5.8389153,5.0798664,5.364457,5.116234,5.1036396,5.7513337,5.511774,5.2389917,-3.8918204,-2.606468,1.1507398,0.27745724,-0.06764144,1.0029521,-0.24116248,0.56193805,0.50159264,0.046763897,-1.4069138
5,83,0.0128064,0.561905,0.559322,0.272727,6.34,0.00134163,0.41702127,19.243347,1,0,0,3.16053,169.68326,2109.1812,165.9508,196.23235,174.82518,178.17,330.5,250.17,202.07,0.3125,0.07387406,0,1,0,0,0,0,-4.35781,-0.57642245,-0.58102995,-1.299284,1.8468788,-6.61387,-0.87461805,2.9571655,5.1339335,7.654055,5.1116915,5.2792993,5.1637864,5.1827383,5.8006067,5.5221405,5.3086143,-1.1631508,-2.6053936,1.1507398,0.038486004,0.39116156,-0.27564812,-0.36497432,-0.4252472,-0.01029253,-0.01440382,2.7286696
5,84,0.0138299,0.666667,0.447368,0.411765,5.72,0.00133447,0.41702127,24.15392,1,0,0,3.16053,183.94649,328.3302,167.22408,209.0301,180.99547,192.17,340.43,259.49,210.56,0.1632653,0.07386306,0,0,1,0,0,0,-4.2809224,-0.40546462,-0.80437374,-0.88730246,1.7439687,-6.619221,-0.87461805,3.1844466,5.214645,5.7940197,5.1193347,5.3424783,5.198472,5.2583804,5.8302097,5.558718,5.3497705,-1.8123788,-2.6055424,1.1507398,0.07688761,0.17095783,-0.22334379,0.41198152,-0.10291004,-0.0053510666,0.2272811,-0.649228
5,85,0.0124753,0.60396,0.180328,0.545455,10.04,0.00148221,0.41276595,27.503681,1,0,0,3.16053,204.91803,254.52489,200.15698,218.53146,190.6257,192.6,373.06,277.24,242.61,0.278481,0.07364301,0,0,0,1,0,0,-4.3840046,-0.50424737,-1.7129779,-0.606135,2.3065772,-6.514221,-0.8848746,3.3143198,5.32261,5.5393987,5.299102,5.38693,5.250312,5.2606153,5.921739,5.6248837,5.491455,-1.2784054,-2.608526,1.1507398,-0.10308218,-0.09878275,-0.90860415,0.28116745,0.5626085,0.10500002,0.12987328,0.53397334
5,86,0.0142385,0.695652,0.270833,0.269231,5.12,0.00113496,0.41276595,43.606216,1,0,0,3.16053,212.2016,302.1978,215.41595,240.38461,196.35019,216.69,383.78,399.69,267.17,0.40816328,0.07281703,0,0,0,0,1,0,-4.251806,-0.36290574,-1.306253,-1.3121855,1.6331544,-6.781158,-0.8848746,3.7751997,5.357537,5.711082,5.372571,5.48224,5.2798996,5.3784676,5.9500694,5.9906893,5.5878854,-0.896088,-2.6198056,1.1507398,0.13219881,0.14134163,0.40672493,-0.7060505,-0.6734228,-0.26693678,0.4608798,0.38231742
5,87,0.0129603,0.444444,0.267857,0.6,6.76,0.00123431,0.41276595,34.81605,1,0,0,3.16053,226.94696,372.20844,229.32089,305.94406,209.69722,237.65,358.98,331.53,281.37,0.4651163,0.07211538,0,0,0,0,0,1,-4.3458643,-0.8109312,-1.3173021,-0.5108256,1.9110229,-6.697243,-0.8848746,3.5500786,5.4247165,5.919454,5.4351225,5.7234025,5.3456645,5.470799,5.883267,5.803718,5.6396704,-0.7654678,-2.629488,1.1507398,-0.09405851,-0.44802547,-0.011049151,0.80135995,0.2778685,0.08391476,-0.22512102,0.13062018
7,81,0.0219159,0.431095,0.627049,0.431373,6.0,0.00143266,0.48217636,38.244728,0,1,0,47.9161,284.5809,307.37704,174.24565,207.10059,208.46362,215.57,348.27,206.07,208.75,0.3286385,0.08363778,0,0,0,0,0,0,-3.8205428,-0.8414268,-0.46673054,-0.8407821,1.7917595,-6.5482225,-0.72944534,3.6440058,5.6510177,5.728075,5.160466,5.3332047,5.3397646,5.373286,5.852978,5.328216,5.3411374,-1.1127969,-2.4812598,3.8694515,,,,,,,,
7,82,0.0173807,0.612335,0.582734,0.37037,6.11,0.00141648,0.4878049,55.98516,0,1,0,47.9161,308.418,326.1756,181.70805,212.10406,239.67131,219.56,355.16,226.52,230.82,0.24725275,0.08217753,1,0,0,0,0,0,-4.052395,-0.4904757,-0.54002446,-0.99325275,1.8099267,-6.5595803,-0.7178398,4.025087,5.731456,5.787436,5.202401,5.357077,5.4792686,5.3916254,5.8725686,5.4228334,5.441638,-1.3973442,-2.4988735,3.8694515,-0.23185205,0.35095108,-0.073293924,-0.15247065,0.018167257,-0.011357784,0.3810811,-0.28454733
7,83,0.024211,0.419405,0.787313,0.236967,6.37,0.00143978,0.48968104,44.00379,0,1,0,47.9161,275.8512,575.5688,187.24117,242.16524,245.26198,231.09,367.8,234.73,240.47,0.2079395,0.08064516,0,1,0,0,0,0,-3.7209482,-0.8689182,-0.23912941,-1.4398344,1.8515995,-6.543265,-0.71400106,3.7842758,5.6198616,6.3553586,5.2323976,5.48962,5.502327,5.442807,5.9075394,5.458436,5.4825954,-1.5705081,-2.5176966,3.8694515,0.33144665,-0.37844247,0.30089504,-0.4465816,0.041672707,0.01631546,-0.24081111,-0.17316389
7,84,0.0223434,0.412458,0.497959,0.442623,8.77,0.00150461,0.4915572,39.473248,0,1,0,47.9161,297.76675,376.40295,187.76823,255.2757,267.37967,247.55,365.41,252.21,243.93,0.2375,0.07905999,0,0,1,0,0,0,-3.8012242,-0.8856209,-0.69723755,-0.8150369,2.171337,-6.499222,-0.71017694,3.6756232,5.6963105,5.9306602,5.2352085,5.542344,5.58867,5.5116124,5.90102,5.530262,5.4968815,-1.4375876,-2.5375483,3.8694515,-0.08027601,-0.016702712,-0.45810813,0.62479746,0.31973743,0.044043064,-0.10865259,0.1329205
7,85,0.0245848,0.380655,0.381148,0.483871,11.36,0.00153415,0.4934334,47.00904,0,1,0,47.9161,291.19147,358.64456,196.35628,268.3363,279.72028,253.55,392.05,277.01,260.93,0.22562142,0.07745621,0,0,0,1,0,0,-3.705627,-0.96586186,-0.9645675,-0.7259369,2.4300983,-6.479779,-0.70636743,3.85034,5.673981,5.882332,5.2799306,5.5922413,5.63379,5.535561,5.9713893,5.6240535,5.5642524,-1.4888968,-2.5580425,3.8694515,0.09559727,-0.080240965,-0.26732993,0.0891,0.2587614,0.019443035,0.17471671,-0.051309228
7,86,0.0241281,0.308057,0.615385,0.483333,8.94,0.00141033,0.4934334,38.907627,0,1,0,47.9161,353.2182,365.49707,197.03658,290.8856,259.6154,275.95,392.36,331.41,276.15,0.32983193,0.07549038,0,0,0,0,1,0,-3.724378,-1.1774704,-0.4855072,-0.7270494,2.1905355,-6.5639315,-0.70636743,3.6611903,5.867086,5.9012585,5.2833896,5.6729302,5.5592012,5.6202197,5.97218,5.803356,5.620944,-1.1091721,-2.58375,3.8694515,-0.018751144,-0.21160859,0.4790603,-0.0011125207,-0.23956275,-0.0841527,-0.18914962,0.37972474
7,87,0.0267532,0.36476,0.525424,0.435484,7.14,0.00152994,0.4915572,42.947586,0,1,0,47.9161,375.23453,397.69012,191.17201,281.0651,256.72144,281.8,412.15,328.27,299.03,0.27362204,0.07353726,0,0,0,0,0,1,-3.6211011,-1.0085156,-0.64354974,-0.8312972,1.9657128,-6.482527,-0.71017694,3.7599804,5.9275513,5.985673,5.253174,5.6385865,5.5479918,5.6411977,6.0213876,5.7938366,5.700544,-1.2960075,-2.609963,3.8694515,0.10327697,0.16895485,-0.15804255,-0.10424781,-0.22482276,0.081404686,0.09879017,-0.18683541
9,81,0.00751781,0.631579,0.555556,0.383333,7.04,0.00083531,0.53051645,16.853212,1,0,0,1.79619,195.93614,274.72528,152.73535,209.0301,178.7785,202.04,270.57,234.75,223.57,0.08917197,0.07905803,0,0,0,0,0,0,-4.8904805,-0.45953226,-0.58778584,-0.9588512,1.9516082,-7.0877075,-0.63390434,2.8245413,5.2777886,5.615772,5.0287066,5.3424783,5.1861477,5.3084655,5.600531,5.458521,5.4097247,-2.4171886,-2.537573,0.5856678,,,,,,,,
9,82,0.00873685,0.567164,0.640351,0.356164,9.95,0.00073894,0.53521127,17.203657,1,0,0,1.79619,395.9276,28.857697,149.32602,235.04274,180.5706,204.66,287.12,270.16,218.16,0.369863,0.07785536,1,0,0,0,0,0,-4.740206,-0.5671068,-0.44573882,-1.032364,2.2975726,-7.210294,-0.6250937,2.845122,5.981231,3.3623767,5.006132,5.4597673,5.1961217,5.32135,5.6599,5.5990143,5.3852286,-0.9946226,-2.5529025,0.5856678,0.15027475,-0.10757452,0.14204702,-0.07351279,0.34596443,-0.12258625,0.020580769,1.422566
9,83,0.0136804,0.377358,0.525,0.428571,7.16,0.0008604,0.5399061,17.97514,1,0,0,1.79619,216.1598,1035.5029,152.68286,255.10204,184.82661,235.73,316.5,273.47,243.48,0.08532423,0.07649205,0,1,0,0,0,0,-4.291791,-0.974561,-0.6443571,-0.8472989,1.9685099,-7.058113,-0.61636007,2.8889897,5.376018,6.9426427,5.0283628,5.5416636,5.219418,5.462687,5.7573233,5.6111917,5.4950347,-2.4612968,-2.5705686,0.5856678,0.4484148,-0.4074542,-0.19861826,0.18506509,-0.3290627,0.15218067,0.043867588,-1.4666742
9,84,0.0143262,0.41018,0.664234,0.395604,10.6,0.00090075,0.54460096,22.246586,1,0,0,1.79619,223.8806,310.55902,177.80693,261.3891,208.02515,245.88,318.89,291.72,262.94,0.08441558,0.07528177,0,0,1,0,0,0,-4.245665,-0.8911592,-0.4091208,-0.9273415,2.3608541,-7.012283,-0.60770196,3.1021886,5.411113,5.7383738,5.1806984,5.56601,5.337659,5.5048437,5.7648463,5.6757946,5.571926,-2.4720032,-2.5865173,0.5856678,0.04612589,0.0834018,0.23523629,-0.0800426,0.39234424,0.04583025,0.2131989,-0.010706425
9,85,0.0133173,0.393548,0.622951,0.407895,9.23,0.00090214,0.5492958,25.17329,1,0,0,1.79619,256.41025,313.54517,194.7082,277.36685,216.07607,265.99,348.6,316.62,296.99,0.0915493,0.07393644,0,0,0,1,0,0,-4.3186913,-0.9325522,-0.47328746,-0.8967455,2.222459,-7.0107408,-0.59911823,3.2257836,5.5467787,5.7479434,5.271502,5.625341,5.3756304,5.583459,5.853925,5.7577024,5.6936984,-2.3908777,-2.6045494,0.5856678,-0.07302618,-0.04139304,-0.064166665,0.030596018,-0.13839507,0.0015420914,0.123595,0.0811255
9,86,0.0114417,0.462687,0.596774,0.445946,6.73,0.00085386,0.54460096,27.28459,1,0,0,1.79619,265.4554,313.54517,202.16963,298.7304,219.78021,277.15,365.11,337.48,313.6,0.06349206,0.0723177,0,0,0,0,1,0,-4.4704905,-0.7707045,-0.5162168,-0.8075574,1.9065752,-7.0657434,-0.60770196,3.306322,5.581447,5.7479434,5.3091073,5.6995416,5.392628,5.624559,5.9001985,5.8215065,5.7481184,-2.7568405,-2.6266863,0.5856678,-0.1517992,0.16184771,-0.04292935,0.0891881,-0.31588387,-0.05500269,0.08053851,-0.36596274
9,87,0.0106232,0.518219,0.476563,0.442623,8.22,0.00086018,0.5469484,28.054739,1,0,0,1.79619,292.30768,377.31256,206.82149,289.31247,215.19333,290.89,377.35,367.23,342.82,0.06008584,0.07069755,0,0,0,0,0,1,-4.544715,-0.65735734,-0.7411553,-0.8150369,2.1065702,-7.0583687,-0.6034009,3.3341575,5.677807,5.933074,5.3318563,5.667507,5.3715367,5.672945,5.933173,5.905988,5.8372054,-2.811981,-2.6493442,0.5856678,-0.07422447,0.11334717,-0.22493851,-0.007479489,0.19999504,0.0073747635,0.02783537,-0.055140495
11,81,0.0188472,0.36965,0.557895,0.226415,9.93,0.00190672,0.5910931,22.321438,1,0,0,1.5407,199.2377,315.50482,150.58351,195.3125,176.53915,187.2,266.62,227.69,209.27,0.1843318,0.10633345,0,0,0,0,0,0,-3.971391,-0.99519867,-0.5835845,-1.4853857,2.2955606,-6.2623706,-0.5257817,3.1055477,5.2944984,5.7541738,5.014518,5.274601,5.1735425,5.2321777,5.5858245,5.427985,5.343625,-1.6910179,-2.2411754,0.43223682,,,,,,,,
11,82,0.0198536,0.425856,0.196429,0.363636,4.32,0.0013588,0.5951417,22.880707,1,0,0,1.5407,215.96051,320.51282,158.70052,205.27226,197.66818,173.32,290.17,247.69,225.78,0.27669904,0.1049686,1,0,0,0,0,0,-3.91937,-0.853654,-1.6274543,-1.0116019,1.4632554,-6.6011534,-0.5189557,3.130294,5.3750954,5.7699223,5.067019,5.324337,5.2865896,5.1551394,5.670467,5.512178,5.419561,-1.2848248,-2.2540941,0.43223682,0.052021027,0.14154464,-1.0438697,0.47378373,-0.8323052,-0.3387828,0.024746418,0.40619302
11,83,0.0191668,0.354244,0.354167,0.323529,13.44,0.00198034,0.5991903,24.651804,1,0,0,1.5407,213.05226,915.7509,169.18565,177.67558,203.79117,199.88,325.86,239.67,227.94,0.11522634,0.10380295,0,1,0,0,0,0,-3.9545758,-1.0377693,-1.0379866,-1.1284665,2.5982354,-6.224487,-0.51217604,3.2048502,5.3615375,6.8197446,5.1309967,5.1799593,5.3170958,5.297717,5.786468,5.479263,5.4290824,-2.160857,-2.265261,0.43223682,-0.03520584,-0.18411529,0.58946764,-0.11686456,1.13498,0.37666655,0.07455611,-0.8760321
11,84,0.0168042,0.446429,0.21,0.380952,7.16,0.00255064,0.60728747,29.730967,1,0,0,1.5407,230.97008,360.57693,169.3902,241.75824,209.16095,212.34,340.77,257.89,227.54,0.05164319,0.10246477,0,0,1,0,0,0,-4.0861263,-0.80647486,-1.5606477,-0.9650819,1.9685099,-5.971411,-0.498753,3.3921893,5.4422884,5.8877053,5.132205,5.4879384,5.343104,5.3581886,5.8312078,5.552533,5.427326,-2.963397,-2.2782362,0.43223682,-0.13155055,0.23129445,-0.5226611,0.16338462,-0.62972546,0.2530756,0.18733907,-0.80254006
11,85,0.0141194,0.530806,0.455357,0.27451,7.85,0.00247591,0.60728747,31.623087,1,0,0,1.5407,229.83115,364.1329,181.2447,303.64374,224.26944,205.47,365.97,282.34,246.76,0.26347306,0.10125484,0,0,0,1,0,0,-4.2602057,-0.63335866,-0.7866736,-1.2927676,2.0605135,-6.0011473,-0.498753,3.4538875,5.437345,5.897519,5.199848,5.715855,5.412848,5.3253,5.902551,5.643112,5.508416,-1.3338041,-2.2901146,0.43223682,-0.17407942,0.1731162,0.7739741,-0.32768577,0.092003584,-0.029736042,0.0616982,1.6295929
11,86,0.0170081,0.401544,0.211538,0.363636,13.87,0.00282375,0.60728747,33.686325,1,0,0,1.5407,234.28348,384.6154,183.37999,260.3292,217.8042,207.1,367.85,309.45,252.7,0.295,0.09994666,0,0,0,0,1,0,-4.0740657,-0.91243815,-1.5533506,-1.0116019,2.6297283,-5.8696895,-0.498753,3.517092,5.456532,5.952244,5.2115602,5.561947,5.3835964,5.333202,5.9076753,5.7347965,5.532203,-1.22078,-2.3031187,0.43223682,0.18614006,-0.2790795,-0.76667696,0.28116572,0.5692148,0.1314578,0.06320453,0.113024116
11,87,0.0146067,0.524664,0.0683761,0.5,13.0,0.00288203,0.61133605,35.22974,1,0,0,1.5407,250.40063,401.3378,187.8255,258.56497,237.15074,258.6,391.48,325.71,275.22,0.31952664,0.0989192,0,0,0,0,0,1,-4.226275,-0.64499724,-2.6827319,-0.6931472,2.5649493,-5.8492603,-0.49210846,3.5618906,5.523062,5.9948034,5.235513,5.555147,5.468696,5.5552826,5.9699345,5.7860074,5.617571,-1.1409147,-2.313452,0.43223682,-0.15220928,0.26744092,-1.1293813,0.31845474,-0.06477904,0.020429134,0.044798613,0.07986534
13,81,0.0300493,0.319665,0.481675,0.5,11.77,0.001207,0.49757868,20.102839,0,0,0,32.1794,192.69308,270.65527,172.9289,230.11177,182.90823,214.93,377.75,247.95,199.33,0.17966436,0.0793392,0,0,0,0,0,0,-3.504916,-1.1404817,-0.7304857,-0.6931472,2.465554,-6.7196174,-0.69800156,3.000861,5.261099,5.600846,5.1528807,5.4385653,5.2089844,5.370312,5.9342327,5.513227,5.294962,-1.7166648,-2.534023,3.4713266,,,,,,,,
13,82,0.0363259,0.332885,0.430303,0.497653,5.32,0.00134359,0.50484264,22.522884,0,0,0,32.1794,205.612,286.4157,172.46431,241.06947,198.3213,221.54,381.69,272.44,209.87,0.13771997,0.07798132,1,0,0,0,0,0,-3.3152242,-1.0999582,-0.84326565,-0.6978522,1.6714734,-6.61241,-0.6835085,3.114532,5.3259907,5.6574445,5.1501904,5.485085,5.2898884,5.4006033,5.9446087,5.6074185,5.3464885,-1.9825329,-2.551286,3.4713266,0.18969178,0.04052353,-0.112779975,-0.004705012,-0.7940806,0.1072073,0.113671064,-0.26586807
13,83,0.0325271,0.326021,0.491879,0.485849,6.97,0.00147627,0.5096852,24.6816,0,0,0,32.1794,193.27406,1268.2162,178.42313,241.75824,208.48311,240.26,389.8,273.8,216.4,0.12414966,0.07654491,0,1,0,0,0,0,-3.4256816,-1.1207936,-0.70952255,-0.7218574,1.9416152,-6.5182366,-0.67396194,3.206058,5.264109,7.1453667,5.184158,5.4879384,5.339858,5.481722,5.965634,5.6123977,5.3771286,-2.0862675,-2.5698776,3.4713266,-0.11045742,-0.0208354,0.1337431,-0.024005234,0.27014184,0.09417343,0.09152603,-0.10373461
13,84,0.0301272,0.302176,0.522667,0.423469,8.89,0.00121383,0.51452786,27.702269,0,0,0,32.1794,240.38461,320.51282,184.94577,275.45398,223.85022,262.75,392.41,294.95,220.0,0.15873016,0.07518762,0,0,1,0,0,0,-3.502327,-1.1967456,-0.64881074,-0.8592749,2.184927,-6.7139745,-0.6645056,3.3215144,5.48224,5.7699223,5.2200627,5.6184206,5.4109774,5.571203,5.972307,5.6868057,5.3936276,-1.8405496,-2.5877686,3.4713266,-0.076645374,-0.07595205,0.0607118,-0.1374175,0.24331176,-0.19573784,0.11545634,0.24571788
