instnm,unitid,year,private,aca,benstaff,carnegie,cf,city,core,crash,d1987,d1989,d1991,d1999,d2002,d2005,d2008,d2010,d2011,donor,fteex,ftef,ftenap,ftenap2,ftenpro,ftepro,ftestu,ftgrad,ftug,fwest,ga,glakes,hosp,invest,medical,neweng,oh,other,prof,ptf,ptnap,ptnap2,ptnpro,ptpro,ptstu,rev,rural,staffsal,staffsize,stem,tc,tt,ttnap,ttnap2
University of Denver,127060,2008,1,13.459,16.624,0,1.779,1,27.191,1,0,0,0,0,0,0,1,0,0,5.453,2.727,8.449,8.822,77.821,7.511,6.094,9.386,3.337,4.815,0,1.663,0,0.0,5.995,0,0,19.807,3.651,0,1.907,0.266,0.071,0.693,0.213,1.234,36.295,0,66.562,4.988,0,33.266,4.762,0.557,0.31
University of Denver,127060,2010,1,15.382,19.044,0,1.873,1,29.105,1,0,0,0,0,0,0,0,1,0,2.259,2.5,8.653,8.365,69.974,6.739,5.865,9.719,3.446,4.951,0,1.759,0,0.0,-4.364,0,0,17.859,4.202,0,2.068,0.247,0.061,0.552,0.206,1.322,35.565,0,70.511,5.041,0,33.241,4.712,0.58,0.337
University of Denver,127060,2011,1,15.547,18.473,0,1.988,1,28.911,1,0,0,0,0,0,0,0,0,1,3.613,2.626,8.908,8.641,74.66,6.735,6.014,9.71,3.405,5.007,0,1.839,0,0.0,5.278,0,0,18.258,5.411,0,2.152,0.237,0.056,0.546,0.206,1.298,37.935,0,69.911,4.855,0,33.805,4.768,0.567,0.322
Yale University,130794,1987,1,49.721,14.75,1,11.354,1,24.874,0,1,0,0,0,0,0,0,0,0,9.394,10.23,18.407,17.473,305.292,30.107,7.242,10.516,3.981,5.165,0,1.271,0,1.414,8.16,1,1,43.236,41.862,0,0.006,0.584,0.341,2.806,0.395,1.37,77.544,0,53.369,3.651,0,92.957,7.047,0.417,0.174
Yale University,130794,1989,1,58.799,16.397,1,12.961,1,24.738,0,0,1,0,0,0,0,0,0,0,8.793,11.817,20.863,19.61,384.571,31.398,7.794,10.686,4.063,5.185,0,0.0,0,1.448,9.861,1,1,49.066,45.967,0,1.136,0.67,0.449,2.557,0.457,1.438,80.947,0,54.062,3.317,0,107.866,6.766,0.345,0.128
Yale University,130794,1991,1,56.612,15.176,1,14.16,1,25.722,0,0,0,1,0,0,0,0,0,0,9.76,13.172,21.809,21.148,447.255,30.879,7.977,10.812,5.465,5.183,0,0.0,0,1.398,10.964,1,1,48.881,49.922,0,1.016,0.745,0.555,2.53,0.513,0.164,86.802,0,61.247,2.95,0,105.493,6.632,0.314,0.106
Yale University,130794,1999,1,82.418,19.448,1,17.475,1,23.862,0,0,0,0,1,0,0,0,0,0,24.699,13.438,25.655,27.538,758.335,32.616,14.1,10.987,4.31,5.413,0,0.003,0,1.131,118.566,1,1,50.542,61.704,0,1.436,0.934,0.873,2.19,2.184,1.264,111.396,0,75.071,3.476,0,132.96,6.744,0.245,0.064
Yale University,130794,2002,1,104.655,19.949,1,18.462,1,17.457,0,0,0,0,0,1,0,0,0,0,41.294,16.358,27.471,32.884,1081.357,34.651,16.526,11.261,5.905,5.274,0,0.0,0,0.0,100.842,1,1,46.384,83.51,0,3.375,2.753,7.579,2.913,1.829,0.082,142.261,0,74.671,3.129,0,151.039,7.895,0.24,0.074
Yale University,130794,2005,1,104.041,25.378,1,11.347,1,16.821,0,0,0,0,0,0,1,0,0,0,27.262,14.678,24.844,31.694,1004.501,34.541,17.016,11.36,5.926,5.35,0,3.602,0,0.0,207.338,1,1,70.743,85.89,0,1.903,2.703,7.304,6.048,1.893,0.084,129.972,0,118.721,3.513,0,174.784,11.594,0.366,0.142
Yale University,130794,2008,1,129.392,25.414,1,22.89,1,16.165,1,0,0,0,0,0,0,1,0,0,40.461,19.201,39.262,40.499,1640.134,44.327,21.298,10.109,4.803,5.251,0,4.547,0,0.0,442.822,1,1,99.558,86.77,0,2.453,0.94,0.883,2.156,0.702,0.055,143.396,0,85.073,3.418,0,228.949,13.918,0.352,0.124
Yale University,130794,2010,1,146.601,30.381,1,22.79,1,14.574,1,0,0,0,0,0,0,0,1,0,29.529,16.892,37.398,34.707,1204.593,38.398,17.815,11.597,6.251,5.282,0,4.47,0,0.0,-484.303,1,1,72.346,93.311,0,2.087,0.89,0.792,1.789,0.678,0.064,137.414,0,95.778,3.328,0,218.947,12.52,0.37,0.137
Yale University,130794,2011,1,151.278,32.352,1,23.412,1,14.326,1,0,0,0,0,0,0,0,0,1,62.2,16.747,38.137,34.353,1180.162,38.842,17.606,11.763,6.353,5.341,0,4.55,0,0.0,291.313,1,1,67.071,103.862,0,2.083,0.808,0.652,1.666,0.638,0.069,180.388,0,91.264,3.371,0,218.349,12.641,0.377,0.142
Catholic University of America,131283,1987,1,12.59,5.652,0,1.009,1,17.175,0,1,0,0,0,0,0,0,0,0,2.996,2.779,8.605,7.935,62.964,13.602,5.156,5.253,0.966,2.844,0,0.421,0,0.0,0.485,0,0,13.039,3.566,0,1.2,0.358,0.128,0.924,0.32,1.443,23.737,0,42.956,6.75,0,25.63,6.397,0.844,0.713
Catholic University of America,131283,1989,1,13.844,11.119,0,0.814,1,17.042,0,0,1,0,0,0,0,0,0,0,2.599,1.406,8.99,5.544,30.737,8.657,4.138,5.404,0.949,2.98,0,0.0,0,0.0,0.442,0,0,16.133,3.182,0,1.496,0.104,0.011,0.311,0.104,1.475,22.823,0,60.545,9.098,0,29.976,6.68,1.205,1.508
Catholic University of America,131283,1991,1,12.793,12.433,0,0.455,1,20.262,0,0,0,1,0,0,0,0,0,0,3.105,1.29,9.692,6.243,38.976,9.627,4.953,5.272,1.676,2.681,0,0.0,0,0.0,0.503,0,0,14.908,3.666,0,1.991,0.401,0.161,0.883,0.401,0.915,27.033,0,52.845,11.304,0,27.702,7.246,1.161,1.538
Catholic University of America,131283,1999,1,19.835,13.069,0,0.667,1,21.203,0,0,0,0,1,0,0,0,0,0,0.321,1.2,10.287,8.581,73.637,11.065,7.381,4.501,0.716,2.335,0,2.398,0,0.0,2.293,0,0,13.917,9.081,0,2.178,0.96,0.923,1.422,2.911,1.45,30.605,0,57.971,15.375,0,33.752,7.443,0.867,0.954
Catholic University of America,131283,2002,1,20.509,12.095,0,0.353,1,22.119,0,0,0,0,0,1,0,0,0,0,7.182,1.038,10.194,12.566,157.894,13.913,11.528,4.528,1.363,2.467,0,2.143,0,0.0,-0.798,0,0,14.979,5.409,0,6.868,2.716,7.378,3.489,2.694,0.698,34.71,0,50.13,24.511,0,35.488,7.575,0.603,0.7
Catholic University of America,131283,2005,1,16.933,15.239,0,0.36,1,24.178,0,0,0,0,0,0,1,0,0,0,3.731,1.328,9.334,9.874,97.498,9.494,8.546,4.994,1.41,2.802,0,1.877,0,0.0,5.225,0,0,18.674,6.709,0,2.445,3.585,12.849,1.402,3.565,0.782,34.618,0,66.503,13.581,0,35.607,6.528,0.661,0.564
Catholic University of America,131283,2008,1,15.548,14.845,0,0.422,1,25.512,1,0,0,0,0,0,0,1,0,0,4.903,1.558,8.544,9.278,86.074,8.599,7.719,5.454,1.368,3.196,0,2.094,0,0.0,4.172,0,0,19.551,4.998,0,2.09,0.678,0.46,0.422,0.678,0.89,35.413,0,64.345,10.471,0,35.099,6.032,0.701,0.492
Catholic University of America,131283,2010,1,18.48,15.682,0,0.956,1,28.36,1,0,0,0,0,0,0,0,1,0,2.809,1.664,8.938,10.018,100.354,8.071,8.354,5.65,1.484,3.347,0,1.764,0,0.0,-9.347,0,0,16.882,4.417,0,2.124,0.86,0.74,0.383,0.837,0.819,35.586,0,65.636,9.872,0,35.361,5.858,0.64,0.409
Catholic University of America,131283,2011,1,18.833,15.815,0,1.088,1,29.05,1,0,0,0,0,0,0,0,0,1,3.067,1.712,9.413,10.18,103.634,8.415,8.469,5.609,1.413,3.397,0,1.983,0,0.0,6.371,0,0,16.803,4.893,0,2.389,0.588,0.346,0.66,0.571,0.799,37.009,0,64.171,9.865,0,35.636,5.937,0.619,0.383
George Washington University,131469,1987,1,13.239,0.492,0,3.336,1,20.513,0,1,0,0,0,0,0,0,0,0,1.141,1.676,8.802,15.26,232.858,23.313,13.584,13.701,2.515,6.026,0,1.004,0,23.23,0.66,1,0,39.475,5.7,0,1.977,0.706,0.498,1.387,0.665,5.16,50.584,0,25.731,22.016,0,52.713,3.489,0.24,0.057
George Washington University,131469,1989,1,15.622,8.007,0,3.588,1,20.496,0,0,1,0,0,0,0,0,0,0,1.493,1.04,9.286,15.862,251.589,24.058,14.822,13.686,2.583,6.055,0,0.521,0,21.923,0.577,1,0,46.645,4.982,0,2.045,0.386,0.149,0.538,0.376,5.048,48.894,0,30.573,37.388,0,62.267,3.653,0.23,0.056
George Washington University,131469,1991,1,14.652,6.506,0,3.81,1,22.795,0,0,0,1,0,0,0,0,0,0,1.524,1.099,9.781,16.226,263.285,22.455,15.127,13.648,4.376,5.726,0,0.573,0,23.561,1.384,1,0,43.852,6.368,0,2.22,0.355,0.126,0.474,0.348,3.546,54.248,0,29.463,34.197,0,58.504,3.752,0.231,0.056
George Washington University,131469,1999,1,22.104,14.33,0,3.908,1,25.229,0,0,0,0,1,0,0,0,0,0,4.051,0.93,9.638,13.653,186.397,9.115,12.723,15.634,3.374,7.427,0,0.671,0,17.287,10.518,1,0,35.271,8.702,0,2.052,0.355,0.126,0.186,1.068,4.833,55.269,0,70.261,23.492,0,57.375,3.678,0.269,0.076
George Washington University,131469,2002,1,23.071,14.03,0,2.396,1,24.115,0,0,0,0,0,1,0,0,0,0,3.833,0.845,8.987,12.594,158.618,6.37,11.749,17.865,5.635,8.954,0,0.635,0,0.0,1.164,1,0,17.493,8.573,0,7.59,1.164,1.356,0.386,1.142,3.276,36.52,0,66.079,21.437,0,40.564,4.086,0.324,0.112
George Washington University,131469,2005,1,18.848,17.76,0,2.18,1,24.774,0,0,0,0,0,0,1,0,0,0,3.137,0.859,8.159,12.019,144.455,5.386,11.16,18.898,5.838,9.741,0,0.74,0,0.0,5.483,1,0,23.386,14.166,0,2.333,0.968,0.938,0.286,0.963,3.319,42.077,0,94.172,19.262,0,42.234,3.646,0.303,0.097
George Washington University,131469,2008,1,23.238,18.291,0,2.477,1,28.145,1,0,0,0,0,0,0,1,0,0,4.098,0.989,7.852,13.84,191.545,5.139,12.851,19.422,6.178,9.552,0,0.603,0,0.0,8.39,1,0,23.269,14.943,0,1.72,0.355,0.126,0.093,0.355,3.692,47.185,0,72.395,18.198,0,46.507,3.656,0.271,0.073
George Washington University,131469,2010,1,25.385,19.27,0,1.902,1,29.806,1,0,0,0,0,0,0,0,1,0,4.541,1.145,8.062,14.575,212.444,4.959,13.43,19.821,6.925,9.598,0,0.604,0,0.0,-10.086,1,0,23.735,12.704,0,2.235,0.307,0.095,0.111,0.306,3.298,47.052,0,79.14,16.057,0,49.12,3.925,0.275,0.076
George Washington University,131469,2011,1,25.038,20.488,0,1.874,1,30.157,1,0,0,0,0,0,0,0,0,1,3.966,1.18,8.009,13.25,175.563,5.579,12.07,20.166,7.258,9.747,0,0.633,0,0.0,7.477,1,0,23.722,16.282,0,2.187,0.253,0.064,0.114,0.253,3.161,50.406,0,82.242,14.954,0,48.759,3.947,0.304,0.092
Georgetown University,131496,1987,1,23.878,9.576,1,5.937,1,24.816,0,1,0,0,0,0,0,0,0,0,4.622,2.915,10.36,25.193,634.663,26.472,22.277,10.039,0.938,5.526,0,0.0,0,23.604,1.179,1,0,59.738,18.414,0,0.0,1.026,1.052,0.93,1.019,3.575,71.455,0,32.083,16.721,0,83.616,4.423,0.183,0.033
Georgetown University,131496,1989,1,24.968,19.716,1,2.331,1,26.952,0,0,1,0,0,0,0,0,0,0,5.131,2.703,8.195,7.78,60.534,11.789,5.077,10.209,1.292,5.452,0,0.314,0,25.3,0.993,1,0,68.69,23.136,0,1.309,0.375,0.141,0.847,0.326,3.465,80.519,0,85.905,6.239,0,93.658,4.555,0.585,0.378
Georgetown University,131496,1991,1,25.418,6.871,1,6.803,1,26.625,0,0,0,1,0,0,0,0,0,0,4.191,3.028,10.971,28.796,829.238,29.153,25.768,10.643,4.014,5.745,0,0.0,0,26.618,1.355,1,0,67.277,28.786,0,0.006,1.135,1.288,1.191,1.113,0.884,86.219,0,32.654,18.135,0,92.695,4.162,0.145,0.023
Georgetown University,131496,1999,1,33.24,17.759,1,6.815,1,28.556,0,0,0,0,1,0,0,0,0,0,11.935,0.652,12.755,24.466,598.599,25.38,23.814,11.65,2.424,6.085,0,0.949,0,22.232,10.038,1,0,64.907,29.183,0,1.484,1.96,3.842,0.694,5.94,3.141,91.906,0,69.981,75.411,0,98.147,4.455,0.182,0.039
Georgetown University,131496,2002,1,27.944,20.165,1,2.77,1,30.167,0,0,0,0,0,1,0,0,0,0,2.936,4.718,10.135,14.006,196.158,11.775,9.287,12.059,5.42,6.117,0,2.143,0,0.0,-6.589,1,0,29.802,23.027,0,2.745,0.871,0.758,0.63,0.771,0.522,56.13,0,73.854,4.464,0,57.747,6.46,0.461,0.237
Georgetown University,131496,2005,1,29.084,20.976,1,3.416,1,33.16,0,0,0,0,0,0,1,0,0,0,3.374,4.862,10.586,13.694,187.518,10.281,8.831,12.792,5.727,6.504,0,2.01,0,0.0,7.258,1,0,32.746,24.021,0,1.378,0.68,0.463,0.477,0.633,0.561,60.555,0,100.912,3.931,0,61.831,5.793,0.423,0.185
Georgetown University,131496,2008,1,30.156,19.567,1,3.735,1,34.184,1,0,0,0,0,0,0,1,0,0,4.189,5.247,10.738,14.717,216.586,10.029,9.47,13.95,6.266,6.587,0,1.781,0,0.0,11.424,1,0,33.649,22.25,0,1.563,0.179,0.032,0.151,0.165,1.097,60.623,0,77.48,3.716,0,63.805,5.441,0.374,0.14
Georgetown University,131496,2010,1,37.25,24.413,1,4.821,1,36.179,1,0,0,0,0,0,0,0,1,0,4.854,5.283,12.01,12.605,158.894,9.523,7.322,14.954,6.469,7.254,0,1.816,0,0.0,-13.958,1,0,27.08,26.232,0,2.04,0.138,0.019,0.136,0.122,1.231,67.266,0,82.675,3.189,0,64.33,5.149,0.413,0.171
Georgetown University,131496,2011,1,36.51,24.84,1,4.712,1,35.314,1,0,0,0,0,0,0,0,0,1,9.623,5.268,11.667,12.176,148.266,9.431,6.908,15.3,6.88,7.283,0,1.57,0,0.0,0.0,1,0,26.963,30.704,0,1.954,0.183,0.033,0.144,0.15,1.137,75.642,0,82.671,3.102,0,63.473,5.0,0.417,0.174
Howard University,131520,1987,1,23.715,9.345,0,2.799,1,38.402,0,1,0,0,0,0,0,0,0,0,1.525,7.841,13.99,25.77,664.073,34.311,17.929,9.647,0.816,7.307,0,0.0,0,21.157,0.431,1,0,50.079,7.488,0,2.07,0.643,0.414,2.986,0.39,1.524,68.572,0,27.681,6.663,0,73.794,9.122,0.363,0.132
Howard University,131520,1991,1,24.951,12.828,0,4.857,1,38.292,0,0,0,1,0,0,0,0,0,0,1.828,12.589,11.243,23.628,558.286,20.185,11.039,9.676,1.889,7.103,0,0.945,0,29.092,0.431,1,0,47.458,6.702,0,1.156,1.49,2.221,1.654,0.9,0.684,75.913,0,40.814,2.48,0,72.409,5.23,0.221,0.056
Howard University,131520,1999,1,33.265,29.132,0,5.035,1,38.192,0,0,0,0,1,0,0,0,0,0,1.46,4.291,13.259,11.447,131.036,13.2,7.156,8.163,1.553,5.108,0,0.934,0,30.079,5.555,1,0,61.073,9.01,0,1.18,0.239,0.057,0.141,0.637,1.502,78.742,0,111.524,4.744,0,94.338,7.044,0.615,0.395
Howard University,131520,2002,1,26.357,26.208,0,5.757,1,38.01,0,0,0,0,0,1,0,0,0,0,1.143,4.784,13.383,15.235,232.096,9.153,10.45,9.866,2.983,6.454,0,0.883,0,29.679,3.371,1,0,53.05,7.367,0,1.176,0.314,0.099,0.041,0.233,0.429,76.199,0,97.726,4.097,0,79.407,7.237,0.475,0.229
Howard University,131520,2005,1,21.921,22.794,0,4.295,1,38.444,0,0,0,0,0,0,1,0,0,0,1.089,3.951,11.75,14.919,222.565,9.901,10.968,10.268,3.068,6.766,0,0.27,0,29.261,8.771,1,0,56.706,7.677,0,0.209,0.467,0.219,0.078,0.448,0.434,76.472,0,107.466,5.282,0,78.627,7.246,0.486,0.241
Howard University,131520,2008,1,22.271,22.642,0,5.708,1,42.524,1,0,0,0,0,0,0,1,0,0,1.363,4.987,13.344,10.675,113.954,19.371,5.688,9.705,2.629,6.653,0,0.0,0,28.139,5.303,1,0,63.698,7.961,0,0.0,0.0,0.0,0.0,0.0,0.423,79.988,0,80.995,5.025,0,85.969,7.635,0.715,0.512
Howard University,131520,2010,1,25.925,34.154,0,4.518,1,42.068,1,0,0,0,0,0,0,0,1,0,0.0,4.335,11.871,10.199,104.017,10.576,5.864,9.805,2.874,6.569,0,0.549,0,26.083,-8.56,1,0,65.039,13.373,0,0.714,0.058,0.003,0.044,0.037,0.362,81.524,0,115.402,3.793,0,90.964,6.639,0.655,0.429
Howard University,131520,2011,1,24.89,37.125,0,3.582,1,42.125,1,0,0,0,0,0,0,0,0,1,0.0,4.204,11.137,9.832,96.677,10.083,5.629,9.967,2.85,6.729,0,1.473,0,24.544,8.905,1,0,54.256,16.435,0,0.893,0.07,0.005,0.07,0.04,0.388,83.104,0,117.876,3.737,0,79.145,6.662,0.682,0.466
University of Miami,135726,1987,1,26.464,11.487,1,6.248,1,23.334,0,1,0,0,0,0,0,0,0,0,4.498,6.75,12.392,10.053,101.057,21.608,3.303,11.684,1.216,7.558,0,1.384,0,14.841,0.821,1,0,37.906,12.567,0,0.949,0.124,0.015,0.031,0.076,2.91,55.239,0,46.462,3.691,0,64.37,5.195,0.523,0.274
University of Miami,135726,1989,1,29.792,11.853,1,7.746,1,24.054,0,0,1,0,0,0,0,0,0,0,4.541,5.681,13.694,11.009,121.197,24.26,5.328,12.497,1.95,7.749,0,0.016,0,4.946,0.934,1,0,44.709,25.525,0,1.059,0.174,0.03,0.454,0.143,2.798,59.067,0,49.898,5.208,0,74.5,4.889,0.444,0.204
University of Miami,135726,1991,1,27.438,11.246,1,8.877,1,26.876,0,0,0,1,0,0,0,0,0,0,4.463,6.643,14.522,11.955,142.929,26.785,5.312,12.909,4.076,8.008,0,0.023,0,4.978,1.161,1,0,45.154,29.94,0,1.012,0.243,0.059,0.417,0.192,0.825,66.257,0,43.404,4.832,0,72.593,4.632,0.387,0.156
University of Miami,135726,1999,1,39.372,15.707,1,10.547,1,26.874,0,0,0,0,1,0,0,0,0,0,9.083,8.865,16.163,20.428,417.293,26.61,11.563,12.649,2.396,7.826,0,0.0,0,10.256,13.89,1,0,44.958,39.037,0,1.007,0.133,0.018,0.157,0.348,2.427,85.25,0,66.016,4.306,0,84.33,4.609,0.226,0.052
University of Miami,135726,2002,1,36.996,18.559,1,7.635,1,27.9,0,0,0,0,0,1,0,0,0,0,10.287,8.906,16.105,21.216,450.133,20.347,12.31,13.923,4.291,8.943,0,2.82,0,11.103,2.095,1,0,52.731,38.747,0,2.88,0.452,0.205,0.33,0.402,0.689,88.036,0,78.799,3.667,0,89.727,7.52,0.354,0.13
