id,t,time,educ,exper,score,motheduc,fatheduc,broken,sibs,wage
1146,1,0,12,1,0.91,12,12,0,7,12.43
1423,1,3,13,1,1.2,12,14,0,3,5.05
625,1,6,10,5,-0.77,12,12,0,6,3.74
6,1,2,15,2,0.44,12,16,0,2,6.23
1735,1,1,12,5,0.75,12,12,0,3,5.81
1455,1,11,9,12,-1.24,10,12,1,1,5.05
359,1,2,16,1,0.78,16,16,0,4,9.39
1419,1,3,11,1,-0.69,12,10,0,1,6.42
1956,1,4,11,3,-0.98,3,5,1,5,5.37
1414,1,2,14,3,0.31,14,16,0,3,15.96
1162,1,3,12,1,0.09,12,12,0,2,5.31
1948,1,0,12,1,-0.37,8,8,0,6,8.5
2079,1,0,10,6,-0.55,10,8,0,2,5.58
986,1,1,12,5,-0.08,12,8,0,4,7.24
2078,1,3,12,3,-1.18,16,16,0,1,3.49
709,1,13,10,15,0.37,12,12,1,3,5.47
2072,1,0,10,2,-0.06,12,12,0,3,5.31
96,1,0,12,1,-1.04,12,8,0,4,12.43
2070,1,7,16,4,0.84,12,8,0,1,6.23
80,1,10,16,4,1.11,12,12,0,3,8.94
2068,1,3,10,5,0.04,8,8,1,4,5.31
1674,1,11,16,5,0.43,12,12,0,2,5.87
1953,1,0,9,7,-1.17,12,7,0,4,9.3
947,1,0,12,3,-0.62,12,12,1,4,8.33
1955,1,1,12,3,-0.36,9,6,0,5,5.0
1370,1,7,12,6,-0.09,12,12,1,1,13.07
2059,1,4,11,2,-0.5,6,4,1,1,5.05
1596,1,3,12,2,0.7,12,16,1,1,5.0
2,1,6,15,4,1.5,12,12,0,1,8.5
1114,1,8,12,7,-0.3,12,12,0,4,2.41
29,1,2,16,1,0.3,5,4,0,2,8.08
75,1,6,12,3,-0.35,10,15,0,3,4.44
2132,1,7,14,3,0.79,12,20,0,1,6.89
592,1,5,14,3,1.32,12,12,0,0,4.18
614,1,5,16,3,1.39,10,12,0,4,14.01
1577,1,2,12,2,0.87,12,12,0,1,11.47
2042,1,1,10,3,0.33,2,2,1,4,8.76
2045,1,6,12,9,-0.83,8,0,1,5,3.97
824,1,2,14,1,0.19,5,6,1,8,5.26
86,1,2,12,5,0.15,12,13,0,4,5.99
122,1,2,16,2,0.9,16,16,0,6,6.82
1255,1,7,15,5,1.05,12,14,0,1,7.17
1118,1,0,11,1,0.53,12,12,0,2,4.85
855,1,1,13,4,0.42,12,12,0,3,5.42
37,1,1,11,2,0.41,11,10,0,1,5.99
2040,1,0,9,6,-3.14,6,0,0,7,5.87
2081,1,2,10,4,-0.22,10,10,0,1,6.11
117,1,3,14,1,0.91,12,18,0,2,5.99
2038,1,0,10,5,-1.51,7,7,0,7,14.44
191,1,0,12,3,1.06,12,12,1,1,7.61
1803,1,0,13,1,0.53,12,12,0,3,8.94
2033,1,1,12,3,-1.97,5,4,0,9,7.92
1810,1,5,13,3,0.02,2,0,0,10,6.69
1044,1,7,15,2,1.81,16,16,0,6,21.12
1864,1,2,11,2,-1.29,16,16,1,2,5.58
1275,1,1,11,2,0.94,12,12,1,3,6.11
526,1,3,12,3,0.7,12,12,0,1,8.94
58,1,6,14,8,-0.08,10,12,0,2,8.17
2028,1,2,12,4,-0.66,12,12,0,6,5.53
781,1,5,14,3,0.89,12,12,0,3,3.9
731,1,0,12,2,0.25,12,6,0,3,7.92
786,1,3,12,2,0.12,9,8,0,1,10.7
1410,1,1,12,6,-0.99,12,12,0,3,13.74
1025,1,0,12,1,1.56,12,12,0,2,4.57
940,1,3,14,3,1.24,12,10,0,2,5.0
2017,1,3,9,5,-2.21,6,2,0,7,5.42
1381,1,3,13,5,0.84,15,16,0,0,9.39
477,1,7,15,2,1.67,16,14,0,3,2.48
577,1,3,12,2,-0.08,12,12,0,2,5.0
1081,1,0,13,2,1.25,12,12,0,1,8.76
1377,1,4,10,6,-2.22,12,16,0,4,5.21
879,1,12,15,6,-0.09,16,18,0,3,12.68
2012,1,0,11,6,-1.41,10,7,0,5,15.49
1657,1,2,11,1,0.91,12,12,0,1,5.58
1409,1,0,9,3,-1.46,16,16,1,6,5.99
1863,1,3,12,1,0.41,14,11,1,3,7.1
2148,1,0,12,5,0.95,12,16,0,2,13.2
339,1,4,12,3,-1.62,8,8,0,3,5.21
2008,1,2,12,1,-0.5,8,7,0,5,7.61
1553,1,8,15,7,0.2,12,16,0,1,12.3
1939,1,1,12,2,0.67,4,4,0,7,5.42
1652,1,8,13,8,-1.61,12,12,0,3,6.55
2004,1,3,16,0,1.45,17,20,0,2,12.55
1612,1,8,15,5,0.87,5,5,0,6,7.1
76,1,2,10,4,-0.73,9,9,0,7,5.26
104,1,7,15,3,1.78,12,16,0,3,15.33
59,1,4,16,4,0.45,12,12,0,1,18.54
1977,1,3,9,4,-0.83,11,9,1,2,4.48
13,1,0,12,3,-0.63,12,12,1,4,7.92
1780,1,3,11,7,-2.06,5,0,0,1,6.36
79,1,0,12,3,0.32,12,12,0,3,11.7
1736,1,1,9,9,-1.74,12,12,0,4,8.76
1318,1,0,11,1,1.23,12,16,0,1,7.92
383,1,7,13,6,-0.49,12,12,0,1,4.14
2138,1,3,9,5,-0.79,12,12,0,2,7.46
1007,1,13,9,18,-2.46,16,11,1,2,5.53
1495,1,4,12,6,1.2,12,12,1,8,5.81
325,1,0,12,2,0.31,12,12,0,4,6.62
1,1,0,13,1,1.0,12,12,0,1,6.17
1437,1,10,13,8,0.45,12,16,0,1,8.94
1783,1,6,14,1,1.11,12,18,0,5,9.78
1884,1,5,9,9,-0.91,6,0,0,3,4.95
1447,1,0,12,2,-1.46,12,12,0,2,4.95
1936,1,2,11,1,-0.11,12,14,0,3,5.31
1581,1,2,12,3,-1.26,12,14,0,2,7.17
1765,1,3,9,5,1.24,12,14,1,3,5.21
112,1,5,15,6,-0.36,12,13,0,3,8.08
931,1,0,12,3,0.44,12,12,0,1,12.18
2165,1,4,10,6,-0.89,12,12,0,2,4.85
496,1,1,10,2,0.51,13,13,0,5,4.95
478,1,6,9,6,-0.02,16,14,0,3,4.95
66,1,2,12,3,0.77,16,16,0,1,5.1
1974,1,5,14,1,1.11,13,12,1,2,4.18
2048,1,4,9,5,-1.82,3,6,1,4,4.85
714,1,0,12,5,-0.8,12,12,0,2,8.94
1029,1,2,12,5,0.63,12,19,0,3,15.96
1970,1,6,10,6,-0.18,12,12,0,3,3.86
1201,1,12,19,4,1.34,18,18,0,2,6.82
1958,1,0,12,1,0.18,13,12,1,2,7.03
142,1,4,15,4,0.02,12,14,0,2,9.03
1518,1,4,12,4,0.7,10,12,0,2,6.55
1880,1,0,12,5,-1.48,0,0,0,4,8.41
306,1,0,12,5,0.27,12,9,0,5,12.43
576,1,11,12,9,0.89,12,12,0,4,10.8
813,1,3,9,7,-1.77,6,8,0,7,5.99
1246,1,2,12,2,0.95,12,12,1,2,9.21
1432,1,3,11,1,-0.97,12,16,0,2,5.64
470,1,3,11,1,1.0,12,12,1,2,5.0
1526,1,5,16,5,0.47,12,10,0,0,7.32
1136,1,12,16,5,0.23,16,16,0,2,9.97
647,1,5,13,2,1.08,12,12,0,2,6.69
1109,1,0,12,3,0.69,12,8,0,4,7.54
660,1,8,15,4,0.51,12,13,0,5,13.6
1329,1,0,11,4,-2.83,12,10,0,1,5.75
1938,1,2,12,1,-0.8,3,1,0,5,5.31
1950,1,6,12,5,-1.18,11,8,0,6,1.72
52,1,2,12,2,0.91,10,12,0,3,6.05
928,1,3,12,5,-0.76,9,8,1,8,6.17
562,1,2,11,2,-0.32,11,16,1,3,11.36
2025,1,2,12,3,-0.52,0,0,0,4,3.03
787,1,4,10,6,-1.33,8,2,0,12,13.07
870,1,3,12,3,1.05,15,16,0,5,17.99
2083,1,5,13,1,0.64,12,8,0,2,3.74
1399,1,8,16,6,0.7,14,16,1,1,4.48
1682,1,4,9,5,-0.67,12,10,0,1,6.55
1241,1,4,11,5,-1.49,6,12,1,2,8.25
1319,1,8,15,4,0.3,15,17,0,1,11.13
2096,1,4,12,2,0.8,12,12,0,2,4.85
1218,1,9,16,3,1.23,15,16,0,3,21.33
261,1,12,12,12,-1.06,11,6,0,5,10.07
1520,1,6,12,3,-0.48,12,12,0,3,4.1
3,1,2,10,1,-0.36,12,12,1,1,4.76
346,1,2,12,1,1.19,12,12,0,3,5.58
1519,1,5,12,3,0.79,12,12,0,3,4.39
1644,1,0,12,3,-0.19,12,14,0,3,8.17
2107,1,1,11,2,0.97,12,12,0,6,6.75
1927,1,12,10,11,-1.49,2,5,0,8,7.46
1258,1,5,9,8,0.01,12,12,0,2,4.06
1450,1,4,16,4,0.99,10,10,0,3,14.88
1732,1,6,9,7,-0.7,10,12,0,3,6.36
1847,1,2,13,1,1.05,12,15,0,3,7.92
1748,1,1,11,1,0.68,11,12,0,3,5.7
1108,1,1,12,2,0.41,12,12,0,1,5.53
1916,1,3,12,1,1.0,14,12,0,3,13.46
314,1,0,10,1,-0.99,11,12,0,9,5.99
442,1,6,17,4,0.78,13,12,0,1,9.58
225,1,2,11,2,-0.87,12,9,0,3,9.58
883,1,5,15,2,1.05,17,17,0,2,8.25
1299,1,4,12,3,-0.17,12,12,0,5,8.67
2149,1,5,12,3,0.51,12,12,0,1,2.25
2036,1,3,11,4,-2.76,0,0,0,5,5.99
2046,1,3,12,2,-0.89,13,13,1,2,5.0
1315,1,11,15,6,0.33,12,12,1,3,15.49
1349,1,5,12,2,-0.5,12,8,0,2,4.14
1013,1,0,12,4,-0.98,9,8,0,1,9.97
1903,1,8,15,4,-0.03,12,14,0,2,17.64
1080,1,6,15,3,1.24,14,16,0,2,6.17
758,1,1,13,5,0.35,12,12,0,4,7.17
692,1,4,12,2,-0.19,12,12,0,2,5.81
1900,1,0,12,3,0.89,14,20,0,2,10.59
1686,1,0,13,2,0.12,12,12,0,5,5.26
1035,1,0,12,1,-0.58,12,12,0,4,15.49
827,1,1,12,3,-0.28,11,5,0,1,6.11
218,1,3,9,5,-0.95,14,9,1,3,5.0
447,1,0,9,2,-1.27,12,10,0,4,4.62
591,1,9,15,5,-0.06,16,12,0,2,14.73
400,1,0,11,1,0.09,12,12,1,4,3.97
68,1,6,15,2,0.38,12,12,0,2,14.3
1491,1,11,15,7,0.9,12,10,1,2,4.9
1470,1,13,10,12,-1.94,6,4,0,1,2.92
158,1,3,11,2,0.26,15,14,0,4,5.21
1887,1,0,12,2,0.2,11,8,1,7,5.1
1886,1,4,9,5,-1.2,4,2,0,7,4.81
885,1,4,11,7,-2.05,10,12,0,3,10.91
1885,1,4,11,6,-0.55,6,4,0,8,11.13
580,1,6,10,9,-1.87,10,9,1,1,4.53
693,1,5,9,9,-0.79,10,12,0,2,3.6
264,1,5,18,3,1.09,12,12,0,4,14.44
1488,1,6,12,3,1.0,13,16,0,4,4.48
564,1,3,14,1,1.05,12,12,0,1,5.16
2177,1,2,9,5,0.44,8,6,0,4,6.82
2032,1,6,11,8,-0.97,12,12,0,5,6.3
1501,1,0,14,2,0.97,12,14,0,3,7.39
1875,1,1,10,4,-1.37,8,9,0,7,4.9
1926,1,10,12,8,-0.13,2,3,0,7,6.3
1873,1,4,9,5,-1.96,8,5,0,0,5.58
2092,1,0,12,3,0.43,17,18,0,3,13.74
2039,1,4,12,6,-2.58,4,3,0,1,2.41
84,1,1,12,2,1.56,12,18,0,3,5.42
1870,1,2,10,3,-1.64,6,9,0,2,7.69
1881,1,2,12,3,0.45,3,3,0,8,8.85
639,1,8,9,9,-0.74,12,12,0,4,12.81
1901,1,3,12,1,-1.1,8,12,0,0,6.11
1866,1,0,12,2,0.7,14,17,0,12,6.69
1107,1,0,12,2,-0.52,12,12,0,1,13.07
1640,1,2,12,2,-0.56,12,12,0,4,7.54
1865,1,4,16,3,1.15,12,16,0,4,10.49
520,1,0,12,3,0.01,11,11,0,0,12.43
1892,1,0,11,2,-0.77,12,0,1,4,7.61
1522,1,3,16,1,1.24,16,12,0,1,19.11
1336,1,3,15,5,0.29,12,16,0,1,3.46
1042,1,2,13,4,0.23,16,14,0,2,15.96
708,1,3,11,5,-0.15,12,12,1,3,5.58
256,1,3,12,4,1.7,12,12,1,1,14.73
35,1,1,14,3,-1.4,11,8,0,2,4.57
996,1,10,12,10,-1.08,5,8,0,3,10.8
1171,1,3,15,3,1.09,15,14,0,3,11.94
1853,1,12,19,3,1.41,17,17,0,1,6.62
468,1,3,11,1,0.09,12,12,0,2,5.21
2000,1,6,9,8,0.75,10,12,0,1,4.44
461,1,4,12,3,-0.02,16,13,0,1,5.21
178,1,6,16,2,1.25,12,16,0,7,6.11
605,1,3,12,1,0.31,12,12,0,1,5.0
737,1,1,11,1,1.28,14,16,0,1,5.87
1742,1,3,9,6,-1.48,7,6,0,2,6.17
1099,1,2,13,5,0.82,12,16,0,2,12.68
259,1,1,11,2,0.46,11,12,0,2,6.82
1225,1,10,15,5,-0.11,16,16,0,1,7.77
453,1,1,11,1,-0.71,12,14,0,3,6.75
1346,1,0,12,2,-1.37,12,15,0,4,12.68
1477,1,1,11,2,0.72,12,8,0,1,5.42
1843,1,5,12,6,-0.8,10,12,1,5,7.1
1481,1,8,15,3,1.15,8,8,1,6,13.87
529,1,7,12,9,-0.64,11,12,0,2,11.36
1595,1,4,12,1,0.92,12,12,0,4,8.0
905,1,1,11,1,-0.19,7,12,0,2,5.58
1940,1,12,11,11,-1.49,16,9,0,7,5.93
1478,1,1,12,3,0.09,12,8,0,1,10.8
694,1,9,12,8,0.08,10,12,0,2,11.13
1397,1,2,15,2,1.07,12,7,0,3,3.71
1030,1,1,13,2,1.44,17,17,1,2,5.1
1579,1,0,11,3,0.23,12,12,0,5,9.39
1514,1,0,11,4,-0.55,8,12,0,1,8.08
504,1,2,15,2,-0.22,16,16,1,3,6.96
14,1,4,12,6,-0.36,10,12,1,2,9.03
632,1,0,12,3,0.02,12,12,0,1,12.43
1433,1,6,12,10,-2.78,10,9,0,4,7.61
168,1,0,13,1,0.28,10,10,0,0,14.15
881,1,2,15,2,1.2,15,16,0,1,1.84
780,1,2,11,1,1.03,12,12,0,1,5.99
1456,1,0,12,4,0.41,10,10,1,4,17.29
951,1,9,16,3,1.2,16,20,0,1,10.49
1372,1,3,10,4,0.41,12,15,0,2,9.3
1995,1,10,9,10,-1.16,6,16,0,3,9.78
1808,1,4,12,3,-0.53,8,8,0,5,6.17
1807,1,2,12,3,-2.2,8,4,0,0,6.96
739,1,5,12,4,1.21,10,12,0,5,7.24
1891,1,4,12,4,-1.17,10,12,1,6,3.63
686,1,4,10,4,-2.28,9,9,0,5,5.64
2056,1,11,10,12,-2.25,3,0,0,8,3.63
1658,1,0,12,4,0.42,12,12,0,3,5.75
1642,1,0,12,2,0.53,12,12,0,3,5.99
19,1,0,12,3,-0.69,12,12,1,3,10.38
118,1,3,10,6,0.2,12,12,0,2,10.8
1546,1,3,15,3,1.16,14,16,0,1,13.87
2003,1,3,12,2,0.28,12,7,0,0,8.33
2002,1,2,12,1,-0.14,12,9,0,2,6.05
579,1,0,12,4,0.65,12,10,0,2,10.8
446,1,0,10,2,-0.7,12,7,0,4,6.96
310,1,3,16,1,1.38,12,12,0,0,7.77
1876,1,2,13,3,0.27,12,12,0,1,9.97
1781,1,0,12,5,-1.12,4,0,0,4,11.13
1790,1,2,15,3,0.9,15,4,0,2,17.81
620,1,0,12,4,0.41,10,12,0,6,11.7
139,1,4,12,4,-0.34,12,12,0,4,11.94
2113,1,6,12,3,-1.37,3,3,0,8,3.22
1789,1,4,9,5,-1.49,6,12,0,2,4.53
1361,1,0,14,1,1.15,16,0,0,0,9.3
914,1,3,11,1,1.5,13,18,1,3,5.58
1786,1,1,9,5,-1.76,6,6,0,4,12.18
770,1,6,12,3,-0.39,8,8,1,4,6.69
30,1,1,12,2,1.18,12,9,0,1,6.11
2120,1,3,9,4,-1.66,5,14,1,6,6.96
1049,1,7,12,4,-0.79,12,12,0,2,4.14
892,1,1,11,3,0.92,17,12,1,3,7.03
802,1,8,15,3,0.36,12,12,1,2,16.95
571,1,4,11,6,-0.75,8,9,0,4,7.24
1386,1,8,12,5,-0.53,12,12,0,2,9.21
859,1,4,10,4,-0.7,12,11,0,1,5.05
1342,1,3,11,6,-0.22,6,6,0,7,8.25
62,1,5,13,1,1.85,20,16,0,1,4.18
2031,1,2,13,4,-0.38,12,12,0,5,13.2
711,1,1,11,2,0.88,12,11,1,2,5.87
1753,1,0,12,2,0.73,12,12,0,2,9.12
587,1,3,12,2,0.19,11,12,0,2,5.0
1015,1,2,12,6,0.47,12,12,0,4,3.19
1557,1,11,15,6,0.38,12,14,0,1,17.46
2122,1,1,15,2,0.67,16,18,0,2,14.3
1775,1,5,12,4,-0.8,6,7,0,2,7.46
1971,1,2,13,2,-0.97,12,12,0,4,5.7
771,1,1,12,2,-0.93,12,12,1,2,5.81
101,1,0,12,2,0.59,12,10,0,1,11.94
2108,1,3,12,2,1.17,12,12,0,6,2.97
509,1,8,10,10,-0.93,12,12,0,3,1.43
1767,1,0,13,2,1.31,14,13,0,2,11.13
1879,1,5,14,6,-1.51,12,12,1,5,5.47
636,1,4,12,1,1.04,12,14,0,6,5.0
1899,1,1,14,3,-0.46,6,6,0,1,6.55
246,1,0,12,2,0.03,12,14,0,1,16.12
269,1,0,10,2,-1.0,12,16,0,1,5.75
427,1,3,14,5,-0.26,10,20,0,3,11.13
1756,1,12,19,9,1.47,12,11,1,0,72.24
1755,1,1,15,1,0.47,12,14,0,2,7.77
908,1,4,11,3,0.12,12,14,0,3,6.62
299,1,8,15,4,1.08,12,12,0,3,12.43
1296,1,5,12,5,0.18,10,16,0,2,6.42
1752,1,5,15,3,0.56,15,12,0,4,4.81
16,1,6,12,4,-0.72,14,12,0,1,11.59
1217,1,7,19,4,1.22,14,16,0,3,11.82
1313,1,1,12,2,-0.11,12,18,0,4,11.47
57,1,5,12,2,0.06,12,12,0,2,4.18
759,1,1,12,4,0.22,12,12,0,2,8.76
1441,1,1,12,2,0.63,13,14,0,3,9.3
1236,1,4,12,2,-0.01,12,8,0,0,5.47
633,1,2,12,2,0.82,12,12,0,1,5.47
2156,1,6,13,2,0.26,13,14,0,3,3.67
1745,1,5,12,2,-0.23,12,11,0,2,3.78
345,1,8,16,4,1.22,8,12,0,2,11.13
155,1,0,12,5,-0.03,12,10,0,4,16.61
1911,1,1,9,5,-1.62,10,4,1,6,6.55
278,1,4,12,4,0.66,11,12,1,4,5.42
939,1,10,15,4,1.23,12,16,0,2,13.74
1166,1,2,10,2,-0.04,12,12,0,3,6.3
874,1,6,15,5,0.7,16,16,0,5,22.87
193,1,1,10,5,-0.39,12,11,0,3,5.26
1416,1,3,11,4,0.96,12,12,1,2,8.94
863,1,8,17,1,1.44,16,20,0,2,11.02
1734,1,2,12,2,-0.31,12,9,0,1,7.54
680,1,4,15,5,0.47,18,16,0,3,5.42
1228,1,9,16,2,1.03,16,18,0,2,5.26
412,1,0,12,5,-1.65,12,12,0,3,7.85
1849,1,0,11,3,0.21,14,11,0,2,5.87
328,1,0,12,3,-0.6,10,8,0,5,15.96
1161,1,7,17,1,1.6,12,18,0,1,6.05
2112,1,3,12,1,0.06,8,6,0,5,7.39
1505,1,2,14,4,0.5,12,16,0,1,8.08
1611,1,10,15,8,0.05,3,3,0,6,15.18
1384,1,9,13,11,0.05,11,11,0,2,19.89
1801,1,7,12,6,-0.77,6,12,0,6,7.69
707,1,3,11,1,0.29,11,12,0,3,5.31
198,1,0,12,4,0.56,12,12,0,3,7.77
1311,1,9,15,4,0.82,12,15,0,2,8.17
1087,1,0,12,3,-1.34,10,8,0,9,8.58
1359,1,8,12,7,-1.03,12,8,0,5,8.67
140,1,3,11,1,-0.43,12,12,0,4,5.99
841,1,1,14,3,0.71,4,7,0,5,7.03
675,1,0,12,2,0.01,12,8,0,1,7.46
2010,1,1,12,2,0.64,10,9,0,6,8.41
982,1,7,17,5,0.56,15,16,0,1,13.87
1125,1,9,9,11,-2.19,9,10,0,3,9.03
596,1,0,12,1,0.38,12,9,0,3,7.61
561,1,7,13,4,-0.26,12,12,0,2,5.53
367,1,4,15,6,0.43,14,14,1,4,16.78
1991,1,2,16,2,0.6,12,12,0,1,9.97
1425,1,4,10,4,-0.56,12,12,0,3,8.67
1590,1,8,12,6,-0.05,12,12,1,5,9.78
1434,1,2,12,2,1.38,12,12,0,2,5.64
1131,1,11,11,13,-2.08,8,5,0,8,1.73
1626,1,3,12,3,0.01,13,13,0,4,5.99
1493,1,7,13,5,0.88,12,12,0,1,5.58
2001,1,2,12,4,-1.49,9,12,0,2,11.94
1699,1,3,12,3,-2.37,6,12,0,4,8.94
1068,1,0,12,5,-0.18,9,10,0,3,10.49
768,1,4,12,4,1.33,12,9,0,2,6.89
1268,1,3,12,2,0.97,12,17,0,0,4.66
1817,1,1,14,3,0.15,9,10,0,4,13.74
1646,1,4,16,1,0.62,13,16,0,1,2.14
1925,1,1,12,2,-0.8,2,5,0,8,5.47
1415,1,1,12,1,-0.18,12,18,0,1,8.76
1709,1,3,12,2,0.46,12,6,0,2,5.64
250,1,11,15,5,1.05,12,13,0,2,10.07
1378,1,4,9,4,-1.83,12,12,1,1,5.42
1705,1,6,12,6,-0.43,5,6,0,10,5.87
1572,1,2,10,6,0.06,10,8,1,4,6.75
145,1,0,12,2,0.38,12,12,0,1,11.47
115,1,2,15,1,0.99,14,14,0,8,6.11
1710,1,0,12,2,-1.02,12,12,0,3,7.24
1445,1,3,12,0,0.97,12,14,0,2,5.0
854,1,5,12,4,-0.69,12,12,1,3,3.67
1229,1,1,12,2,-0.34,12,11,0,4,11.82
878,1,6,16,4,1.58,16,17,0,1,15.96
844,1,6,12,3,-2.19,9,10,0,2,6.49
1681,1,1,11,2,0.77,17,8,0,1,4.39
1723,1,5,13,2,-0.39,12,12,0,1,10.07
910,1,3,18,1,1.02,16,12,0,1,7.39
1503,1,0,12,3,0.83,12,11,1,3,9.49
1670,1,3,12,3,0.23,8,12,0,8,4.95
1776,1,2,11,4,-2.02,3,4,0,5,5.81
535,1,2,16,2,1.11,14,16,0,1,19.11
713,1,1,11,1,0.14,12,10,0,1,5.58
479,1,7,14,3,0.99,12,12,0,3,7.69
2088,1,2,15,4,1.03,13,18,0,3,31.82
488,1,0,11,4,0.34,12,12,0,2,6.96
1665,1,1,12,3,-0.13,12,12,0,3,6.11
1216,1,9,15,6,1.0,12,12,0,0,8.08
659,1,3,12,3,-0.02,12,14,0,1,6.36
2069,1,3,10,5,-1.13,6,12,1,1,5.47
1661,1,5,10,7,-0.41,11,12,0,3,6.69
1574,1,1,12,1,0.21,10,8,0,2,8.76
1656,1,6,12,3,-0.43,7,7,0,2,3.97
1624,1,11,12,9,-0.53,11,10,0,6,4.71
1578,1,6,12,4,0.31,15,14,0,3,6.62
544,1,2,12,4,0.69,12,12,0,2,3.97
214,1,9,12,8,-0.34,12,12,0,2,1.8
