dateid01,gold,silver
1987-06-01,6.102,6.5731
1987-07-01,6.135,6.7228
1987-08-01,6.1175,6.6324
1987-09-01,6.1296,6.6388
1987-10-01,6.1479,6.5338
1987-11-01,6.1998,6.5867
1987-12-01,6.1872,6.5117
1988-01-01,6.123,6.5084
1988-02-01,6.0521,6.4195
1988-03-01,6.123,6.5149
1988-04-01,6.107,6.4711
1988-05-01,6.1197,6.4922
1988-06-01,6.0771,6.4998
1988-07-01,6.0771,6.5084
1988-08-01,6.0626,6.4706
1988-09-01,5.9783,6.4357
1988-10-01,6.0198,6.4469
1988-11-01,6.048,6.4084
1988-12-01,6.0168,6.4172
1989-01-01,5.977,6.3712
1989-02-01,5.9584,6.373
1989-03-01,5.95,6.3658
1989-04-01,5.9356,6.3349
1989-05-01,5.8951,6.2577
1989-06-01,5.9169,6.2488
1989-07-01,5.9088,6.2433
1989-08-01,5.8861,6.2283
1989-09-01,5.902,6.2691
1989-10-01,5.9276,6.2601
1989-11-01,6.0162,6.3218
1989-12-01,5.994,6.257
1990-01-01,6.0228,6.2548
1990-02-01,6.01,6.2383
1990-03-01,5.9122,6.2066
1990-04-01,5.9074,6.2017
1990-05-01,5.8965,6.2285
1990-06-01,5.8658,6.1821
1990-07-01,5.9189,6.1852
1990-08-01,5.9539,6.18
1990-09-01,6.0033,6.1727
1990-10-01,5.9382,6.0456
1990-11-01,5.9526,6.0129
1990-12-01,5.97,6.0385
1991-01-01,5.9047,5.947
1991-02-01,5.8992,5.9077
1991-03-01,5.8745,5.9496
1991-04-01,5.8786,5.9747
1991-05-01,5.8882,6.0241
1991-06-01,5.9119,6.0989
1991-07-01,5.8944,6.0082
1991-08-01,5.8523,5.9441
1991-09-01,5.8708,6.0247
1991-10-01,5.88,6.0137
1991-11-01,5.9036,6.0076
1991-12-01,5.8673,5.9558
1992-01-01,5.8732,6.0237
1992-02-01,5.867,6.0207
1992-03-01,5.8364,6.021
1992-04-01,5.8186,5.9868
1992-05-01,5.8199,6.0057
1992-06-01,5.8393,5.9979
1992-07-01,5.8804,5.9795
1992-08-01,5.8289,5.9175
1992-09-01,5.8546,5.9312
1992-10-01,5.8279,5.9307
1992-11-01,5.8125,5.9222
1992-12-01,5.8083,5.9052
1993-01-01,5.8002,5.9155
1993-02-01,5.7923,5.8768
1993-03-01,5.8226,5.9636
1993-04-01,5.8742,6.0634
1993-05-01,5.9395,6.1556
1993-06-01,5.9356,6.1258
1993-07-01,6.0057,6.2729
1993-08-01,5.9171,6.1826
1993-09-01,5.8728,5.9989
1993-10-01,5.9103,6.0873
1993-11-01,5.9135,6.1019
1993-12-01,5.9681,6.2373
1994-01-01,5.9356,6.2265
1994-02-01,5.9449,6.2621
1994-03-01,5.9655,6.3518
1994-04-01,5.9299,6.2691
1994-05-01,5.9605,6.309
1994-06-01,5.961,6.2636
1994-07-01,5.9504,6.2715
1994-08-01,5.9565,6.2837
1994-09-01,5.9758,6.3315
1994-10-01,5.9519,6.2813
1994-11-01,5.948,6.2295
1994-12-01,5.9474,6.1841
1995-01-01,5.9261,6.1522
1995-02-01,5.9309,6.107
1995-03-01,5.9706,6.2461
1995-04-01,5.9626,6.3679
1995-05-01,5.951,6.2719
1995-06-01,5.9551,6.2781
1995-07-01,5.9483,6.234
1995-08-01,5.9462,6.2771
1995-09-01,5.95,6.3149
1995-10-01,5.9474,6.2841
1995-11-01,5.9606,6.25
1995-12-01,5.9586,6.2426
1996-01-01,6.0057,6.3135
1996-02-01,5.9948,6.314
1996-03-01,5.9828,6.3131
1996-04-01,5.9706,6.2686
1996-05-01,5.9686,6.2795
1996-06-01,5.9461,6.2198
1996-07-01,5.9542,6.2369
1996-08-01,5.9574,6.2529
1996-09-01,5.9365,6.1905
1996-10-01,5.9395,6.179
1996-11-01,5.9174,6.1617
1996-12-01,5.9126,6.1733
1997-01-01,5.8411,6.2061
1997-02-01,5.8823,6.2639
1997-03-01,5.8521,6.2403
1997-04-01,5.8292,6.1447
1997-05-01,5.8437,6.1856
1997-06-01,5.8128,6.1633
1997-07-01,5.788,6.0828
1997-08-01,5.7831,6.158
1997-09-01,5.8083,6.2476
1997-10-01,5.7448,6.1769
1997-11-01,5.6932,6.2724
1997-12-01,5.6669,6.3961
1998-01-01,5.7139,6.4048
1998-02-01,5.6986,6.4568
1998-03-01,5.7083,6.4528
1998-04-01,5.7359,6.4321
1998-05-01,5.6834,6.2059
1998-06-01,5.6959,6.2818
1998-07-01,5.6649,6.3145
1998-08-01,5.6173,6.2096
1998-09-01,5.6868,6.2888
1998-10-01,5.68,6.2255
1998-11-01,5.678,6.1995
1998-12-01,5.6621,6.2156
1999-01-01,5.6569,6.261
1999-02-01,5.6593,6.3244
1999-03-01,5.6343,6.2373
1999-04-01,5.6579,6.2989
1999-05-01,5.5982,6.2015
1999-06-01,5.5651,6.2572
1999-07-01,5.5444,6.3003
1999-08-01,5.5419,6.23
1999-09-01,5.7071,6.2586
1999-10-01,5.7054,6.271
1999-11-01,5.6757,6.25
1999-12-01,5.6733,6.2519
2000-01-01,5.6456,6.2653
2000-02-01,5.6827,6.2334
2000-03-01,5.6256,6.2015
2000-04-01,5.6177,6.202
2000-05-01,5.6082,6.1944
2000-06-01,5.6664,6.2181
2000-07-01,5.6249,6.2046
2000-08-01,5.624,6.1964
2000-09-01,5.6108,6.1919
2000-10-01,5.5777,6.1612
2000-11-01,5.593,6.1377
2000-12-01,5.6093,6.1258
2001-01-01,5.5805,6.1717
2001-02-01,5.5842,6.0936
2001-03-01,5.5562,6.0707
2001-04-01,5.5754,6.0788
2001-05-01,5.5882,6.0924
2001-06-01,5.6029,6.0719
2001-07-01,5.5833,6.0438
2001-08-01,5.6098,6.0403
2001-09-01,5.681,6.128
2001-10-01,5.6366,6.058
2001-11-01,5.6166,6.0259
2001-12-01,5.6233,6.1137
2002-01-01,5.6417,6.058
2002-02-01,5.6931,6.0947
2002-03-01,5.7121,6.1474
2002-04-01,5.7291,6.1312
2002-05-01,5.7847,6.2246
2002-06-01,5.7613,6.1883
2002-07-01,5.7198,6.1442
2002-08-01,5.7468,6.1236
2002-09-01,5.7795,6.1164
2002-10-01,5.7587,6.1037
2002-11-01,5.765,6.0936
2002-12-01,5.8385,6.1453
2003-01-01,5.9081,6.1888
2003-02-01,5.8572,6.142
2003-03-01,5.8171,6.1003
2003-04-01,5.8238,6.1323
2003-05-01,5.8965,6.1225
2003-06-01,5.8513,6.1104
2003-07-01,5.8713,6.2305
2003-08-01,5.9309,6.2354
2003-09-01,5.9539,6.2373
2003-10-01,5.9591,6.2413
2003-11-01,5.9865,6.2823
2003-12-01,6.0337,6.3911
2004-01-01,5.9946,6.4337
2004-02-01,5.9795,6.4892
2004-03-01,6.0527,6.6625
2004-04-01,5.9604,6.3886
2004-05-01,5.9757,6.4241
2004-06-01,5.9789,6.3818
2004-07-01,5.9665,6.4646
2004-08-01,6.0167,6.5132
2004-09-01,6.0355,6.502
2004-10-01,6.055,6.5737
2004-11-01,6.107,6.6535
2004-12-01,6.0824,6.5243
2005-01-01,6.0436,6.5103
2005-02-01,6.08,6.5999
2005-03-01,6.0583,6.5775
2005-04-01,6.0787,6.5482
2005-05-01,6.0308,6.5695
2005-06-01,6.0837,6.5653
2005-07-01,6.0633,6.5716
2005-08-01,6.0717,6.5132
2005-09-01,6.1545,6.6241
2005-10-01,6.1435,6.6548
2005-11-01,6.205,6.7105
2005-12-01,6.2394,6.7833
2006-01-01,6.3454,6.8987
2006-02-01,6.3275,6.8768
2006-03-01,6.3691,7.0694
2006-04-01,6.4774,7.1353
2006-05-01,6.4725,7.1801
2006-06-01,6.4186,6.9754
2006-07-01,6.4499,7.0423
2006-08-01,6.4364,7.1389
2006-09-01,6.3909,7.0519
2006-10-01,6.4059,7.0967
2006-11-01,6.4733,7.2211
2006-12-01,6.4528,7.1624
2007-01-01,6.4812,7.1974
2007-02-01,6.506,7.2661
2007-03-01,6.4981,7.1967
2007-04-01,6.5232,7.2079
2007-05-01,6.4953,7.1892
2007-06-01,6.4777,7.1341
2007-07-01,6.4993,7.1647
2007-08-01,6.5112,7.0859
2007-09-01,6.6114,7.2189
2007-10-01,6.6728,7.2668
2007-11-01,6.6627,7.2605
2007-12-01,6.7288,7.2971
2008-01-01,6.8277,7.423
2008-02-01,6.8781,7.5817
2008-03-01,6.8378,7.495
2008-04-01,6.7683,7.4067
2008-05-01,6.7893,7.4295
2008-06-01,6.8272,7.4759
2008-07-01,6.8212,7.4662
2008-08-01,6.727,7.2269
2008-09-01,6.7772,7.167
2008-10-01,6.5911,6.833
2008-11-01,6.7003,6.9197
2008-12-01,6.7595,6.9838
2009-01-01,6.8266,7.1317
2009-02-01,6.8586,7.1861
2009-03-01,6.8201,7.1785
2009-04-01,6.7845,7.1412
2009-05-01,6.8667,7.3473
2009-06-01,6.8438,7.2399
2009-07-01,6.8398,7.2174
2009-08-01,6.8546,7.2821
2009-09-01,6.9098,7.4055
2009-10-01,6.9527,7.4128
2009-11-01,7.0713,7.5033
2009-12-01,6.9994,7.4378
2010-01-01,6.9827,7.3957
2010-02-01,7.0081,7.3852
2010-03-01,7.0149,7.4674
2010-04-01,7.0731,7.5294
2010-05-01,7.0926,7.5246
2010-06-01,7.1258,7.5358
2010-07-01,7.0694,7.4765
2010-08-01,7.1285,7.5427
2010-09-01,7.1712,7.6994
2010-10-01,7.2059,7.7816
2010-11-01,7.2336,7.9058
2010-12-01,7.2567,8.0272
2011-01-01,7.1946,7.9284
2011-02-01,7.2549,8.1164
2011-03-01,7.2704,8.2393
2011-04-01,7.3368,8.4908
2011-05-01,7.3383,8.2597
2011-06-01,7.3204,8.1611
2011-07-01,7.3924,8.2848
2011-08-01,7.5102,8.3272
2011-09-01,7.3888,8.0213
2011-10-01,7.4526,8.1386
2011-11-01,7.465,8.0504
2011-12-01,7.3617,7.9438
2012-01-01,7.4565,8.1197
2012-02-01,7.4586,8.2223
2012-03-01,7.4169,8.0843
2012-04-01,7.4147,8.0456
2012-05-01,7.3563,7.9409
2012-06-01,7.3761,7.904
2012-07-01,7.391,7.9445
2012-08-01,7.4232,8.0236
2012-09-01,7.4812,8.1505
2012-10-01,7.4525,8.0796
2012-11-01,7.4489,8.1397
2012-12-01,7.416,8.0047
2013-01-01,7.4169,8.0718
2013-02-01,7.367,7.9707
2013-03-01,7.3751,7.96
2013-04-01,7.2914,7.8006
2013-05-01,7.239,7.7218
2013-06-01,7.1029,7.5422
2013-07-01,7.1775,7.5979
2013-08-01,7.2425,7.7681
2013-09-01,7.1936,7.6816
2013-10-01,7.1881,7.7053
2013-11-01,7.1336,7.5974
2013-12-01,7.0966,7.5756
2014-01-01,7.125,7.5658
2014-02-01,7.1897,7.6625
