advanced,alcbev,appar,college,entert,food,foodaway,health,income,smsa
0,0.0,126.56,0,66.19,125.19,96.3,46.15,79.17,1
0,0.0,27.22,1,26.67,57.78,28.89,0.0,22.71,1
0,1.67,87.11,0,132.33,130.0,86.67,129.19,92.59,1
0,0.0,6.11,0,0.59,50.56,4.81,0.0,19.03,1
0,3.33,11.11,0,79.22,173.33,28.89,144.44,59.21,1
0,0.0,7.67,0,8.89,134.81,67.41,170.0,89.17,1
0,6.67,0.0,0,50.0,79.44,72.22,50.0,60.42,1
1,25.56,129.67,0,150.67,202.22,61.78,86.67,145.0,1
0,0.0,12.26,0,28.96,33.7,25.37,32.77,62.5,1
0,0.0,13.33,0,18.33,105.11,45.56,81.24,84.83,1
0,0.0,12.07,0,12.89,63.56,38.52,84.18,37.09,0
0,7.78,0.0,0,45.33,62.59,0.0,42.07,70.83,1
0,4.44,54.33,0,32.96,115.56,37.78,76.89,38.39,1
0,5.33,17.11,1,24.44,52.59,72.59,0.0,20.79,1
0,0.0,0.0,0,6.56,24.07,0.0,0.0,75.02,0
0,0.0,9.78,1,14.0,149.26,57.78,13.33,150.0,1
0,5.56,1.85,0,151.11,72.22,21.11,140.44,121.68,1
1,0.0,28.56,0,1.56,65.0,11.81,4.44,138.5,1
1,0.0,0.0,0,0.0,53.7,14.44,31.11,75.85,1
0,0.0,0.0,0,4.44,26.48,0.0,19.43,27.21,1
0,0.0,60.0,0,22.0,115.56,28.89,5.56,51.67,0
0,7.78,0.0,0,110.0,48.15,38.52,172.37,77.5,1
0,0.0,7.11,1,225.33,108.33,7.22,611.6,42.4,1
0,8.89,20.89,0,122.22,67.41,25.04,0.0,14.34,1
1,20.0,45.78,0,32.22,96.3,19.26,0.0,53.62,1
1,108.89,76.44,0,124.89,274.44,167.78,185.22,186.79,1
1,0.0,32.33,0,6.78,130.0,86.67,1093.67,113.34,1
0,0.0,11.11,1,44.0,163.7,103.7,0.0,110.88,1
1,52.22,575.33,0,473.56,224.0,196.0,85.0,161.59,1
0,0.0,0.0,0,18.89,168.52,0.0,3.0,47.94,1
0,4.44,0.0,0,27.11,47.19,33.7,526.83,42.72,1
0,20.0,41.11,1,227.78,231.11,87.22,40.0,110.04,1
1,0.0,20.78,0,40.33,128.56,57.78,65.56,54.35,1
0,13.33,47.22,1,93.0,122.78,72.22,111.11,55.42,1
0,0.0,5.22,1,50.89,144.44,0.0,133.9,47.68,1
0,40.56,191.96,1,222.19,163.7,109.44,92.44,137.52,1
0,6.67,0.0,0,26.44,28.89,20.0,41.77,31.75,1
0,0.0,16.67,0,39.33,137.22,0.0,40.0,41.31,1
0,21.89,35.56,1,36.22,120.37,112.26,31.11,179.95,1
0,0.0,1.11,1,0.0,48.15,14.44,56.64,70.17,1
0,5.56,20.0,1,33.33,125.19,0.0,0.0,179.77,1
1,6.67,104.44,0,136.11,158.89,72.22,182.22,131.67,1
0,0.0,1.85,0,0.0,43.33,0.0,0.0,43.46,1
1,0.0,47.59,0,4.67,60.19,38.52,80.78,65.2,1
1,21.44,3.96,0,22.0,250.37,35.15,329.98,45.57,1
0,0.0,47.0,1,278.0,264.81,48.15,89.44,181.55,1
1,48.89,90.0,0,45.85,109.93,0.0,0.0,80.0,1
0,0.0,0.0,1,45.0,164.11,76.22,0.0,31.88,1
0,0.0,0.0,1,28.0,96.3,44.44,0.0,42.49,1
1,0.0,36.11,0,10.0,86.67,28.89,68.63,32.96,0
0,2.22,22.22,0,27.52,45.74,4.81,4.7,115.67,0
0,0.0,0.0,0,59.33,158.89,0.0,39.97,14.37,1
0,22.22,6.11,0,34.56,158.89,28.89,23.31,43.63,1
0,16.67,44.44,0,86.22,195.0,67.78,88.33,67.54,1
0,0.0,0.0,0,5.67,54.7,25.41,0.0,40.94,1
0,0.0,277.78,1,35.56,86.67,77.04,28.89,94.27,1
0,0.0,8.33,1,16.67,126.0,76.67,0.3,110.83,1
0,28.11,55.33,0,148.89,186.44,108.33,181.11,118.2,1
0,0.67,20.0,0,36.56,57.78,28.89,0.0,16.46,1
0,3.33,11.78,0,3.0,134.44,42.22,160.22,43.98,1
1,5.56,4.44,0,39.78,40.93,48.15,190.33,71.51,1
0,0.0,0.0,0,0.74,77.04,9.63,111.09,41.02,0
1,0.0,0.0,0,0.0,149.89,69.56,0.0,66.89,1
0,23.33,0.0,0,41.67,108.33,144.44,26.0,106.0,1
1,26.67,24.89,0,26.67,173.33,72.22,6.67,65.31,1
0,0.0,0.0,0,0.0,72.22,36.11,66.67,102.0,1
0,0.0,19.67,0,21.0,43.33,9.63,7.11,70.83,1
0,0.0,36.11,1,86.22,130.0,72.22,79.44,30.0,1
1,0.0,17.78,0,0.0,108.33,28.89,91.67,63.33,1
0,8.89,3.7,0,21.48,48.15,24.07,0.0,19.64,1
0,0.0,4.22,0,38.89,72.22,72.22,57.78,34.77,1
0,21.67,73.33,0,61.11,187.44,153.33,124.49,66.95,1
0,0.0,0.0,0,92.78,158.89,0.0,131.08,59.94,1
0,0.0,0.0,0,0.0,130.0,48.15,0.0,26.42,1
0,0.0,0.0,0,12.22,31.3,13.04,4.81,35.83,1
0,0.0,0.0,0,27.22,37.78,20.0,195.67,53.81,1
0,7.78,12.96,1,35.67,77.04,19.26,56.44,101.67,1
0,0.0,28.52,0,11.11,105.93,24.07,0.0,36.47,1
0,0.0,135.56,1,109.0,269.63,52.96,137.78,68.56,1
0,0.0,0.0,0,0.0,86.67,26.67,31.09,42.32,1
1,0.0,46.67,0,34.26,96.3,48.15,45.89,91.67,1
0,0.0,7.11,0,66.67,52.96,20.59,35.56,22.34,0
0,0.0,7.96,1,12.56,81.85,19.26,0.0,39.17,1
0,0.0,18.33,1,156.11,274.44,21.67,563.52,81.43,0
0,0.0,0.0,0,13.33,120.37,0.0,46.67,49.91,1
0,0.0,0.0,0,9.44,38.52,0.0,25.44,49.49,1
0,0.0,6.67,0,9.44,168.52,24.07,64.44,20.42,0
0,0.0,8.89,0,0.0,144.44,43.33,56.63,24.63,0
0,0.0,6.0,0,0.0,54.7,25.41,0.0,13.4,1
0,0.0,0.0,0,9.89,36.11,0.0,31.09,56.16,1
0,0.0,36.11,1,36.22,397.22,72.22,75.0,85.87,0
0,6.67,78.44,1,33.11,96.3,48.15,134.46,146.18,1
0,5.11,0.0,0,13.33,86.67,0.0,0.0,65.0,1
0,0.0,0.0,0,82.22,173.33,41.89,26.33,54.17,1
0,0.0,41.78,0,80.56,187.78,57.78,61.11,57.5,0
0,0.0,0.0,0,11.78,86.67,0.0,0.0,22.91,1
0,0.0,68.89,1,56.15,91.48,51.7,102.81,103.33,1
0,0.0,90.78,1,67.3,68.15,79.04,2.89,60.0,1
0,20.0,2.56,1,27.11,109.78,24.07,61.26,82.94,0
1,86.67,72.22,0,131.78,115.56,76.67,342.78,87.5,1
0,0.0,33.33,1,45.67,93.89,43.33,0.0,76.89,1
0,0.0,2.22,0,52.11,62.59,14.44,111.73,32.19,0
0,0.0,18.33,1,24.44,36.11,48.15,0.0,83.95,1
0,0.0,0.0,0,26.56,173.33,0.0,74.15,58.33,0
0,0.67,0.0,0,0.0,93.19,35.04,49.44,26.13,1
0,0.0,0.0,0,0.0,57.78,0.0,30.64,25.35,0
0,0.0,3.67,1,12.22,105.63,45.78,0.0,85.87,1
1,0.0,12.7,0,46.44,207.04,96.3,66.67,195.06,1
0,0.0,2.96,1,8.89,269.63,19.26,228.89,53.62,1
0,0.0,0.0,0,23.44,164.11,76.22,7.33,61.38,0
0,26.67,81.33,0,50.22,216.67,72.22,0.0,31.26,1
1,25.0,17.22,0,104.44,375.0,0.0,76.33,90.75,1
1,27.78,104.44,0,201.52,144.44,1179.0,15.67,180.12,1
1,0.0,31.44,0,95.44,125.19,48.15,112.33,94.63,1
0,10.0,14.44,0,71.33,180.56,86.67,4.44,43.33,1
0,0.0,0.0,0,0.0,48.15,0.0,0.0,25.0,0
0,0.0,24.33,0,18.44,207.04,38.52,84.16,18.33,1
0,0.0,22.96,0,33.78,62.59,9.63,11.11,21.73,1
1,0.0,83.33,0,72.59,132.41,12.04,21.37,152.93,1
0,0.0,0.0,0,11.3,42.19,0.0,41.25,22.94,1
0,0.0,41.67,1,6.44,65.0,24.07,14.81,104.17,1
0,0.0,26.67,1,125.11,122.78,265.56,0.0,101.19,1
0,0.0,4.44,0,3.89,24.07,0.0,0.0,10.67,1
0,0.0,8.22,0,6.67,96.3,0.0,0.0,33.33,1
0,0.0,0.0,0,0.0,144.44,76.67,123.31,70.63,1
0,33.33,21.11,0,26.56,130.0,36.11,217.78,48.35,1
0,0.0,0.56,0,5.33,62.59,14.44,0.0,20.33,1
0,11.11,0.0,0,11.11,96.3,19.26,0.0,47.39,1
1,0.0,0.0,0,14.67,38.52,0.0,3.89,51.99,1
0,0.0,2.56,1,8.33,24.07,28.89,72.22,49.03,1
1,0.0,2.22,0,120.89,122.78,86.67,323.33,72.06,1
0,0.0,0.0,0,0.0,62.59,9.63,25.93,70.83,0
1,0.0,0.0,0,22.96,50.56,19.26,0.0,64.9,1
0,0.0,9.41,1,7.78,31.3,9.63,5.56,76.9,1
1,13.33,59.89,0,131.22,130.0,41.11,253.33,100.09,1
0,5.56,0.0,1,19.96,48.15,17.33,42.78,95.97,1
1,0.0,0.0,0,0.0,36.11,12.04,0.0,13.35,1
0,4.44,45.22,1,76.33,72.22,84.74,27.0,108.76,1
0,6.67,89.22,0,87.33,101.11,36.11,0.0,40.0,1
0,0.0,12.11,0,53.89,130.0,28.89,0.0,13.18,1
0,31.11,53.33,0,169.37,86.67,73.78,248.15,174.07,1
0,13.33,0.0,0,49.22,72.22,57.78,75.0,35.9,1
1,30.0,148.33,0,61.11,202.22,28.89,78.89,117.93,1
0,0.0,0.0,1,11.11,17.33,12.04,830.77,88.55,1
1,0.0,1.85,0,18.96,95.19,374.07,34.78,179.12,1
1,6.67,0.0,0,60.33,24.07,24.07,52.89,97.5,1
0,0.0,15.56,1,219.11,147.78,150.0,115.78,133.58,1
0,0.0,0.0,1,9.11,57.78,14.44,0.0,30.01,1
0,0.0,88.11,1,173.11,137.22,22.22,204.89,82.52,1
0,0.0,5.0,1,8.33,24.07,7.22,48.07,65.0,1
0,23.33,15.56,1,24.0,216.67,28.89,38.89,103.33,1
1,13.33,6.67,0,46.67,361.11,0.0,778.33,123.44,1
1,0.0,14.22,0,26.22,48.15,48.15,0.0,102.12,1
0,0.0,53.33,0,82.96,86.67,48.15,39.53,88.26,1
0,0.0,0.0,1,7.78,55.37,9.63,58.15,86.17,0
0,13.33,127.78,0,132.22,274.44,113.33,33.33,72.15,1
1,5.56,11.11,0,105.89,91.48,9.63,16.67,98.92,1
0,0.0,7.11,0,7.78,28.89,0.0,108.17,83.72,1
0,0.0,0.0,0,43.67,36.11,14.44,11.19,74.17,1
0,0.0,0.0,0,48.22,91.48,14.44,90.22,80.84,1
0,0.0,0.0,0,7.78,55.37,19.26,0.0,38.33,1
1,0.0,0.0,0,114.26,52.96,12.04,22.22,95.25,1
1,0.0,17.67,0,19.85,125.19,82.22,303.33,66.83,1
1,0.0,11.85,0,28.44,67.22,35.37,70.67,40.63,1
0,0.0,0.0,0,6.0,72.22,0.0,193.33,18.0,1
0,0.0,51.11,0,52.33,101.11,43.33,0.0,25.0,1
0,0.0,18.52,0,22.44,202.22,0.0,237.51,124.99,1
0,0.0,0.0,0,2.78,154.07,14.44,55.56,81.93,1
0,0.0,5.56,1,19.56,31.3,48.15,48.41,89.17,1
0,0.0,35.0,0,18.44,72.22,43.33,0.0,10.0,1
0,16.0,0.0,0,0.0,325.0,72.22,424.56,47.11,1
0,7.78,38.89,1,56.33,55.37,14.44,66.67,82.98,1
0,4.44,0.0,1,20.0,108.33,42.78,66.67,85.83,1
0,0.0,63.89,1,58.89,173.33,93.89,246.67,129.91,1
0,0.0,0.0,0,8.89,53.7,22.44,49.53,55.05,1
0,0.0,214.44,1,45.67,122.78,167.04,13.33,157.3,1
0,1.0,0.0,1,31.67,164.67,21.67,147.78,57.61,1
0,0.0,6.67,0,87.67,93.89,28.89,0.0,108.83,1
0,0.0,0.0,1,9.89,45.74,36.11,71.3,84.38,1
0,4.44,1.67,1,13.33,43.33,19.26,66.33,76.67,1
0,24.44,2.59,0,23.33,115.56,48.15,38.81,41.42,1
0,16.67,0.0,1,141.78,238.89,39.63,56.87,198.6,1
0,0.0,24.89,0,5.0,252.78,36.11,0.0,48.17,1
0,0.0,0.0,0,18.89,60.19,48.15,0.0,45.83,1
0,0.0,32.56,0,49.48,33.7,19.26,82.33,71.69,1
0,0.0,11.67,1,10.22,60.67,18.52,0.0,37.78,1
0,0.0,2.22,1,18.67,86.67,19.26,81.11,166.67,1
1,19.44,10.56,0,88.89,78.15,63.52,52.22,110.5,1
1,24.89,23.33,0,126.0,144.44,114.0,0.0,123.33,1
0,0.0,2.22,0,0.0,48.15,4.81,22.2,31.09,1
1,12.22,3.7,0,4.41,43.33,48.15,35.56,97.75,1
0,0.0,24.0,1,117.0,202.22,57.78,71.11,77.5,1
0,0.0,17.78,1,6.67,33.7,0.0,0.0,82.88,1
1,0.0,64.67,0,31.78,115.56,48.15,141.11,81.65,1
0,0.0,11.11,1,57.89,317.78,0.0,132.78,50.0,1
0,13.33,0.0,0,34.44,119.04,0.0,77.16,12.75,1
0,18.89,0.0,0,7.56,120.37,63.89,3.33,92.39,0
1,0.0,7.78,0,273.78,105.93,48.15,44.44,36.67,1
0,0.0,11.11,1,32.0,122.78,81.89,126.56,51.54,1
0,0.0,0.0,0,0.0,81.85,0.0,115.27,31.16,1
0,55.22,4.44,0,147.7,48.15,289.07,0.0,184.37,1
0,8.0,46.33,1,135.78,130.74,110.74,94.81,92.93,1
0,0.0,0.0,1,47.96,108.33,7.22,38.52,171.62,1
1,13.33,24.15,0,218.41,130.22,212.81,204.27,146.85,1
0,0.0,0.0,1,38.33,154.07,0.0,0.0,44.3,1
0,8.33,11.56,1,11.44,24.07,36.11,1.11,91.67,1
0,0.0,77.89,1,186.3,169.07,70.74,577.89,149.17,1
1,16.67,30.11,0,9.89,70.3,120.37,0.0,105.44,1
1,22.22,57.22,0,54.81,168.52,48.15,23.11,37.53,1
0,7.78,0.0,0,0.0,62.59,9.63,0.0,28.45,1
0,0.0,12.59,1,35.81,84.26,0.0,98.15,72.82,1
0,3.33,3.33,1,7.0,13.96,7.22,0.0,37.94,1
0,27.78,2.22,0,32.78,72.22,72.22,166.33,90.97,1
1,0.0,28.89,0,18.89,38.52,16.85,12.96,96.04,1
0,0.0,0.0,1,16.67,63.7,57.78,144.44,140.43,1
0,0.0,68.52,0,0.0,77.04,38.52,2.78,30.0,1
0,0.44,0.0,0,16.22,37.04,5.74,0.0,45.67,1
0,4.44,0.0,0,29.89,77.04,96.3,238.18,101.64,1
1,70.56,21.22,0,126.63,72.22,83.48,80.33,156.57,1
0,0.0,0.0,0,67.7,130.0,9.63,0.0,30.41,1
0,16.67,29.44,1,11.04,71.26,14.44,39.63,76.46,1
0,15.56,11.0,0,63.67,134.81,28.89,86.52,83.83,1
0,67.22,64.44,1,115.0,166.56,97.78,311.93,84.21,1
0,0.0,0.0,0,61.67,101.11,14.44,1.11,55.04,0
0,3.89,0.0,0,12.22,73.33,12.04,16.67,90.4,1
0,0.0,8.67,1,69.96,36.11,19.26,55.26,134.4,1
1,0.0,55.56,0,14.85,43.33,24.07,59.59,83.33,1
0,0.0,20.44,1,30.0,137.22,72.22,150.78,83.48,1
1,0.0,101.22,0,98.56,177.67,131.44,133.27,142.63,1
0,0.0,0.0,1,0.0,49.96,9.63,38.89,42.7,1
0,6.67,4.67,0,58.78,108.33,108.33,33.0,76.67,0
0,0.0,0.0,0,27.78,40.56,15.93,4.44,46.16,1
0,0.0,9.0,1,8.89,144.44,32.11,141.11,19.5,1
0,0.0,0.0,1,6.44,72.22,3.85,6.67,26.24,1
0,13.56,35.78,1,53.44,240.74,69.56,4.78,172.1,1
0,16.0,0.0,0,17.78,72.22,3.56,77.78,53.35,1
0,3.33,4.89,0,53.89,96.3,38.52,68.3,71.95,1
0,0.0,0.0,0,50.0,101.11,21.67,189.97,53.59,1
0,1.11,65.67,1,148.33,166.11,163.11,37.56,13.62,0
0,3.33,85.44,1,42.74,110.74,9.63,5.33,42.5,1
0,55.56,86.22,0,48.11,144.44,38.52,0.0,82.7,1
0,0.0,0.0,0,8.89,84.07,45.56,0.0,76.49,1
1,66.67,31.11,0,102.41,149.26,19.26,112.33,98.58,0
1,0.0,47.56,0,21.48,115.56,77.04,24.67,92.55,1
1,2.89,25.78,0,158.67,60.74,73.33,64.44,80.7,1
0,0.0,31.78,0,40.0,115.56,28.89,260.0,38.33,1
1,0.0,195.11,0,156.78,115.56,28.89,25.56,109.18,1
0,0.0,0.0,1,23.11,48.15,0.0,62.56,82.5,1
0,0.0,15.56,0,0.0,105.93,0.0,0.0,53.88,1
0,0.0,32.44,1,95.0,101.11,57.78,149.44,86.61,1
0,6.67,4.44,1,32.59,33.7,19.26,28.89,85.27,1
0,0.0,0.0,1,27.44,47.19,12.04,0.0,102.5,1
0,0.0,0.37,0,0.0,28.41,0.0,4.67,33.92,1
0,0.0,0.56,0,12.67,132.41,0.0,0.0,26.67,1
1,13.33,88.89,0,33.7,144.44,60.67,146.67,125.0,1
1,0.0,38.67,0,117.56,130.0,77.78,70.67,122.5,1
1,0.0,0.0,0,34.44,38.52,26.48,74.63,98.9,1
0,0.0,0.0,1,20.56,19.26,4.81,34.42,43.92,1
0,5.56,0.0,0,5.56,48.15,9.63,0.0,48.16,1
1,0.0,0.0,0,0.67,239.78,28.89,538.93,23.1,1
0,0.0,18.89,0,30.41,33.7,14.44,343.07,100.41,1
0,11.11,22.22,1,6.11,144.44,19.26,112.15,63.58,1
0,0.0,2.22,1,72.48,238.81,0.0,60.74,199.53,1
0,0.0,0.0,0,36.67,245.56,72.22,141.11,70.87,1
0,0.0,26.67,0,22.22,115.56,72.22,73.89,75.21,1
0,0.0,46.44,1,22.89,105.11,45.56,71.85,108.83,1
0,0.0,439.19,1,50.11,86.67,14.44,160.64,69.39,1
0,0.0,27.78,0,51.63,288.89,58.74,59.11,61.67,1
0,0.0,27.0,0,12.89,108.33,0.0,0.0,26.75,1
1,5.56,189.11,0,28.67,125.19,36.67,69.64,57.03,1
0,123.33,187.44,0,814.33,476.67,226.67,355.56,176.23,0
0,22.22,0.0,0,40.56,40.93,23.19,28.89,19.3,1
0,7.0,0.0,1,38.33,48.15,0.0,0.0,41.67,1
0,0.0,29.89,0,82.0,158.89,43.33,204.0,61.82,1
0,2.22,3.11,0,41.56,86.67,19.26,65.19,33.33,1
0,4.44,0.0,0,9.22,108.33,48.15,8.89,33.33,1
0,33.33,0.0,1,120.0,158.89,57.78,64.19,97.16,1
0,6.67,0.0,0,15.67,43.33,19.26,48.67,37.51,1
0,1.67,2.0,0,7.52,49.63,20.74,25.63,29.19,1
0,0.0,5.19,1,12.52,96.3,48.15,0.0,24.33,1
1,8.33,0.26,0,6.33,33.7,0.0,61.56,67.56,1
0,3.33,0.0,0,11.67,96.3,73.7,0.0,95.83,1
0,0.0,11.33,1,70.0,57.78,36.11,5.0,38.65,1
0,0.0,29.11,1,37.78,130.0,43.33,1.11,78.8,1
1,6.67,64.44,0,166.67,187.78,57.78,93.33,122.85,1
0,8.89,15.78,0,96.44,132.78,61.67,361.49,57.96,0
0,1.67,43.33,1,142.89,151.67,36.11,111.44,66.25,1
0,0.0,14.81,0,5.85,115.56,0.0,0.0,21.73,1
1,0.0,0.19,0,0.0,72.22,0.0,245.0,20.83,1
0,0.0,0.0,0,0.0,77.04,19.26,6.74,90.83,1
1,0.0,10.0,0,6.67,109.93,28.89,88.89,60.0,1
0,10.0,11.11,0,40.0,144.44,28.89,22.22,72.5,1
1,13.33,32.56,0,82.67,48.15,19.26,2.22,27.68,1
0,0.0,22.22,0,40.56,180.56,43.33,166.67,79.44,1
0,0.0,0.0,0,56.67,144.44,144.44,71.63,137.14,1
0,13.33,0.0,1,78.78,187.78,72.22,238.44,35.76,1
0,0.0,85.33,0,19.44,108.52,437.78,58.42,94.76,1
0,0.0,0.0,1,11.67,33.7,28.89,0.0,62.36,0
0,0.0,15.44,0,15.56,67.41,144.44,105.56,50.0,0
0,0.0,5.0,0,11.11,57.78,48.15,0.0,57.09,1
1,0.0,2.89,0,21.11,38.52,57.78,24.67,84.66,1
0,10.0,16.11,0,49.89,96.3,33.33,68.0,69.96,0
0,0.0,32.67,1,52.67,178.15,85.56,107.56,67.09,1
0,0.0,98.41,0,11.85,120.37,96.3,14.81,63.15,0
0,0.0,4.44,0,0.0,144.44,72.22,0.0,22.12,1
1,1.33,0.0,0,23.0,19.26,31.11,13.56,190.25,1
0,0.0,99.67,0,190.0,57.78,19.26,35.3,56.08,1
0,0.0,4.26,0,11.56,79.93,19.26,44.87,12.52,1
1,0.0,20.56,0,421.22,187.78,192.59,252.33,109.44,1
1,0.0,14.26,0,29.56,96.3,0.0,110.64,107.76,1
0,0.0,0.0,0,175.56,65.0,0.0,0.77,40.36,1
0,0.0,50.67,0,38.78,154.07,120.37,0.0,31.75,0
0,0.0,0.0,0,20.0,110.74,0.0,119.96,56.62,1
0,11.11,19.11,0,0.0,173.33,77.04,0.0,35.78,1
0,333.33,78.04,1,83.26,19.26,52.96,63.59,97.5,1
0,0.0,66.67,0,10.56,77.04,24.07,11.56,83.33,1
0,6.67,27.78,1,38.0,108.33,115.56,74.56,50.0,1
0,0.0,0.0,0,2.78,54.7,25.41,11.66,34.41,1
1,8.89,11.0,0,39.19,57.78,24.07,25.0,96.23,1
0,15.0,91.67,0,389.44,153.89,76.11,63.22,69.17,1
0,36.67,220.89,0,305.44,72.22,130.0,240.27,69.83,1
1,0.0,13.44,0,132.33,115.56,3.33,166.11,50.0,1
0,0.0,49.78,1,31.11,48.15,12.04,29.33,56.67,1
1,0.0,55.56,0,120.0,173.33,126.67,62.33,100.63,1
0,0.0,25.56,1,18.22,77.04,9.63,1.11,21.67,1
0,0.0,0.0,1,9.78,49.96,23.19,91.11,69.63,1
0,16.67,71.56,0,3.33,62.59,48.15,5.33,97.5,1
1,0.0,0.0,0,40.0,57.78,14.44,444.71,31.0,1
0,0.0,22.22,0,51.11,62.59,38.52,72.0,35.49,1
0,0.0,0.0,0,6.81,42.19,0.0,11.1,13.78,1
0,0.0,0.0,0,10.89,52.96,14.44,20.54,31.53,1
1,5.0,11.11,0,15.11,57.78,9.15,14.44,39.06,1
0,0.0,0.0,0,23.33,173.33,0.0,8.33,79.21,1
0,0.0,0.0,0,82.89,28.89,14.44,8.0,33.33,0
1,0.0,0.0,0,0.0,86.67,34.44,166.67,179.46,1
0,0.0,8.33,0,12.0,52.96,24.07,49.96,13.59,1
