dateid01,charv,churb
1995-12-01,79.45,84.1
1996-01-01,79.53,83.97
1996-02-01,79.59,84.07
1996-03-01,79.83,84.58
1996-04-01,80.4,85.34
1996-05-01,81.02,85.95
1996-06-01,81.3,86.26
1996-07-01,81.19,86.43
1996-08-01,81.0,86.41
1996-09-01,80.89,86.27
1996-10-01,80.81,86.31
1996-11-01,80.81,86.25
1996-12-01,81.02,86.02
1997-01-01,81.3,85.98
1997-02-01,81.48,86.26
1997-03-01,81.8,86.88
1997-04-01,82.31,87.76
1997-05-01,82.92,88.54
1997-06-01,83.33,88.99
1997-07-01,83.37,89.2
1997-08-01,83.36,89.28
1997-09-01,83.49,89.28
1997-10-01,83.62,89.26
1997-11-01,83.59,89.22
1997-12-01,83.38,88.95
1998-01-01,83.16,88.76
1998-02-01,83.31,89.11
1998-03-01,83.88,89.88
1998-04-01,84.4,90.69
1998-05-01,84.73,91.38
1998-06-01,85.1,91.97
1998-07-01,85.39,92.41
1998-08-01,85.45,92.63
1998-09-01,85.46,92.56
1998-10-01,85.58,92.69
1998-11-01,85.91,92.92
1998-12-01,86.25,92.85
1999-01-01,86.58,92.76
1999-02-01,86.96,92.79
1999-03-01,87.47,93.13
1999-04-01,88.2,93.84
1999-05-01,89.04,94.57
1999-06-01,89.76,95.19
1999-07-01,90.37,95.59
1999-08-01,91.06,95.76
1999-09-01,91.63,95.83
1999-10-01,91.91,95.69
1999-11-01,92.07,95.48
1999-12-01,92.29,95.6
2000-01-01,92.5,95.78
2000-02-01,92.94,96.07
2000-03-01,93.95,96.89
2000-04-01,95.16,97.84
2000-05-01,96.38,98.76
2000-06-01,97.43,99.51
2000-07-01,98.08,100.04
2000-08-01,98.47,100.28
2000-09-01,98.72,100.22
2000-10-01,99.06,100.15
2000-11-01,99.57,100.09
2000-12-01,100.0,100.0
2001-01-01,100.36,99.91
2001-02-01,101.09,100.19
2001-03-01,102.15,100.96
2001-04-01,103.36,101.92
2001-05-01,104.63,102.72
2001-06-01,105.75,103.26
2001-07-01,106.51,103.86
2001-08-01,106.96,104.32
2001-09-01,107.4,104.48
2001-10-01,107.73,104.42
2001-11-01,107.94,104.23
2001-12-01,108.52,104.24
2002-01-01,109.47,104.56
2002-02-01,110.57,105.15
2002-03-01,111.79,106.19
2002-04-01,113.18,107.53
2002-05-01,114.77,108.76
2002-06-01,116.36,109.73
2002-07-01,117.72,110.38
2002-08-01,118.75,110.79
2002-09-01,119.43,111.01
2002-10-01,119.95,111.19
2002-11-01,120.15,111.19
2002-12-01,120.32,111.02
2003-01-01,120.96,111.06
2003-02-01,122.0,111.41
2003-03-01,123.4,112.19
2003-04-01,125.01,113.45
2003-05-01,126.54,114.77
2003-06-01,127.92,115.81
2003-07-01,129.11,116.85
2003-08-01,130.25,117.8
2003-09-01,131.27,118.39
2003-10-01,131.83,118.83
2003-11-01,132.13,118.97
2003-12-01,132.54,118.82
2004-01-01,133.17,118.85
2004-02-01,134.29,119.13
2004-03-01,136.12,119.89
2004-04-01,138.71,121.34
2004-05-01,141.58,123.1
2004-06-01,144.26,124.41
2004-07-01,146.47,125.11
2004-08-01,148.05,125.51
2004-09-01,149.2,125.32
2004-10-01,150.2,124.94
2004-11-01,151.34,124.95
2004-12-01,152.46,125.17
2005-01-01,153.63,125.3
2005-02-01,155.43,125.56
2005-03-01,158.19,126.39
2005-04-01,161.6,127.62
2005-05-01,165.25,128.85
2005-06-01,168.41,129.75
2005-07-01,170.71,130.49
2005-08-01,172.5,130.94
2005-09-01,173.76,130.95
2005-10-01,174.59,130.79
2005-11-01,175.19,130.62
2005-12-01,175.66,130.44
2006-01-01,176.5,130.49
2006-02-01,177.66,130.94
2006-03-01,179.16,131.65
2006-04-01,181.31,132.7
2006-05-01,183.35,134.02
2006-06-01,184.54,134.85
2006-07-01,185.17,135.2
2006-08-01,185.08,135.14
2006-09-01,184.24,134.54
2006-10-01,183.77,133.79
2006-11-01,183.53,132.97
2006-12-01,182.83,132.4
2007-01-01,182.55,132.35
2007-02-01,183.46,132.85
2007-03-01,184.95,133.66
2007-04-01,186.55,134.43
2007-05-01,188.03,135.2
2007-06-01,188.48,136.03
2007-07-01,187.75,136.43
2007-08-01,186.95,136.11
2007-09-01,185.85,135.33
2007-10-01,183.89,134.48
2007-11-01,181.65,133.42
2007-12-01,179.89,132.13
2008-01-01,178.95,131.13
2008-02-01,178.34,130.91
2008-03-01,177.89,131.72
2008-04-01,178.01,132.93
2008-05-01,178.5,133.96
2008-06-01,178.65,134.84
2008-07-01,178.16,135.57
2008-08-01,177.28,135.34
2008-09-01,175.98,134.26
2008-10-01,173.82,133.35
2008-11-01,170.47,131.78
2008-12-01,166.79,129.44
2009-01-01,164.4,127.83
2009-02-01,164.08,127.47
2009-03-01,164.84,127.99
2009-04-01,165.63,128.85
2009-05-01,166.74,130.21
2009-06-01,167.93,131.8
2009-07-01,168.2,132.6
2009-08-01,167.4,132.48
2009-09-01,166.38,131.94
2009-10-01,165.81,131.17
2009-11-01,165.05,130.02
2009-12-01,163.58,128.75
2010-01-01,162.2,128.02
2010-02-01,161.83,128.11
2010-03-01,162.4,128.94
2010-04-01,163.35,130.34
2010-05-01,164.24,131.53
2010-06-01,164.12,131.47
2010-07-01,162.63,130.37
2010-08-01,160.47,129.26
2010-09-01,158.49,128.26
2010-10-01,156.94,127.36
2010-11-01,155.37,125.95
2010-12-01,153.46,123.99
2011-01-01,151.98,122.96
2011-02-01,151.79,123.07
2011-03-01,152.89,123.6
2011-04-01,154.71,124.12
2011-05-01,156.09,124.82
2011-06-01,156.44,125.64
2011-07-01,155.81,125.98
2011-08-01,154.86,125.56
2011-09-01,153.89,124.51
2011-10-01,152.73,123.06
2011-11-01,151.37,121.54
2011-12-01,149.91,119.82
2012-01-01,149.0,118.44
2012-02-01,149.15,118.38
2012-03-01,150.51,119.8
2012-04-01,152.64,122.1
2012-05-01,154.72,124.21
2012-06-01,156.15,125.21
2012-07-01,156.78,125.1
2012-08-01,156.73,124.32
2012-09-01,156.47,123.35
2012-10-01,156.14,122.59
2012-11-01,155.32,121.82
2012-12-01,154.29,120.53
2013-01-01,154.03,119.38
2013-02-01,155.0,119.44
2013-03-01,156.82,121.03
2013-04-01,159.03,123.43
2013-05-01,161.15,125.45
2013-06-01,162.58,126.85
2013-07-01,163.09,127.4
2013-08-01,162.87,126.97
2013-09-01,162.19,125.69
2013-10-01,161.19,124.53
2013-11-01,160.08,123.56
2013-12-01,159.41,122.19
2014-01-01,159.36,121.37
2014-02-01,160.25,121.59
2014-03-01,162.13,122.83
2014-04-01,164.19,124.89
2014-05-01,165.83,127.11
2014-06-01,166.78,128.76
2014-07-01,166.89,129.51
2014-08-01,166.36,129.19
2014-09-01,165.52,128.27
2014-10-01,164.81,127.34
2014-11-01,164.39,126.36
2014-12-01,163.87,125.17
2015-01-01,163.3,124.24
2015-02-01,163.52,124.34
2015-03-01,164.88,125.84
2015-04-01,166.74,128.24
2015-05-01,168.55,130.48
2015-06-01,169.86,131.77
2015-07-01,170.36,131.8
2015-08-01,170.43,131.12
2015-09-01,170.33,130.52
2015-10-01,169.89,130.03
2015-11-01,169.38,129.1
2015-12-01,168.87,127.93
