x,ey,e,ystar,d,y
6.7025157,-2.297484,-3.405403,-5.702888,0,0.0
1.5502673,-7.449733,-2.418497,-9.86823,0,0.0
13.114277,4.114276,1.78903,5.903306,1,5.903306
14.733045,5.733045,-2.442304,3.290741,1,3.290741
8.5127597,-0.4872403,0.6573998,0.1701595,1,0.1701595
0.23901769,-8.760983,0.7389987,-8.021984,0,0.0
10.359682,1.359682,3.363392,4.723074,1,4.723074
19.595456,10.59546,-1.970975,8.624481,1,8.624481
0.56538931,-8.43461,-1.169764,-9.604374,0,0.0
12.160715,3.160715,0.947927,4.108643,1,4.108643
8.5705445,-0.4294555,9.396075,8.966619,1,8.966619
8.4437887,-0.5562113,5.095932,4.539721,1,4.539721
19.540967,10.54097,-8.391376,2.14959,1,2.14959
1.2978591,-7.702141,-4.218556,-11.9207,0,0.0
12.997687,3.997687,1.05399,5.051677,1,5.051677
13.308149,4.308149,-1.807543,2.500606,1,2.500606
1.3898154,-7.610185,4.434634,-3.175551,0,0.0
13.253166,4.253166,-3.70262,0.5505455,1,0.5505455
9.2628224,0.2628224,-2.599323,-2.3365,0,0.0
17.730307,8.730308,-6.566061,2.164246,1,2.164246
6.6406158,-2.359384,-1.287651,-3.647035,0,0.0
7.1794258,-1.820574,0.44149,-1.379084,0,0.0
3.6027993,-5.397201,-3.805569,-9.20277,0,0.0
