wfood,wcloth,totexp,age,nk
0.2723,0.12,100,35,2
0.2055,0.0497,160,30,1
0.1528,0.003,150,27,2
0.2608,0.2278,100,24,2
0.3067,0.1715,120,31,2
0.2899,0.0787,60,24,1
0.5925,0.0,40,49,2
0.3692,0.0805,80,28,1
0.246,0.1438,100,37,1
0.3976,0.0992,80,40,2
0.3399,0.1458,90,25,2
0.2668,0.0451,110,43,1
0.5079,0.0791,70,31,2
0.3389,0.0769,90,36,2
0.3986,0.0,50,22,2
0.3601,0.0861,120,37,1
0.4083,0.0032,80,42,1
0.3177,0.1735,70,37,2
0.2243,0.0907,150,51,2
0.589,0.04,100,39,2
0.3631,0.1325,70,38,2
0.3653,0.0332,60,36,1
0.266,0.0839,130,34,2
0.2549,0.1406,190,38,2
0.4558,0.2199,90,44,2
0.2926,0.1409,100,29,1
0.3027,0.0365,90,41,2
0.3956,0.0499,70,41,1
0.43,0.254,70,32,2
0.3398,0.0054,60,29,1
0.323,0.0459,60,30,1
0.3591,0.2309,110,35,2
0.5934,0.0039,70,54,1
0.3603,0.0558,60,25,1
0.3594,0.0306,120,43,1
0.3454,0.0241,90,37,2
0.3599,0.0074,70,40,1
0.4153,0.0247,80,30,2
0.3472,0.0255,70,35,1
0.4277,0.0739,50,25,2
0.5257,0.0278,80,57,2
0.3569,0.1066,90,32,2
0.579,0.0036,80,53,1
0.3392,0.2119,100,27,2
0.2691,0.1293,90,31,2
0.4022,0.1089,100,40,1
0.4398,0.0316,100,55,1
0.3427,0.0332,100,36,2
0.3085,0.0735,80,32,1
0.3808,0.171,60,33,2
0.1811,0.0957,110,38,1
0.1105,0.2256,70,31,1
0.2841,0.1929,130,35,1
0.2443,0.031,50,32,1
0.3611,0.0058,100,42,2
0.1965,0.099,90,34,1
0.4904,0.0215,60,36,2
0.0652,0.067,290,32,1
0.2948,0.0185,50,28,1
0.332,0.008,190,35,1
0.443,0.1803,60,44,2
0.4557,0.089,50,28,1
0.4041,0.0624,50,38,2
0.3828,0.0039,60,32,2
0.4461,0.0931,110,32,2
0.3396,0.2183,80,27,2
0.3824,0.0143,70,35,2
0.3482,0.0345,140,32,2
0.4756,0.0671,50,29,1
0.3522,0.3472,120,50,2
0.3152,0.1578,50,37,1
0.3531,0.2345,80,34,2
0.3299,0.1626,90,27,1
0.3935,0.0958,90,45,1
0.2736,0.2317,60,28,1
0.3898,0.0051,60,30,2
0.3488,0.0097,90,55,1
0.5098,0.105,50,26,2
0.594,0.0076,90,45,2
0.4356,0.0,40,30,2
0.4385,0.0503,50,24,2
0.2708,0.1922,70,30,2
0.3593,0.1527,100,41,2
0.3326,0.0946,50,26,2
0.3677,0.3358,90,38,1
0.4268,0.041,70,30,2
0.3489,0.0501,110,54,2
0.2919,0.3022,120,39,2
0.3352,0.2068,70,31,1
0.2928,0.2739,80,25,1
0.3324,0.1492,110,57,1
0.423,0.127,70,25,1
0.4254,0.1206,110,39,2
0.3877,0.0407,70,41,1
0.329,0.0987,60,26,2
0.482,0.098,80,49,2
0.1496,0.2278,60,36,2
0.2524,0.4057,160,54,2
0.4303,0.0283,70,33,1
0.3269,0.2279,90,33,1
0.2305,0.0022,110,56,1
0.5143,0.0021,50,30,2
0.485,0.1774,90,22,1
0.4371,0.0897,70,20,1
0.2861,0.1733,70,57,1
0.4239,0.0281,70,25,1
0.1944,0.0785,110,36,2
0.3101,0.0264,80,40,2
0.491,0.0816,80,29,1
0.2305,0.1732,80,34,2
0.5644,0.2212,80,22,1
0.2951,0.1285,100,44,1
0.5477,0.0,50,60,1
0.2691,0.1788,50,35,1
0.2352,0.334,120,36,1
0.5765,0.0401,70,40,2
0.1386,0.0196,190,32,1
0.4069,0.1217,100,38,2
0.5294,0.1516,100,33,2
0.4601,0.0105,70,45,1
0.554,0.0556,40,25,1
0.2694,0.1451,150,34,2
0.5394,0.0482,60,40,2
0.5044,0.0395,50,36,1
0.4057,0.0693,60,22,1
0.1686,0.0069,80,35,1
0.3623,0.0856,90,25,1
0.353,0.1761,100,34,2
0.2026,0.1004,250,35,2
0.3108,0.2709,100,42,2
0.3707,0.1397,70,34,1
0.1683,0.0804,70,41,2
0.2466,0.1061,70,38,2
0.1925,0.2733,150,35,2
0.3583,0.2905,80,39,1
0.3359,0.2035,80,35,2
0.4535,0.1251,90,40,2
0.4845,0.1241,110,42,2
0.4577,0.0981,50,53,1
0.4242,0.0085,50,24,1
0.2974,0.1777,90,30,2
0.2908,0.164,110,27,1
0.4308,0.0,50,54,2
0.2635,0.1037,90,40,2
0.2914,0.0275,130,36,2
0.3219,0.0308,80,35,2
0.3179,0.0495,110,44,2
0.3658,0.0879,60,60,1
0.4193,0.0436,90,28,2
0.3322,0.2345,110,39,2
0.2755,0.2118,70,48,1
0.3995,0.1671,100,38,2
0.4412,0.043,80,38,2
0.2167,0.0,90,42,2
0.468,0.0094,100,44,2
0.4914,0.0899,80,53,2
0.3053,0.1994,70,30,2
0.323,0.0878,100,30,2
0.4124,0.01,70,34,2
0.4983,0.0035,60,57,1
0.486,0.032,70,59,2
0.2906,0.1326,80,36,1
0.3834,0.0131,80,42,1
0.4949,0.0744,60,32,1
0.3092,0.0705,50,36,1
0.3324,0.1424,100,20,2
0.2919,0.2661,120,38,1
0.395,0.1269,120,34,2
0.4426,0.0039,70,32,2
0.3548,0.1201,80,42,1
0.3749,0.0108,70,37,2
0.4992,0.0389,50,54,1
0.4575,0.0892,90,37,2
0.5408,0.033,50,32,1
0.4072,0.0295,80,28,2
0.45,0.0517,70,30,2
0.3413,0.0498,120,39,2
0.4418,0.0542,60,41,2
0.3266,0.069,80,41,1
0.3844,0.307,130,38,2
0.3728,0.1726,70,41,1
0.251,0.1367,70,25,1
0.2315,0.1939,70,46,1
0.3956,0.1939,80,39,2
0.4211,0.0145,140,35,2
0.2742,0.3252,110,39,1
0.1889,0.0241,140,28,2
0.4803,0.055,60,31,2
0.5072,0.0287,50,34,2
0.4627,0.0651,80,34,2
0.1869,0.0393,130,50,1
0.1194,0.1118,270,41,1
0.478,0.0328,80,35,2
0.2401,0.137,110,33,1
0.3369,0.2926,120,37,2
0.3611,0.1177,110,43,1
0.402,0.0234,80,27,1
0.3111,0.066,80,55,1
0.2689,0.2948,100,60,1
0.1158,0.1543,200,25,1
0.2544,0.3283,150,49,2
0.4369,0.0,70,37,2
0.5553,0.0544,60,24,1
0.1507,0.0075,190,38,2
0.4968,0.0,60,38,1
0.2693,0.301,150,40,2
0.3363,0.0116,80,28,1
0.3686,0.0114,90,34,2
0.3259,0.4293,120,42,2
0.2673,0.3883,120,38,2
0.5679,0.0553,70,38,2
0.4209,0.0217,70,24,2
0.5027,0.0527,80,24,1
0.3872,0.1686,100,39,1
0.3768,0.0272,80,36,2
0.2204,0.22,160,27,1
0.3434,0.1388,90,39,2
0.5174,0.1021,70,46,2
0.2853,0.2824,230,36,2
0.3139,0.0189,60,35,1
0.2914,0.1566,120,37,2
0.5166,0.1158,80,30,2
0.3948,0.0946,80,29,2
0.4704,0.1186,120,45,2
0.122,0.0605,320,45,1
0.2495,0.0102,100,27,2
0.3548,0.0345,110,39,2
0.1882,0.0731,190,40,1
0.3021,0.2002,130,40,2
0.4626,0.0853,60,33,2
0.2478,0.2052,150,37,2
0.306,0.1642,90,34,2
0.3053,0.0418,120,39,2
0.5723,0.0051,50,30,1
0.2924,0.0617,130,32,2
0.5411,0.0052,50,37,1
0.5003,0.0117,60,40,2
0.5119,0.1409,50,30,2
0.3864,0.0355,80,42,2
0.2975,0.2354,100,26,1
0.2979,0.012,80,37,1
0.3723,0.0202,70,38,2
0.4346,0.0727,70,35,2
0.4123,0.0219,70,36,2
0.5025,0.0069,60,39,2
0.3488,0.1284,70,29,2
0.423,0.004,90,42,2
0.2453,0.0017,90,38,2
0.271,0.3018,150,32,2
0.3454,0.0645,110,39,2
0.4243,0.0681,90,25,2
0.3669,0.1285,110,57,2
0.423,0.0886,160,46,2
0.2693,0.2214,110,21,1
0.499,0.0338,70,39,2
0.3841,0.1649,80,35,1
0.4171,0.1013,60,26,1
0.2488,0.0494,100,26,1
0.2403,0.2073,80,43,1
0.2751,0.0993,100,33,1
0.2779,0.4169,100,38,2
0.1982,0.434,110,27,1
0.4409,0.0,80,40,2
0.3092,0.1194,100,40,2
0.3849,0.1113,90,27,2
0.4089,0.1014,80,41,2
0.513,0.0583,60,28,2
0.4494,0.1235,80,52,1
0.3781,0.3414,120,37,2
0.3814,0.0052,110,35,2
0.2628,0.1332,70,35,2
0.3794,0.0092,60,25,2
0.2786,0.0144,90,37,2
0.4128,0.1371,110,46,2
0.4947,0.0157,90,36,2
0.3988,0.0631,50,28,1
0.3904,0.1298,150,47,2
0.2431,0.0482,90,21,1
0.3599,0.1672,100,29,2
0.2366,0.2472,100,27,2
0.558,0.0,50,39,2
0.4479,0.0857,80,27,1
0.1859,0.1746,140,32,2
0.4491,0.0881,90,31,2
0.2286,0.0314,110,30,2
0.3614,0.0472,80,25,2
0.2554,0.0593,120,22,1
0.2872,0.1313,160,33,2
0.6098,0.0042,50,32,1
0.387,0.0,70,33,2
0.4306,0.2277,50,34,1
0.789,0.0021,40,34,1
0.3861,0.0023,70,28,2
0.3178,0.0696,100,31,2
0.1886,0.3152,120,51,1
0.4904,0.1185,90,38,2
0.355,0.1557,90,45,1
0.4152,0.0531,70,27,2
0.4255,0.2338,60,36,2
0.4838,0.1215,80,28,2
0.5036,0.0536,100,40,2
0.4598,0.2163,100,34,2
0.2682,0.1253,140,37,2
0.3999,0.1033,40,42,1
0.4836,0.0277,70,26,2
0.3255,0.1105,80,45,1
0.2718,0.0321,120,47,1
0.296,0.3703,210,37,2
0.6155,0.0693,60,33,1
0.3499,0.1924,60,29,1
0.3228,0.0048,90,25,1
0.2696,0.2136,130,33,2
0.4229,0.0,70,49,1
0.205,0.0134,190,29,1
0.2685,0.327,110,28,1
0.2964,0.0079,60,25,2
0.3964,0.0906,70,34,1
0.3855,0.0137,100,38,1
0.4148,0.0,50,52,1
0.351,0.1324,60,40,1
0.4774,0.2193,90,39,2
0.4735,0.1358,70,28,1
0.429,0.0574,60,40,2
0.2173,0.1613,150,40,2
0.2683,0.0128,50,34,1
0.3426,0.1385,60,30,2
0.4138,0.0171,50,36,2
0.3321,0.3181,140,38,1
0.4021,0.0593,90,37,2
0.3954,0.0,70,40,2
0.3211,0.1879,110,37,2
0.3646,0.2261,90,37,2
0.5205,0.0339,70,50,1
0.4574,0.0659,80,31,2
0.3998,0.0881,100,34,2
0.4474,0.0297,60,34,1
0.4123,0.0463,90,28,2
0.3593,0.2694,90,41,2
0.4041,0.1568,120,37,2
0.3242,0.0395,90,47,2
0.4261,0.0937,80,41,2
0.3571,0.1088,110,38,1
0.3502,0.0413,70,37,1
0.4289,0.0539,90,31,2
0.4743,0.0221,70,29,1
0.3821,0.1333,90,34,1
0.345,0.1506,50,33,1
0.3525,0.1911,90,32,2
0.3297,0.0028,60,27,2
0.3371,0.0798,80,44,1
0.4033,0.0461,100,36,2
0.4155,0.0135,80,32,2
0.6017,0.0102,50,44,1
0.6097,0.0457,100,26,1
0.5865,0.0054,40,29,1
0.4613,0.099,60,41,1
0.4124,0.0133,100,53,1
0.3444,0.0881,110,31,2
0.378,0.1171,130,48,2
0.4081,0.0183,90,26,2
0.3394,0.1291,70,35,1
0.526,0.0412,100,37,2
0.4397,0.02,70,30,1
0.3458,0.0028,80,27,2
0.528,0.0314,50,24,2
0.3468,0.2163,150,36,2
0.3368,0.1608,90,37,2
0.371,0.0722,130,48,1
0.3056,0.0584,100,34,2
0.4298,0.0582,70,25,2
0.512,0.0956,60,35,2
0.5535,0.0233,110,27,1
0.4732,0.1609,100,50,2
0.3346,0.0942,140,45,2
0.4539,0.2269,90,35,2
0.2529,0.165,120,30,1
0.4095,0.191,100,43,2
0.4761,0.0494,80,41,2
0.3407,0.088,60,28,2
0.2447,0.0,140,30,1
0.2753,0.1344,180,43,2
0.2799,0.1025,150,34,2
0.2426,0.0,110,45,2
0.6113,0.0362,40,35,2
0.3358,0.0148,70,32,1
0.4102,0.2505,100,37,2
0.3961,0.0114,120,33,2
0.3632,0.0888,60,37,2
0.296,0.0974,130,30,1
0.3529,0.0769,130,37,2
0.2126,0.2404,110,48,1
0.3369,0.1119,160,46,2
0.3695,0.2758,120,42,2
0.3032,0.2433,150,30,1
0.3245,0.131,70,27,1
0.4544,0.1184,60,47,2
0.3897,0.0,50,26,1
0.2598,0.1461,80,30,2
0.1773,0.0666,80,37,1
0.1443,0.1734,220,40,2
0.2734,0.0098,130,47,1
0.2508,0.0755,80,35,1
0.4232,0.0972,80,45,2
0.5411,0.0,50,40,1
0.2729,0.4282,80,32,2
0.3764,0.0721,80,27,2
0.2522,0.0658,100,38,1
0.4397,0.1143,70,36,2
0.462,0.086,110,36,2
0.4755,0.2098,110,32,2
0.4494,0.1157,110,32,2
0.4446,0.1302,80,28,1
0.5062,0.0855,70,40,2
0.3628,0.0451,100,37,1
0.2586,0.235,100,34,2
0.4237,0.1038,100,47,2
0.1019,0.2097,50,33,2
0.3465,0.0,40,29,2
0.3675,0.0842,100,33,2
0.396,0.0858,100,40,2
0.3414,0.26,100,35,2
0.3072,0.0867,130,48,2
0.2808,0.0296,260,48,2
0.4801,0.0572,100,49,1
0.4598,0.0112,80,34,2
0.4168,0.0524,140,45,1
0.195,0.0676,90,34,1
0.4115,0.1697,70,29,2
0.535,0.1498,80,36,2
0.3746,0.1566,80,43,2
0.4986,0.0677,120,36,2
0.4302,0.009,70,38,2
0.5217,0.0142,80,54,2
0.2714,0.0596,130,33,1
0.3952,0.1096,90,45,1
0.1651,0.3897,150,34,2
0.195,0.4039,210,49,1
0.347,0.2443,120,32,2
0.2976,0.0616,70,27,2
0.4604,0.0602,160,38,2
0.3593,0.1741,120,34,2
0.3095,0.2704,100,34,2
0.4232,0.1163,100,33,2
0.3826,0.0387,80,42,2
0.077,0.1991,190,39,1
0.3304,0.0239,90,31,2
0.3945,0.0213,70,32,1
0.2051,0.3842,110,30,1
0.389,0.1591,170,45,1
0.4323,0.0322,90,38,2
0.5111,0.0579,70,38,2
0.3492,0.1565,80,28,2
0.1279,0.0561,110,25,2
0.3985,0.2043,110,28,2
0.4766,0.0713,60,33,2
0.3876,0.0043,90,32,2
0.2218,0.1927,130,49,1
0.4682,0.1074,70,46,2
0.2687,0.0854,130,44,2
0.3571,0.0861,100,40,2
0.5424,0.0,60,36,2
0.3819,0.0,90,32,2
0.3829,0.0691,90,40,2
0.2254,0.1442,90,34,2
0.4335,0.1295,110,36,2
0.451,0.0,60,49,1
0.1715,0.0086,80,38,2
0.3712,0.1283,140,42,2
0.3819,0.0231,60,36,2
0.3742,0.0172,90,32,2
0.3422,0.0267,110,44,2
0.3338,0.0623,110,43,1
0.3414,0.1982,170,37,2
0.2177,0.0851,170,34,2
0.3912,0.1302,90,29,2
0.357,0.0353,120,32,1
0.4808,0.1034,80,33,2
0.4626,0.1111,80,36,1
0.4229,0.0678,120,40,2
0.3094,0.0197,110,43,2
0.2119,0.0337,110,52,1
0.4931,0.0048,60,36,2
0.3017,0.1665,120,36,2
0.4722,0.0416,60,35,2
0.2732,0.0656,90,43,2
0.309,0.1603,90,38,2
0.4695,0.0698,110,54,2
0.3069,0.02,80,46,1
0.3291,0.0907,120,40,2
0.4692,0.0935,50,37,1
0.3116,0.0947,70,53,1
0.2644,0.0988,160,38,2
0.3747,0.1147,50,25,1
0.4134,0.3009,80,27,1
0.3486,0.1472,90,35,2
0.2644,0.3911,130,50,2
0.2894,0.1041,90,38,1
0.1981,0.0277,300,37,2
0.1516,0.1816,140,31,1
0.3772,0.1376,170,41,2
0.5094,0.0396,90,46,1
0.2707,0.0288,60,24,1
0.4396,0.0742,80,32,2
0.3357,0.127,50,25,1
0.224,0.0,130,33,2
0.4503,0.0619,60,35,2
0.2651,0.0832,70,36,2
0.4231,0.1752,90,37,2
0.4537,0.0072,70,33,2
0.5979,0.0,80,30,2
0.3424,0.2805,110,45,2
0.2406,0.1672,100,36,1
0.4097,0.0081,120,38,2
0.4041,0.1357,90,43,2
0.4421,0.0348,60,29,2
0.445,0.1628,100,45,2
0.2998,0.3721,80,22,1
0.503,0.0625,180,36,2
0.3947,0.1381,110,36,2
0.438,0.1706,90,27,2
0.373,0.0,50,28,1
0.3005,0.0403,100,37,2
0.3724,0.1397,120,34,2
0.3032,0.0985,150,32,2
0.3258,0.3093,80,33,2
0.3738,0.2034,100,39,2
0.3774,0.0689,80,32,2
0.4214,0.1126,120,30,2
0.1652,0.2445,60,38,2
0.3073,0.0195,100,20,1
0.4082,0.0237,80,29,1
0.4034,0.044,80,35,2
0.2936,0.2673,90,54,1
0.3067,0.0083,90,35,2
0.3667,0.057,90,31,2
0.3359,0.0,60,37,2
0.3606,0.0546,100,49,1
0.3023,0.011,80,27,1
0.4051,0.2702,90,39,1
0.2203,0.3519,170,36,2
0.3527,0.1101,90,53,2
0.3168,0.0079,100,35,2
0.3806,0.107,70,35,2
0.4555,0.0944,150,31,2
0.5201,0.0324,60,43,1
0.4013,0.1894,70,24,2
0.2401,0.2239,100,34,1
0.2394,0.1534,130,26,1
0.2365,0.0995,70,32,1
0.3211,0.0888,80,43,1
0.3045,0.129,80,31,1
0.4012,0.1075,60,26,2
0.3633,0.1035,70,29,2
0.3259,0.0878,150,30,2
0.1937,0.5035,180,44,1
0.3612,0.0812,120,37,2
0.3809,0.0444,70,37,2
0.367,0.0,70,23,1
0.5025,0.0123,70,28,2
0.1715,0.2948,80,43,2
0.1256,0.0691,150,24,1
0.403,0.0572,90,54,1
0.2176,0.021,70,28,2
0.253,0.0625,130,32,2
0.3166,0.1818,120,36,2
0.5307,0.1027,110,37,2
0.491,0.1743,50,42,1
0.3612,0.0275,50,23,1
0.4214,0.1977,60,31,1
0.3333,0.0677,90,39,2
0.4819,0.042,90,44,2
0.2777,0.3106,110,25,1
0.4707,0.0,110,36,2
0.2861,0.1211,90,32,2
0.2463,0.1125,100,38,1
0.4736,0.11,40,26,1
0.1911,0.0036,170,26,1
0.5053,0.0623,100,32,2
0.1949,0.4381,120,43,2
0.2453,0.0248,70,28,1
0.2936,0.0477,60,23,2
0.4156,0.0668,60,34,2
0.6327,0.0,30,24,1
0.3829,0.0536,80,28,2
0.3735,0.021,40,24,1
0.2378,0.0396,120,40,1
0.2614,0.0493,90,31,1
0.2068,0.362,260,25,2
0.323,0.2331,50,26,1
0.3945,0.1566,120,32,2
0.537,0.009,90,34,1
0.4944,0.1053,120,34,2
0.4383,0.1557,60,38,1
