conum,year,co_code,gdp,pop,gold,silver,bronze,medaltot,host,planned,soviet,missing
20,84,BLZ,0.3,0.162,0.0,0.0,0.0,0.0,0,0,0,0.0
20,60,BLZ,0.089,0.09105,,,,,0,0,0,1.0
20,64,BLZ,0.108,0.1046,,,,,0,0,0,1.0
20,80,BLZ,0.297,0.146,,,,,0,0,0,1.0
21,80,BEN,1.21,3.464,0.0,0.0,0.0,0.0,0,0,0,0.0
21,84,BEN,1.41,3.91636,0.0,0.0,0.0,0.0,0,0,0,0.0
21,60,BEN,0.697,2.05,,,,,0,0,0,1.0
21,64,BEN,0.775,2.27183,,,,,0,0,0,1.0
21,68,BEN,0.887,2.52205,,,,,0,0,0,1.0
21,72,BEN,0.977,2.79996,,,,,0,0,0,1.0
21,92,BEN,1.78,5.029,,,,,0,0,0,1.0
22,84,BER,1.92,0.0556,0.0,0.0,0.0,0.0,0,0,0,0.0
22,80,BER,1.88,0.054,,,,,0,0,0,1.0
23,84,BTN,0.16,0.52808,0.0,0.0,0.0,0.0,0,0,0,0.0
23,80,BTN,0.119,0.48788,,,,,0,0,0,1.0
24,84,BOL,5.01,5.78048,0.0,0.0,0.0,0.0,0,0,0,0.0
24,60,BOL,2.08,3.351,,,,,0,0,0,1.0
24,80,BOL,5.44,5.355,,,,,0,0,0,1.0
26,80,BWA,1.41,0.906,0.0,0.0,0.0,0.0,0,0,0,0.0
26,84,BWA,2.14,1.04383,0.0,0.0,0.0,0.0,0,0,0,0.0
26,60,BWA,0.154,0.48,,,,,0,0,0,1.0
26,64,BWA,0.198,0.53396,,,,,0,0,0,1.0
26,68,BWA,0.252,0.59685,,,,,0,0,0,1.0
26,72,BWA,0.522,0.68248,,,,,0,0,0,1.0
26,76,BWA,0.904,0.78615,,,,,0,0,0,1.0
27,84,BRA,506.0,133.0,1.0,5.0,2.0,8.0,0,0,0,0.0
27,80,BRA,517.0,122.0,2.0,0.0,2.0,4.0,0,0,0,0.0
28,84,BTV,0.122,,0.0,0.0,0.0,0.0,0,0,0,1.0
28,88,BTV,0.161,,0.0,0.0,0.0,0.0,0,0,0,1.0
28,92,BTV,0.191,,,,,,0,0,0,1.0
29,76,BRN,4.27,0.16742,,,,,0,0,0,1.0
29,80,BRN,5.76,0.193,,,,,0,0,0,1.0
29,84,BRN,4.86,0.2173,,,,,0,0,0,1.0
30,80,BGR,11.8,8.862,8.0,16.0,17.0,41.0,0,0,1,0.0
30,84,BGR,13.5,8.925,,,,,0,0,1,1.0
31,60,BFA,0.781,4.63,,,,,0,0,0,1.0
31,64,BFA,0.871,5.00372,,,,,0,0,0,1.0
31,68,BFA,1.02,5.41482,,,,,0,0,0,1.0
31,72,BFA,1.08,5.84838,,,,,0,0,0,1.0
31,80,BFA,1.44,6.962,,,,,0,0,0,1.0
31,84,BFA,1.62,7.68958,,,,,0,0,0,1.0
32,60,BDI,0.373,2.941,,,,,0,0,0,1.0
32,64,BDI,0.388,3.14077,,,,,0,0,0,1.0
32,68,BDI,0.479,3.41368,,,,,0,0,0,1.0
32,72,BDI,0.551,3.561,,,,,0,0,0,1.0
32,76,BDI,0.635,3.74438,,,,,0,0,0,1.0
32,80,BDI,0.72,4.13,,,,,0,0,0,1.0
32,84,BDI,0.83,4.60961,,,,,0,0,0,1.0
32,88,BDI,1.06,5.15842,,,,,0,0,0,1.0
32,92,BDI,1.18,5.7482,,,,,0,0,0,1.0
33,88,KHM,2.09,8.11569,,,,,0,0,0,1.0
33,92,KHM,2.52,9.19348,,,,,0,0,0,1.0
34,80,CMR,6.32,8.655,0.0,0.0,0.0,0.0,0,0,0,0.0
34,84,CMR,9.14,9.69244,0.0,0.0,0.0,0.0,0,0,0,0.0
34,60,CMR,2.74,5.296,,,,,0,0,0,1.0
35,84,CAN,439.0,25.7,10.0,18.0,16.0,44.0,0,0,0,0.0
35,80,CAN,404.0,24.6,,,,,0,0,0,1.0
36,84,CPV,0.271,0.30484,,,,,0,0,0,1.0
36,88,CPV,0.333,0.32797,,,,,0,0,0,1.0
36,92,CPV,0.371,0.35474,,,,,0,0,0,1.0
37,84,CYM,0.336,0.020389240000000003,0.0,0.0,0.0,0.0,0,0,0,0.0
37,80,CYM,0.259,0.017465150000000002,,,,,0,0,0,1.0
37,92,CYM,0.605,0.027788069999999998,,,,,0,0,0,1.0
38,84,CAF,1.06,2.54515,0.0,0.0,0.0,0.0,0,0,0,0.0
38,60,CAF,0.722,1.534,,,,,0,0,0,1.0
38,64,CAF,0.739,1.64622,,,,,0,0,0,1.0
38,72,CAF,0.883,1.92672,,,,,0,0,0,1.0
38,80,CAF,0.992,2.313,,,,,0,0,0,1.0
39,84,TCD,0.878,4.98889,0.0,0.0,0.0,0.0,0,0,0,0.0
39,60,TCD,0.888,3.064,,,,,0,0,0,1.0
39,80,TCD,0.787,4.477,,,,,0,0,0,1.0
40,80,CHL,27.0,11.1,,,,,0,0,0,1.0
40,84,CHL,26.4,11.9,,,,,0,0,0,1.0
41,84,CHN,240.0,1040.0,15.0,8.0,9.0,32.0,0,1,0,0.0
41,60,CHN,66.1,667.0,,,,,0,1,0,1.0
41,64,CHN,57.8,698.0,,,,,0,1,0,1.0
41,68,CHN,68.5,775.0,,,,,0,1,0,1.0
41,72,CHN,107.0,862.0,,,,,0,1,0,1.0
41,76,CHN,119.0,931.0,,,,,0,1,0,1.0
41,80,CHN,167.0,981.0,,,,,0,1,0,1.0
42,80,COL,46.0,28.4,0.0,0.0,0.0,0.0,0,0,0,0.0
42,84,COL,49.8,31.0,0.0,1.0,0.0,1.0,0,0,0,0.0
43,80,COM,0.167,0.335,,,,,0,0,0,1.0
43,84,COM,0.201,0.36945,,,,,0,0,0,1.0
43,88,COM,0.219,0.40986,,,,,0,0,0,1.0
43,92,COM,0.229,0.45526,,,,,0,0,0,1.0
44,84,ZAR,9.22,30.7,0.0,0.0,0.0,0.0,0,0,0,0.0
44,60,ZAR,6.02,15.3,,,,,0,0,0,1.0
44,64,ZAR,6.68,17.1,,,,,0,0,0,1.0
44,68,ZAR,7.44,19.2,,,,,0,0,0,1.0
44,80,ZAR,8.46,27.0,,,,,0,0,0,1.0
45,80,COG,1.29,1.669,0.0,0.0,0.0,0.0,0,0,0,0.0
45,84,COG,2.13,1.86808,0.0,0.0,0.0,0.0,0,0,0,0.0
45,60,COG,0.464,0.988,,,,,0,0,0,1.0
47,80,CRI,5.68,2.284,0.0,0.0,0.0,0.0,0,0,0,0.0
47,84,CRI,5.71,2.56501,0.0,0.0,0.0,0.0,0,0,0,0.0
47,60,CRI,1.82,1.236,,,,,0,0,0,1.0
48,84,CIV,8.22,9.53252,0.0,1.0,0.0,1.0,0,0,0,0.0
48,60,CIV,2.2,3.779,,,,,0,0,0,1.0
48,80,CIV,8.48,8.194,,,,,0,0,0,1.0
50,80,CUB,16.8,9.71,8.0,7.0,5.0,20.0,0,0,1,0.0
50,84,CUB,24.1,9.994,,,,,0,0,1,1.0
50,88,CUB,25.8,10.4,,,,,0,0,1,1.0
51,80,CYP,3.6,0.611,0.0,0.0,0.0,0.0,0,0,0,0.0
51,84,CYP,4.53,0.64,0.0,0.0,0.0,0.0,0,0,0,0.0
51,60,CYP,1.27,0.573,,,,,0,0,0,1.0
51,64,CYP,1.48,0.58,,,,,0,0,0,1.0
51,68,CYP,2.28,0.602,,,,,0,0,0,1.0
51,76,CYP,2.48,0.61007,,,,,0,0,0,1.0
51,72,CYP,3.09,0.613,,,,,0,0,0,1.0
53,80,DNK,134.0,5.123,2.0,1.0,2.0,5.0,0,0,0,0.0
53,84,DNK,146.0,5.112,0.0,3.0,3.0,6.0,0,0,0,0.0
54,84,DJI,0.46,0.36667,0.0,0.0,0.0,0.0,0,0,0,0.0
55,92,DMA,0.212,0.07194,,,,,0,0,0,1.0
55,88,DMA,0.197,0.07277,,,,,0,0,0,1.0
55,80,DMA,0.123,0.07335,,,,,0,0,0,1.0
55,84,DMA,0.156,0.07383,,,,,0,0,0,1.0
56,80,DOM,7.55,5.697,0.0,0.0,0.0,0.0,0,0,0,0.0
56,84,DOM,8.37,6.23534,0.0,0.0,1.0,1.0,0,0,0,0.0
56,60,DOM,2.2,3.231,,,,,0,0,0,1.0
57,80,ECU,12.3,7.961,0.0,0.0,0.0,0.0,0,0,0,0.0
57,84,ECU,13.1,8.86707,0.0,0.0,0.0,0.0,0,0,0,0.0
57,60,ECU,3.45,4.439,,,,,0,0,0,1.0
57,64,ECU,4.1,4.99272,,,,,0,0,0,1.0
58,84,EGY,38.2,45.3,0.0,1.0,0.0,1.0,0,0,0,0.0
58,60,EGY,9.16,25.9,,,,,0,0,0,1.0
58,64,EGY,12.1,28.6,,,,,0,0,0,1.0
58,68,EGY,13.7,31.7,,,,,0,0,0,1.0
58,80,EGY,29.4,40.9,,,,,0,0,0,1.0
59,84,SLV,6.32,4.73006,0.0,0.0,0.0,0.0,0,0,0,0.0
59,60,SLV,3.38,2.578,,,,,0,0,0,1.0
59,64,SLV,4.47,2.91177,,,,,0,0,0,1.0
59,80,SLV,7.32,4.586,,,,,0,0,0,1.0
60,84,GNQ,0.0993,0.29484,0.0,0.0,0.0,0.0,0,0,0,0.0
61,92,ERI,0.521,3.30626,,,,,0,0,0,1.0
61,96,ERI,0.613,3.67,,,,,0,0,0,1.0
63,80,ETH,4.1,37.7,2.0,0.0,2.0,4.0,0,0,0,0.0
63,84,ETH,4.56,42.2,,,,,0,0,0,1.0
63,88,ETH,5.14,47.6,,,,,0,0,0,1.0
64,84,FJI,1.53,0.686,0.0,0.0,0.0,0.0,0,0,0,0.0
64,64,FJI,0.674,0.449,,,,,0,0,0,1.0
64,80,FJI,1.47,0.634,,,,,0,0,0,1.0
65,80,FIN,95.2,4.78,3.0,1.0,4.0,8.0,0,0,0,0.0
65,84,FIN,106.0,4.882,4.0,2.0,6.0,12.0,0,0,0,0.0
66,84,AYE,0.75,2.06355,0.0,0.0,0.0,0.0,0,0,0,0.0
67,84,DYE,2.77,7.350852,0.0,0.0,0.0,0.0,0,0,0,0.0
68,84,FRA,1220.0,54.9,5.0,7.0,16.0,28.0,0,0,0,0.0
68,80,FRA,1150.0,53.9,6.0,5.0,3.0,14.0,0,0,0,0.0
69,84,GAB,4.12,0.78804,0.0,0.0,0.0,0.0,0,0,0,0.0
69,60,GAB,0.88,0.486,,,,,0,0,0,1.0
69,68,GAB,1.45,0.4919,,,,,0,0,0,1.0
69,64,GAB,1.2,0.49842,,,,,0,0,0,1.0
69,80,GAB,3.57,0.691,,,,,0,0,0,1.0
70,84,GMB,0.284,0.71906,0.0,0.0,0.0,0.0,0,0,0,0.0
70,68,GMB,0.138,0.43849,,,,,0,0,0,1.0
70,72,GMB,0.15,0.49525,,,,,0,0,0,1.0
70,76,GMB,0.209,0.56665,,,,,0,0,0,1.0
70,80,GMB,0.241,0.641,,,,,0,0,0,1.0
70,92,GMB,0.367,1.00105,,,,,0,0,0,1.0
71,92,GEO,5.51,5.4549,,,,,0,0,0,1.0
72,60,GDR,59.4,,3.0,9.0,7.0,19.0,0,0,1,1.0
72,80,GDR,143.0,17.1,47.0,37.0,42.0,126.0,0,0,1,0.0
72,84,GDR,167.0,16.7,,,,,0,0,1,1.0
72,64,GDR,65.8,18.5,,,,,0,0,1,1.0
73,84,GFD,1470.0,60.9,17.0,19.0,23.0,59.0,0,0,0,0.0
73,60,GFD,675.0,,13.0,19.0,13.0,45.0,0,0,0,1.0
73,80,GFD,1440.0,60.6,,,,,0,0,0,1.0
75,84,GHA,3.94,12.2,0.0,0.0,0.0,0.0,0,0,0,0.0
75,80,GHA,4.23,10.7,,,,,0,0,0,1.0
76,80,GRC,90.4,9.643,1.0,0.0,2.0,3.0,0,0,0,0.0
76,84,GRC,93.7,9.896,0.0,1.0,1.0,2.0,0,0,0,0.0
77,84,GRD,0.176,0.089749,0.0,0.0,0.0,0.0,0,0,0,0.0
77,80,GRD,0.154,0.0901,,,,,0,0,0,1.0
79,80,GTM,10.9,6.82,0.0,0.0,0.0,0.0,0,0,0,0.0
79,84,GTM,10.4,7.54461,0.0,0.0,0.0,0.0,0,0,0,0.0
79,60,GTM,3.68,3.963,,,,,0,0,0,1.0
79,64,GTM,4.55,4.44192,,,,,0,0,0,1.0
80,80,GIN,0.503,4.461,0.0,0.0,0.0,0.0,0,0,0,0.0
80,84,GIN,1.47,4.86055,0.0,0.0,0.0,0.0,0,0,0,0.0
81,72,GNB,0.124,0.55302,,,,,0,0,0,1.0
81,76,GNB,0.149,0.65909,,,,,0,0,0,1.0
81,80,GNB,0.134,0.795,,,,,0,0,0,1.0
81,84,GNB,0.174,0.85503,,,,,0,0,0,1.0
81,88,GNB,0.193,0.93769,,,,,0,0,0,1.0
81,92,GNB,0.231,1.0124,,,,,0,0,0,1.0
82,80,GUY,0.614,0.759,0.0,0.0,1.0,1.0,0,0,0,0.0
82,84,GUY,0.479,0.78872,0.0,0.0,0.0,0.0,0,0,0,0.0
82,88,GUY,0.472,0.7942,,,,,0,0,0,1.0
83,84,HTI,3.08,5.75135,0.0,0.0,0.0,0.0,0,0,0,0.0
83,64,HTI,2.07,4.07187,,,,,0,0,0,1.0
83,68,HTI,2.08,4.36588,,,,,0,0,0,1.0
83,80,HTI,3.25,5.353,,,,,0,0,0,1.0
84,84,HND,2.76,4.05692,0.0,0.0,0.0,0.0,0,0,0,0.0
84,60,HND,0.98,1.894,,,,,0,0,0,1.0
84,64,HND,1.15,2.17467,,,,,0,0,0,1.0
84,72,HND,1.72,2.74853,,,,,0,0,0,1.0
84,80,HND,2.64,3.569,,,,,0,0,0,1.0
85,84,HKG,74.5,5.37,0.0,0.0,0.0,0.0,0,0,0,0.0
85,80,HKG,56.9,5.039,,,,,0,0,0,1.0
86,80,HUN,45.0,10.7,7.0,10.0,15.0,32.0,0,0,1,0.0
86,84,HUN,49.2,10.6,,,,,0,0,1,1.0
87,80,ISL,5.15,0.228,0.0,0.0,0.0,0.0,0,0,0,0.0
87,84,ISL,5.59,0.239,0.0,0.0,1.0,1.0,0,0,0,0.0
88,80,IND,147.0,687.0,1.0,0.0,0.0,1.0,0,0,0,0.0
88,84,IND,181.0,750.0,0.0,0.0,0.0,0.0,0,0,0,0.0
89,84,IDN,95.0,160.0,0.0,0.0,0.0,0.0,0,0,0,0.0
89,64,IDN,25.6,102.0,,,,,0,0,0,1.0
89,80,IDN,74.7,148.0,,,,,0,0,0,1.0
90,80,IRN,55.6,39.1,,,,,0,0,0,1.0
90,84,IRN,70.4,45.3,,,,,0,0,0,1.0
91,80,IRQ,99.3,13.0,0.0,0.0,0.0,0.0,0,0,0,0.0
91,84,IRQ,73.7,14.8,0.0,0.0,0.0,0.0,0,0,0,0.0
91,72,IRQ,38.6,9.98511,,,,,0,0,0,1.0
92,80,IRL,34.0,3.401,0.0,1.0,0.0,1.0,0,0,0,0.0
92,84,IRL,37.4,3.529,0.0,1.0,0.0,1.0,0,0,0,0.0
93,84,ISR,49.3,4.159,0.0,0.0,0.0,0.0,0,0,0,0.0
93,80,ISR,44.1,3.878,,,,,0,0,0,1.0
94,80,ITA,825.0,56.4,8.0,3.0,4.0,15.0,0,0,0,0.0
94,84,ITA,865.0,56.6,14.0,6.0,12.0,32.0,0,0,0,0.0
95,80,JAM,3.11,2.133,0.0,0.0,3.0,3.0,0,0,0,0.0
95,84,JAM,3.27,2.2799,0.0,1.0,2.0,3.0,0,0,0,0.0
95,60,JAM,2.1,1.629,,,,,0,0,0,1.0
96,84,JPN,3650.0,120.0,10.0,8.0,14.0,32.0,0,0,0,0.0
96,80,JPN,3230.0,117.0,,,,,0,0,0,1.0
97,80,JOR,3.77,2.181,0.0,0.0,0.0,0.0,0,0,0,0.0
97,84,JOR,4.7,2.5513,0.0,0.0,0.0,0.0,0,0,0,0.0
98,92,KAZ,27.5,16.5,,,,,0,0,0,1.0
99,84,KEN,6.1,19.2,1.0,0.0,2.0,3.0,0,0,0,0.0
99,80,KEN,5.62,16.6,,,,,0,0,0,1.0
100,72,KIR,0.0609,0.05056,,,,,0,0,0,1.0
100,76,KIR,0.0826,0.05385,,,,,0,0,0,1.0
100,80,KIR,0.0391,0.0581,,,,,0,0,0,1.0
100,84,KIR,0.0527,0.06356,,,,,0,0,0,1.0
100,88,KIR,0.0439,0.06938,,,,,0,0,0,1.0
100,92,KIR,0.045,0.07535,,,,,0,0,0,1.0
100,96,KIR,0.0487,0.0816,,,,,0,0,0,1.0
101,84,KOR,185.0,40.4,6.0,6.0,7.0,19.0,0,0,0,0.0
101,80,KOR,134.0,38.1,,,,,0,0,0,1.0
102,80,KWT,23.3,1.375,0.0,0.0,0.0,0.0,0,0,0,0.0
102,84,KWT,19.2,1.65547,0.0,0.0,0.0,0.0,0,0,0,0.0
102,64,KWT,18.4,0.41951,,,,,0,0,0,1.0
102,68,KWT,23.3,0.63555,,,,,0,0,0,1.0
103,92,KGZ,5.25,4.493,,,,,0,0,0,1.0
104,80,LAO,0.904,3.205,0.0,0.0,0.0,0.0,0,0,0,0.0
104,84,LAO,1.03,3.49402,,,,,0,0,0,1.0
106,80,LBN,2.47,3.00235,0.0,0.0,1.0,1.0,0,0,0,0.0
106,84,LBN,3.17,3.21129,0.0,0.0,0.0,0.0,0,0,0,0.0
107,80,LSO,0.419,1.346,0.0,0.0,0.0,0.0,0,0,0,0.0
107,84,LSO,0.411,1.4887,0.0,0.0,0.0,0.0,0,0,0,0.0
107,60,LSO,0.125,0.87,,,,,0,0,0,1.0
107,64,LSO,0.176,0.94421,,,,,0,0,0,1.0
107,68,LSO,0.198,1.02174,,,,,0,0,0,1.0
108,80,LIB,1.28,1.876,0.0,0.0,0.0,0.0,0,0,0,0.0
108,84,LIB,1.4,2.13467,0.0,0.0,0.0,0.0,0,0,0,0.0
108,68,LIB,0.999,1.30485,,,,,0,0,0,1.0
109,80,LBY,26.6,3.043,0.0,0.0,0.0,0.0,0,0,0,0.0
109,84,LBY,26.0,3.62484,0.0,0.0,0.0,0.0,0,0,0,0.0
110,84,LIE,1.2,0.03,0.0,0.0,0.0,0.0,0,0,0,0.0
110,80,LIE,0.919,0.03,,,,,0,0,0,1.0
112,80,LUX,8.58,0.3649,0.0,0.0,0.0,0.0,0,0,0,0.0
112,84,LUX,9.44,0.3662,0.0,0.0,0.0,0.0,0,0,0,0.0
113,84,MAC,3.61,0.29327,,,,,0,0,0,1.0
113,88,MAC,4.84,0.34523,,,,,0,0,0,1.0
113,92,MAC,6.23,0.39791,,,,,0,0,0,1.0
113,96,MAC,6.92,0.43922,,,,,0,0,0,1.0
114,92,MKD,2.21,1.925,,,,,0,0,0,1.0
115,80,MDG,3.05,8.873,0.0,0.0,0.0,0.0,0,0,0,0.0
115,84,MDG,2.77,9.85215,0.0,0.0,0.0,0.0,0,0,0,0.0
115,60,MDG,2.05,5.367,,,,,0,0,0,1.0
115,88,MDG,2.99,11.0,,,,,0,0,0,1.0
116,84,MWI,1.1,6.96073,0.0,0.0,0.0,0.0,0,0,0,0.0
116,60,MWI,0.36,3.529,,,,,0,0,0,1.0
116,64,MWI,0.395,3.87935,,,,,0,0,0,1.0
116,68,MWI,0.535,4.26871,,,,,0,0,0,1.0
116,80,MWI,1.04,6.183,,,,,0,0,0,1.0
117,84,MYS,41.9,15.3,0.0,0.0,0.0,0.0,0,0,0,0.0
117,80,MYS,32.3,13.8,,,,,0,0,0,1.0
119,80,MLI,1.74,6.59,0.0,0.0,0.0,0.0,0,0,0,0.0
119,84,MLI,1.74,7.20881,0.0,0.0,0.0,0.0,0,0,0,0.0
119,60,MLI,0.835,4.35,,,,,0,0,0,1.0
120,84,MLT,1.82,0.35088,0.0,0.0,0.0,0.0,0,0,0,0.0
120,80,MLT,1.72,0.364,0.0,0.0,0.0,0.0,0,0,0,0.0
120,64,MLT,0.38,0.31899,,,,,0,0,0,1.0
121,92,MHL,0.0948,,,,,,0,0,0,1.0
121,96,MHL,0.0892,,,,,,0,0,0,1.0
121,88,MHL,0.0933,,,,,,0,0,0,1.0
122,84,MRT,0.763,1.71957,0.0,0.0,0.0,0.0,0,0,0,0.0
122,60,MRT,0.291,0.991,,,,,0,0,0,1.0
122,64,MRT,0.424,1.07357,,,,,0,0,0,1.0
122,68,MRT,0.563,1.16828,,,,,0,0,0,1.0
122,72,MRT,0.646,1.27772,,,,,0,0,0,1.0
122,80,MRT,0.752,1.551,,,,,0,0,0,1.0
122,92,MRT,0.925,2.14214,,,,,0,0,0,1.0
123,84,MUS,2.04,1.00923,0.0,0.0,0.0,0.0,0,0,0,0.0
123,60,MUS,0.739,0.66,,,,,0,0,0,1.0
123,64,MUS,0.971,0.73638,,,,,0,0,0,1.0
123,68,MUS,0.939,0.79841,,,,,0,0,0,1.0
123,72,MUS,1.11,0.85205,,,,,0,0,0,1.0
123,80,MUS,1.74,0.966,,,,,0,0,0,1.0
124,84,MEX,235.0,73.9,2.0,3.0,1.0,6.0,0,0,0,0.0
124,80,MEX,232.0,67.6,0.0,1.0,3.0,4.0,0,0,0,0.0
125,88,FSM,0.192,0.09217,,,,,0,0,0,1.0
125,92,FSM,0.19,0.09999,,,,,0,0,0,1.0
125,96,FSM,0.207,0.109,,,,,0,0,0,1.0
126,92,MDA,4.61,4.351,,,,,0,0,0,1.0
127,80,MON,0.528,0.03,0.0,2.0,2.0,4.0,0,0,0,0.0
127,84,MON,0.594,0.03,0.0,0.0,0.0,0.0,0,0,0,0.0
128,84,MNG,0.865,1.85355,0.0,0.0,0.0,0.0,0,0,0,0.0
128,60,MNG,0.451,0.959,,,,,0,0,0,1.0
128,80,MNG,0.697,1.663,,,,,0,0,0,1.0
129,84,MAR,23.9,21.2,2.0,0.0,0.0,2.0,0,0,0,0.0
129,80,MAR,21.6,19.4,,,,,0,0,0,1.0
130,80,MOZ,1.63,12.1,0.0,0.0,0.0,0.0,0,0,0,0.0
130,84,MOZ,1.25,13.3,0.0,0.0,0.0,0.0,0,0,0,0.0
131,80,MYA,23.3,33.8,0.0,0.0,0.0,0.0,0,0,0,0.0
131,84,MYA,29.2,36.8,0.0,0.0,0.0,0.0,0,0,0,0.0
131,88,MYA,26.8,39.5,,,,,0,0,0,1.0
132,80,NAM,2.46,1.03,,,,,0,0,0,1.0
132,84,NAM,2.41,1.14657,,,,,0,0,0,1.0
132,88,NAM,2.62,1.27831,,,,,0,0,0,1.0
133,96,NAU,0.283,,0.0,0.0,0.0,0.0,0,0,0,1.0
133,92,NAU,0.239,,,,,,0,0,0,1.0
133,88,NAU,0.178,,,,,,0,0,0,1.0
134,80,NPL,2.15,14.5,0.0,0.0,0.0,0.0,0,0,0,0.0
134,84,NPL,2.57,16.1,0.0,0.0,0.0,0.0,0,0,0,0.0
134,60,NPL,1.37,9.263,,,,,0,0,0,1.0
134,68,NPL,1.63,10.8,,,,,0,0,0,1.0
135,84,NLD,298.0,14.4,5.0,2.0,6.0,13.0,0,0,0,0.0
135,80,NLD,289.0,14.2,0.0,1.0,2.0,3.0,0,0,0,0.0
136,84,NLA,1.4,0.18017,0.0,0.0,0.0,0.0,0,0,0,0.0
136,80,NLA,1.24,0.174,,,,,0,0,0,1.0
137,84,NZL,50.2,3.2528,8.0,1.0,2.0,11.0,0,0,0,0.0
137,80,NZL,43.5,3.113,0.0,0.0,0.0,0.0,0,0,0,0.0
138,80,NIC,2.03,2.921,0.0,0.0,0.0,0.0,0,0,0,0.0
138,84,NIC,2.18,3.31271,0.0,0.0,0.0,0.0,0,0,0,0.0
138,60,NIC,0.994,1.542,,,,,0,0,0,1.0
138,64,NIC,1.46,1.75207,,,,,0,0,0,1.0
138,88,NIC,1.79,3.65787,,,,,0,0,0,1.0
139,60,NER,1.23,3.028,,,,,0,0,0,1.0
139,80,NER,1.83,5.586,,,,,0,0,0,1.0
139,84,NER,1.48,6.39581,,,,,0,0,0,1.0
140,80,NGA,22.5,71.1,0.0,0.0,0.0,0.0,0,0,0,0.0
140,84,NGA,17.6,80.7,0.0,1.0,1.0,2.0,0,0,0,0.0
141,80,NKR,26.7,17.7,0.0,3.0,2.0,5.0,0,1,0,0.0
141,84,NKR,23.8,18.7,,,,,0,1,0,1.0
141,88,NKR,25.4,19.8,,,,,0,1,0,1.0
142,84,NOR,107.0,4.14,0.0,1.0,2.0,3.0,0,0,0,0.0
142,80,NOR,96.5,4.091,,,,,0,0,0,1.0
143,84,OMN,6.87,1.34538,0.0,0.0,0.0,0.0,0,0,0,0.0
143,60,OMN,0.389,0.558,,,,,0,0,0,1.0
143,64,OMN,0.494,0.61621,,,,,0,0,0,1.0
143,68,OMN,1.58,0.68402,,,,,0,0,0,1.0
143,72,OMN,2.5,0.76301,,,,,0,0,0,1.0
143,76,OMN,3.59,0.8878,,,,,0,0,0,1.0
143,80,OMN,3.86,1.101,,,,,0,0,0,1.0
144,84,PAK,33.9,92.3,1.0,0.0,0.0,1.0,0,0,0,0.0
144,80,PAK,26.3,82.7,,,,,0,0,0,1.0
