dateid01,br,ffr,infn
1983-01-01,9.64,8.68,3.6405
1983-02-01,9.91,8.51,3.4253
1983-03-01,9.84,8.77,3.5273
1983-04-01,9.76,8.8,3.9221
1983-05-01,9.66,8.63,3.3832
1983-06-01,10.32,8.98,2.4441
1983-07-01,10.9,9.37,2.3316
1983-08-01,11.3,9.56,2.4268
1983-09-01,11.07,9.45,2.7261
1983-10-01,10.87,9.48,2.7151
1983-11-01,10.96,9.34,3.1143
1983-12-01,11.13,9.47,3.7172
1984-01-01,10.93,9.56,4.2006
1984-02-01,11.05,9.59,4.587
1984-03-01,11.59,9.91,4.777
1984-04-01,11.98,10.29,4.454
1984-05-01,12.75,10.32,4.2434
1984-06-01,13.18,11.06,4.235
1984-07-01,13.08,11.23,4.2184
1984-08-01,12.5,11.64,4.206
1984-09-01,12.34,11.3,4.1937
1984-10-01,11.85,9.99,4.1774
1984-11-01,10.9,9.43,4.0703
1984-12-01,10.56,8.38,3.9638
1985-01-01,10.43,8.35,3.4652
1985-02-01,10.55,8.5,3.5427
1985-03-01,11.05,8.58,3.72
1985-04-01,10.49,8.27,3.5191
1985-05-01,9.75,7.97,3.5125
1985-06-01,9.05,7.53,3.5989
1985-07-01,9.18,7.88,3.3998
1985-08-01,9.31,7.9,3.2975
1985-09-01,9.37,7.92,3.1958
1985-10-01,9.25,7.99,3.1838
1985-11-01,8.88,8.05,3.4534
1985-12-01,8.4,8.27,3.7214
1986-01-01,8.41,8.14,3.8966
1986-02-01,8.1,7.86,3.1484
1986-03-01,7.3,7.48,2.1307
1986-04-01,6.86,6.99,1.5763
1986-05-01,7.27,6.85,1.6652
1986-06-01,7.41,6.92,1.752
1986-07-01,6.86,6.56,1.6575
1986-08-01,6.49,6.17,1.5633
1986-09-01,6.62,5.89,1.7424
1986-10-01,6.56,5.85,1.5547
1986-11-01,6.46,6.04,1.2762
1986-12-01,6.43,6.91,1.1802
1987-01-01,6.41,6.43,1.3556
1987-02-01,6.56,6.1,1.8962
1987-03-01,6.58,6.13,2.8018
1987-04-01,7.32,6.37,3.6138
1987-05-01,8.02,6.85,3.604
1987-06-01,7.82,6.73,3.6792
1987-07-01,7.74,6.58,3.8518
1987-08-01,8.03,6.73,4.1989
1987-09-01,8.67,7.22,4.184
1987-10-01,8.75,7.29,4.2635
1987-11-01,7.99,6.69,4.4294
1987-12-01,8.13,6.77,4.2409
1988-01-01,7.87,6.83,4.0463
1988-02-01,7.38,6.58,3.8601
1988-03-01,7.5,6.58,3.7608
1988-04-01,7.83,6.87,3.9152
1988-05-01,8.24,7.09,3.9051
1988-06-01,8.22,7.51,3.8882
1988-07-01,8.44,7.75,4.047
1988-08-01,8.77,8.01,4.0297
1988-09-01,8.57,8.19,4.0996
1988-10-01,8.43,8.3,4.1726
1988-11-01,8.72,8.35,4.1584
1988-12-01,9.11,8.76,4.3172
1989-01-01,9.2,9.12,4.3852
1989-02-01,9.32,9.36,4.5424
1989-03-01,9.61,9.85,4.7768
1989-04-01,9.4,9.84,4.9115
1989-05-01,8.98,9.81,5.1421
1989-06-01,8.37,9.53,5.0403
1989-07-01,7.83,9.24,4.9393
1989-08-01,8.13,8.99,4.5182
1989-09-01,8.26,9.02,4.3396
1989-10-01,8.02,8.84,4.4851
1989-11-01,7.8,8.55,4.5499
1989-12-01,7.77,8.45,4.5352
1990-01-01,8.13,8.23,5.0674
1990-02-01,8.39,8.24,5.1293
1990-03-01,8.63,8.28,5.1048
1990-04-01,8.78,8.26,4.604
1990-05-01,8.69,8.18,4.2728
1990-06-01,8.4,8.29,4.5677
1990-07-01,8.26,8.15,4.7068
1990-08-01,8.22,8.13,5.5461
1990-09-01,8.27,8.2,5.987
1990-10-01,8.07,8.11,6.1844
1990-11-01,7.74,7.81,6.0111
1990-12-01,7.47,7.31,6.0671
1991-01-01,7.38,6.91,5.4934
1991-02-01,7.08,6.25,5.1762
1991-03-01,7.35,6.12,4.7085
1991-04-01,7.23,5.91,4.6978
1991-05-01,7.12,5.78,4.9122
1991-06-01,7.39,5.9,4.589
1991-07-01,7.38,5.82,4.2751
1991-08-01,6.8,5.66,3.729
1991-09-01,6.5,5.45,3.3398
1991-10-01,6.23,5.21,2.8088
1991-11-01,5.9,4.81,3.0205
1991-12-01,5.39,4.43,2.9371
1992-01-01,5.4,4.03,2.6375
1992-02-01,5.72,4.06,2.78
1992-03-01,6.18,3.98,3.1401
1992-04-01,5.93,3.73,3.1332
1992-05-01,5.81,3.82,2.9788
1992-06-01,5.6,3.76,2.9702
1992-07-01,4.91,3.25,3.1083
1992-08-01,4.72,3.3,3.0283
1992-09-01,4.42,3.22,2.9488
1992-10-01,4.64,3.1,3.2272
1992-11-01,5.14,3.09,3.0728
1992-12-01,5.21,2.92,2.9236
1993-01-01,4.93,3.02,3.202
1993-02-01,4.58,3.03,3.1952
1993-03-01,4.4,3.07,2.9747
1993-04-01,4.3,2.96,3.1076
1993-05-01,4.4,3.0,3.1704
1993-06-01,4.53,3.04,2.9538
1993-07-01,4.43,3.06,2.8072
1993-08-01,4.36,3.03,2.8013
1993-09-01,4.17,3.09,2.7265
1993-10-01,4.18,2.99,2.7151
1993-11-01,4.5,3.02,2.7076
1993-12-01,4.54,2.96,2.7722
1994-01-01,4.48,3.05,2.4214
1994-02-01,4.83,3.25,2.4846
1994-03-01,5.4,3.34,2.6172
1994-04-01,5.99,3.56,2.3369
1994-05-01,6.34,4.01,2.2627
1994-06-01,6.27,4.25,2.4642
1994-07-01,6.48,4.26,2.6632
1994-08-01,6.5,4.47,2.8593
1994-09-01,6.69,4.73,2.9224
1994-10-01,7.04,4.76,2.5764
1994-11-01,7.44,5.29,2.5694
1994-12-01,7.71,5.45,2.5642
1995-01-01,7.66,5.53,2.8304
1995-02-01,7.25,5.92,2.8228
1995-03-01,6.89,5.98,2.7491
1995-04-01,6.68,6.05,3.0772
1995-05-01,6.27,6.01,3.071
1995-06-01,5.8,6.0,2.9972
1995-07-01,5.89,5.85,2.7909
1995-08-01,6.1,5.74,2.5838
1995-09-01,5.89,5.8,2.5134
1995-10-01,5.77,5.76,2.7073
1995-11-01,5.57,5.8,2.5702
1995-12-01,5.39,5.6,2.5001
1996-01-01,5.2,5.56,2.7525
1996-02-01,5.14,5.22,2.6808
1996-03-01,5.79,5.31,2.8042
1996-04-01,6.11,5.22,2.7933
1996-05-01,6.27,5.24,2.7879
1996-06-01,6.49,5.27,2.7825
1996-07-01,6.45,5.4,2.8426
1996-08-01,6.21,5.22,2.7735
1996-09-01,6.41,5.3,2.9603
1996-10-01,6.08,5.24,3.0159
1996-11-01,5.82,5.31,3.2013
1996-12-01,5.91,5.29,3.323
1997-01-01,6.16,5.25,2.9929
1997-02-01,6.03,5.19,2.9872
1997-03-01,6.38,5.39,2.7277
1997-04-01,6.61,5.51,2.4052
1997-05-01,6.42,5.5,2.2132
1997-06-01,6.24,5.56,2.209
1997-07-01,6.0,5.52,2.1425
1997-08-01,6.06,5.54,2.2642
1997-09-01,5.98,5.54,2.1951
1997-10-01,5.84,5.5,2.0645
1997-11-01,5.76,5.52,1.8727
1997-12-01,5.74,5.5,1.6828
1998-01-01,5.38,5.56,1.618
1998-02-01,5.43,5.51,1.4299
1998-03-01,5.57,5.49,1.3673
1998-04-01,5.58,5.45,1.4282
1998-05-01,5.61,5.49,1.6745
1998-06-01,5.52,5.56,1.6099
1998-07-01,5.47,5.54,1.7306
1998-08-01,5.24,5.55,1.604
1998-09-01,4.62,5.51,1.4167
1998-10-01,4.18,5.07,1.4751
1998-11-01,4.57,4.83,1.4733
1998-12-01,4.48,4.68,1.5941
1999-01-01,4.61,4.63,1.6529
1999-02-01,4.9,4.76,1.6529
1999-03-01,5.11,4.81,1.7136
1999-04-01,5.03,4.74,2.2555
1999-05-01,5.33,4.74,2.0695
1999-06-01,5.7,4.76,1.9465
1999-07-01,5.62,4.99,2.1219
1999-08-01,5.77,5.07,2.2391
1999-09-01,5.75,5.22,2.596
1999-10-01,5.94,5.2,2.5303
1999-11-01,5.92,5.42,2.5866
1999-12-01,6.14,5.3,2.6412
2000-01-01,6.49,5.45,2.7547
2000-02-01,6.65,5.73,3.1673
2000-03-01,6.53,5.85,3.6931
2000-04-01,6.36,6.02,2.9693
2000-05-01,6.77,6.27,3.0845
2000-06-01,6.43,6.53,3.6669
2000-07-01,6.28,6.54,3.536
2000-08-01,6.17,6.5,3.2964
2000-09-01,6.02,6.52,3.3981
2000-10-01,5.85,6.51,3.3921
2000-11-01,5.79,6.51,3.3862
2000-12-01,5.26,6.4,3.3783
2001-01-01,4.77,5.98,3.6536
2001-02-01,4.71,5.49,3.4686
2001-03-01,4.43,5.31,2.9388
2001-04-01,4.42,4.8,3.1676
2001-05-01,4.51,4.21,3.5011
2001-06-01,4.35,3.97,3.144
2001-07-01,4.31,3.77,2.6851
2001-08-01,4.04,3.65,2.6851
2001-09-01,3.45,3.07,2.5591
2001-10-01,3.14,2.49,2.1053
2001-11-01,3.22,2.09,1.8767
2001-12-01,3.62,1.82,1.5909
2002-01-01,3.56,1.73,1.1888
2002-02-01,3.55,1.74,1.13
2002-03-01,4.14,1.73,1.3537
2002-04-01,4.01,1.75,1.6306
2002-05-01,3.8,1.75,1.2332
2002-06-01,3.49,1.75,1.0635
2002-07-01,3.01,1.73,1.455
2002-08-01,2.52,1.74,1.7324
2002-09-01,2.32,1.75,1.5046
2002-10-01,2.25,1.75,2.0068
2002-11-01,2.32,1.34,2.2285
2002-12-01,2.23,1.24,2.45
2003-01-01,2.18,1.24,2.7201
2003-02-01,2.05,1.26,3.0976
2003-03-01,1.98,1.25,2.9804
2003-04-01,2.06,1.26,2.1518
2003-05-01,1.75,1.26,1.8764
2003-06-01,1.51,1.22,1.93
2003-07-01,1.93,1.01,2.0347
2003-08-01,2.44,1.03,2.1919
2003-09-01,2.23,1.01,2.3505
2003-10-01,2.26,1.01,2.0214
2003-11-01,2.45,1.0,1.91
2003-12-01,2.44,0.98,2.0148
2004-01-01,2.27,1.0,2.006
2004-02-01,2.25,1.01,1.6744
2004-03-01,2.0,1.0,1.7251
2004-04-01,2.57,1.0,2.2667
2004-05-01,3.1,1.0,2.8566
2004-06-01,3.26,1.03,3.1185
2004-07-01,3.05,1.26,2.8972
2004-08-01,2.88,1.43,2.5155
2004-09-01,2.83,1.61,2.5075
2004-10-01,2.85,1.76,3.1411
2004-11-01,3.09,1.93,3.5576
2004-12-01,3.21,2.16,3.2877
2005-01-01,3.39,2.28,2.8052
2005-02-01,3.54,2.5,3.0073
2005-03-01,3.91,2.63,3.1565
2005-04-01,3.79,2.79,3.3065
2005-05-01,3.72,3.0,2.8289
2005-06-01,3.69,3.04,2.5093
2005-07-01,3.91,3.26,3.0211
2005-08-01,4.08,3.5,3.582
2005-09-01,3.96,3.62,4.6328
2005-10-01,4.29,3.78,4.2581
2005-11-01,4.43,4.0,3.284
2005-12-01,4.39,4.16,3.284
2006-01-01,4.35,4.29,3.9401
2006-02-01,4.64,4.49,3.5736
2006-03-01,4.74,4.59,3.3608
2006-04-01,4.89,4.79,3.5501
2006-05-01,4.97,4.94,3.9002
2006-06-01,5.09,4.99,4.0967
2006-07-01,5.07,5.24,4.0227
2006-08-01,4.85,5.25,3.8514
2006-09-01,4.69,5.25,1.9921
2006-10-01,4.72,5.25,1.3965
2006-11-01,4.64,5.25,1.9496
2006-12-01,4.58,5.24,2.4927
2007-01-01,4.79,5.25,2.0545
2007-02-01,4.75,5.26,2.3914
2007-03-01,4.51,5.26,2.7598
2007-04-01,4.6,5.25,2.5599
2007-05-01,4.69,5.25,2.6738
2007-06-01,5.0,5.25,2.6571
2007-07-01,4.82,5.26,2.2914
2007-08-01,4.34,5.02,1.8797
2007-09-01,4.06,4.94,2.7944
2007-10-01,4.01,4.76,3.547
2007-11-01,3.35,4.49,4.2803
2007-12-01,3.13,4.24,4.0266
2008-01-01,2.51,3.94,4.205
2008-02-01,2.19,2.98,4.0594
2008-03-01,1.8,2.61,3.8979
2008-04-01,2.23,2.28,3.8295
2008-05-01,2.69,1.98,4.007
2008-06-01,3.08,2.0,4.818
2008-07-01,2.87,2.01,5.3517
2008-08-01,2.7,2.0,5.1719
2008-09-01,2.32,1.81,4.8345
2008-10-01,1.86,0.97,3.6631
2008-11-01,1.51,0.39,1.0939
2008-12-01,1.07,0.16,-0.0222
2009-01-01,1.13,0.15,-0.1137
2009-02-01,1.37,0.22,0.0085
2009-03-01,1.31,0.18,-0.4475
2009-04-01,1.32,0.15,-0.578
2009-05-01,1.39,0.18,-1.021
2009-06-01,1.76,0.21,-1.2368
2009-07-01,1.55,0.16,-1.9782
2009-08-01,1.65,0.16,-1.495
2009-09-01,1.48,0.15,-1.3875
2009-10-01,1.46,0.12,-0.2242
2009-11-01,1.32,0.12,1.8965
2009-12-01,1.38,0.12,2.7753
2010-01-01,1.49,0.11,2.5873
2010-02-01,1.4,0.13,2.1285
2010-03-01,1.51,0.16,2.2604
2010-04-01,1.64,0.2,2.1828
2010-05-01,1.32,0.2,1.9837
2010-06-01,1.17,0.18,1.1153
2010-07-01,0.98,0.18,1.3319
2010-08-01,0.78,0.19,1.1436
2010-09-01,0.74,0.19,1.1121
2010-10-01,0.57,0.19,1.1599
2010-11-01,0.67,0.19,1.0787
2010-12-01,0.99,0.18,1.4276
2011-01-01,1.03,0.17,1.6865
2011-02-01,1.28,0.16,2.1026
2011-03-01,1.17,0.14,2.5855
2011-04-01,1.21,0.1,3.0308
2011-05-01,0.94,0.09,3.4005
2011-06-01,0.71,0.09,3.4424
2011-07-01,0.68,0.07,3.5173
2011-08-01,0.38,0.1,3.6862
2011-09-01,0.35,0.08,3.7417
2011-10-01,0.47,0.07,3.4617
2011-11-01,0.39,0.08,3.3932
2011-12-01,0.39,0.07,3.0161
2012-01-01,0.36,0.08,2.9644
2012-02-01,0.38,0.1,2.857
2012-03-01,0.51,0.13,2.5501
2012-04-01,0.43,0.14,2.2477
2012-05-01,0.39,0.16,1.723
2012-06-01,0.39,0.16,1.6403
2012-07-01,0.33,0.16,1.4076
2012-08-01,0.37,0.13,1.6719
2012-09-01,0.34,0.14,1.931
2012-10-01,0.37,0.16,2.1328
2012-11-01,0.36,0.16,1.7801
2012-12-01,0.35,0.16,1.7442
