absent,aide,black,boy,freelunch,id,mathscore,readscore,regular,schid,schrural,schurban,small,tchexper,tchid,tchmasters,tchwhite,totalscore,white_asian
12.0,0,0.0,0.0,1.0,10964,454,407,1,128068,1.0,0.0,0,1.0,12806802,0.0,1.0,861.0,1.0
9.0,0,0.0,0.0,1.0,10969,429,403,1,166203,0.0,1.0,0,13.0,16620302,1.0,1.0,832.0,1.0
3.0,0,0.0,1.0,1.0,10975,429,408,1,112038,0.0,1.0,0,6.0,11203802,1.0,1.0,837.0,1.0
6.0,1,0.0,0.0,0.0,10984,459,436,0,189378,1.0,0.0,0,5.0,18937803,1.0,1.0,895.0,1.0
14.0,1,0.0,0.0,1.0,10986,418,422,0,128079,1.0,0.0,0,8.0,12807902,0.0,1.0,840.0,1.0
0.0,0,0.0,0.0,1.0,10987,459,428,1,205488,0.0,0.0,0,12.0,20548802,0.0,1.0,887.0,1.0
8.0,1,1.0,0.0,1.0,10998,384,398,0,221571,1.0,0.0,0,7.0,22157105,0.0,1.0,782.0,0.0
5.0,1,1.0,0.0,1.0,11004,405,382,0,215533,1.0,0.0,0,9.0,21553304,0.0,1.0,787.0,0.0
11.0,0,0.0,1.0,0.0,11005,602,450,1,244839,0.0,0.0,0,1.0,24483901,0.0,1.0,1052.0,1.0
0.0,1,0.0,0.0,1.0,11007,489,431,0,257899,1.0,0.0,0,12.0,25789905,1.0,1.0,920.0,1.0
25.0,1,0.0,0.0,1.0,11013,463,418,0,228606,1.0,0.0,0,8.0,22860601,1.0,1.0,881.0,1.0
8.0,0,0.0,1.0,0.0,11018,500,421,1,225585,1.0,0.0,0,13.0,22558503,0.0,0.0,921.0,1.0
24.0,1,0.0,0.0,1.0,11025,444,424,0,189382,0.0,0.0,0,14.0,18938203,1.0,1.0,868.0,1.0
12.0,1,1.0,0.0,1.0,11040,468,413,0,244764,0.0,1.0,0,1.0,24476401,0.0,0.0,881.0,0.0
29.0,1,0.0,0.0,1.0,11046,429,405,0,112038,0.0,1.0,0,17.0,11203803,0.0,1.0,834.0,1.0
39.0,1,0.0,1.0,1.0,11049,434,418,0,257905,0.0,1.0,0,14.0,25790505,0.0,1.0,852.0,1.0
3.0,1,0.0,1.0,0.0,11050,528,436,0,128079,1.0,0.0,0,8.0,12807902,0.0,1.0,964.0,1.0
3.0,1,0.0,1.0,1.0,11051,489,448,0,128068,1.0,0.0,0,11.0,12806803,0.0,1.0,937.0,1.0
13.0,1,0.0,0.0,1.0,11052,484,408,0,225585,1.0,0.0,0,13.0,22558504,1.0,1.0,892.0,1.0
55.0,0,1.0,0.0,1.0,11057,473,431,1,244776,0.0,1.0,0,7.0,24477607,1.0,1.0,904.0,0.0
1.0,0,0.0,1.0,1.0,11058,536,453,1,244745,0.0,0.0,0,1.0,24474503,0.0,0.0,989.0,1.0
14.0,0,1.0,1.0,1.0,11059,500,425,0,244736,0.0,1.0,1,6.0,24473603,0.0,1.0,925.0,0.0
27.0,0,0.0,0.0,1.0,11066,439,419,1,128079,1.0,0.0,0,8.0,12807901,0.0,1.0,858.0,1.0
19.0,0,1.0,1.0,1.0,11069,439,428,1,244774,0.0,1.0,0,6.0,24477405,0.0,0.0,867.0,0.0
7.0,0,0.0,1.0,0.0,11077,528,447,1,169229,0.0,0.0,0,11.0,16922902,0.0,1.0,975.0,1.0
3.0,0,0.0,0.0,0.0,11078,439,398,1,169229,0.0,0.0,0,11.0,16922902,0.0,1.0,837.0,1.0
6.0,1,1.0,0.0,1.0,11086,494,443,0,244697,0.0,1.0,0,5.0,24469703,1.0,1.0,937.0,0.0
8.0,1,0.0,1.0,1.0,11089,489,428,0,201449,1.0,0.0,0,12.0,20144902,1.0,1.0,917.0,1.0
6.0,0,1.0,0.0,1.0,11090,429,414,0,244697,0.0,1.0,1,1.0,24469702,0.0,1.0,843.0,0.0
0.0,0,0.0,0.0,0.0,11094,506,436,0,244801,0.0,0.0,1,5.0,24480102,0.0,1.0,942.0,1.0
23.0,0,0.0,1.0,1.0,11099,449,414,1,191411,1.0,0.0,0,13.0,19141103,1.0,1.0,863.0,1.0
11.0,0,1.0,0.0,1.0,11106,559,440,1,244780,0.0,1.0,0,10.0,24478002,0.0,0.0,999.0,0.0
29.0,1,0.0,1.0,1.0,11117,473,407,0,208501,1.0,0.0,0,12.0,20850102,1.0,1.0,880.0,1.0
3.0,0,1.0,1.0,1.0,11124,506,437,1,215533,1.0,0.0,0,15.0,21553302,1.0,1.0,943.0,0.0
5.0,1,1.0,1.0,0.0,11128,434,398,0,201449,1.0,0.0,0,7.0,20144904,1.0,1.0,832.0,0.0
18.0,0,0.0,1.0,1.0,11131,449,408,0,205492,0.0,0.0,1,3.0,20549204,0.0,1.0,857.0,1.0
3.0,1,0.0,1.0,1.0,11140,602,456,0,244745,0.0,0.0,0,5.0,24474501,0.0,0.0,1058.0,1.0
6.0,1,0.0,1.0,1.0,11144,468,436,0,218562,0.0,1.0,0,8.0,21856202,1.0,1.0,904.0,1.0
36.0,1,0.0,1.0,1.0,11150,489,403,0,128076,0.0,0.0,0,7.0,12807603,0.0,1.0,892.0,1.0
8.0,0,0.0,1.0,0.0,11151,559,461,1,203452,1.0,0.0,0,20.0,20345205,0.0,1.0,1020.0,1.0
18.0,0,1.0,0.0,1.0,11152,439,419,0,205490,0.0,1.0,1,3.0,20549001,0.0,1.0,858.0,0.0
10.0,0,0.0,1.0,1.0,11156,444,433,1,205488,0.0,0.0,0,12.0,20548802,0.0,1.0,877.0,1.0
7.0,0,0.0,0.0,0.0,11157,513,485,1,252885,1.0,0.0,0,5.0,25288503,0.0,1.0,998.0,1.0
21.0,0,1.0,1.0,1.0,11160,602,458,0,244755,0.0,1.0,1,3.0,24475507,0.0,0.0,1060.0,0.0
2.0,0,0.0,1.0,1.0,11162,429,405,1,257899,1.0,0.0,0,12.0,25789904,1.0,1.0,834.0,1.0
4.0,1,0.0,1.0,1.0,11170,468,410,0,112038,0.0,1.0,0,17.0,11203803,0.0,1.0,878.0,1.0
7.0,0,1.0,0.0,1.0,11171,449,408,1,112038,0.0,1.0,0,6.0,11203802,1.0,1.0,857.0,0.0
15.0,0,0.0,1.0,1.0,11176,478,430,1,128068,1.0,0.0,0,1.0,12806802,0.0,1.0,908.0,1.0
1.0,0,1.0,1.0,1.0,11177,494,433,1,205490,0.0,1.0,0,12.0,20549003,0.0,1.0,927.0,0.0
1.0,1,1.0,1.0,1.0,11178,463,433,0,205490,0.0,1.0,0,11.0,20549002,0.0,1.0,896.0,0.0
1.0,1,1.0,1.0,1.0,11179,468,450,0,244776,0.0,1.0,0,10.0,24477606,1.0,0.0,918.0,0.0
14.0,0,0.0,1.0,0.0,11184,439,456,1,234628,1.0,0.0,0,8.0,23462805,0.0,1.0,895.0,1.0
9.0,0,1.0,0.0,0.0,11187,484,436,0,205492,0.0,0.0,1,3.0,20549204,0.0,1.0,920.0,0.0
18.0,0,1.0,0.0,1.0,11193,473,436,1,205492,0.0,0.0,0,24.0,20549203,1.0,1.0,909.0,0.0
12.0,0,0.0,0.0,0.0,11197,576,458,1,205488,0.0,0.0,0,12.0,20548802,0.0,1.0,1034.0,1.0
16.0,0,1.0,1.0,1.0,11198,478,405,1,244755,0.0,1.0,0,11.0,24475501,0.0,1.0,883.0,0.0
10.0,0,0.0,1.0,0.0,11200,439,411,1,205491,0.0,0.0,0,3.0,20549103,0.0,1.0,850.0,1.0
16.0,1,1.0,0.0,1.0,11202,439,410,0,205490,0.0,1.0,0,11.0,20549002,0.0,1.0,849.0,0.0
2.0,0,1.0,0.0,1.0,11203,506,485,0,205492,0.0,0.0,1,3.0,20549202,0.0,1.0,991.0,0.0
17.0,0,0.0,1.0,0.0,11206,602,460,1,203452,1.0,0.0,0,20.0,20345205,0.0,1.0,1062.0,1.0
12.0,1,0.0,0.0,1.0,11208,528,453,0,161183,1.0,0.0,0,10.0,16118304,1.0,1.0,981.0,1.0
34.0,0,0.0,0.0,0.0,11210,500,580,0,128079,1.0,0.0,1,8.0,12807903,0.0,1.0,1080.0,1.0
4.0,0,0.0,0.0,0.0,11211,506,443,1,161183,1.0,0.0,0,12.0,16118301,1.0,1.0,949.0,1.0
1.0,0,0.0,0.0,0.0,11212,559,495,0,205488,0.0,0.0,1,4.0,20548803,1.0,1.0,1054.0,1.0
8.0,0,1.0,0.0,1.0,11213,418,403,1,205490,0.0,1.0,0,12.0,20549003,0.0,1.0,821.0,0.0
9.0,1,0.0,1.0,0.0,11214,449,439,0,203452,1.0,0.0,0,5.0,20345204,0.0,1.0,888.0,1.0
16.0,0,1.0,0.0,1.0,11216,528,434,1,205492,0.0,0.0,0,24.0,20549203,1.0,1.0,962.0,0.0
8.0,1,0.0,1.0,0.0,11217,463,431,0,180344,0.0,1.0,0,0.0,18034402,0.0,1.0,894.0,1.0
15.0,1,0.0,0.0,1.0,11219,429,431,0,205491,0.0,0.0,0,17.0,20549104,0.0,1.0,860.0,1.0
20.0,0,0.0,0.0,0.0,11220,412,414,1,161176,1.0,0.0,0,6.0,16117603,0.0,1.0,826.0,1.0
21.0,0,0.0,0.0,1.0,11228,473,418,0,128068,1.0,0.0,1,12.0,12806801,1.0,1.0,891.0,1.0
21.0,0,0.0,1.0,1.0,11234,528,434,0,231616,1.0,0.0,1,9.0,23161602,1.0,1.0,962.0,1.0
2.0,1,1.0,1.0,1.0,11236,463,428,0,244806,0.0,1.0,0,10.0,24480606,0.0,0.0,891.0,0.0
5.0,0,0.0,1.0,1.0,11255,500,447,0,205491,0.0,0.0,1,0.0,20549101,0.0,1.0,947.0,1.0
2.0,0,0.0,1.0,0.0,11261,412,407,0,209510,1.0,0.0,1,10.0,20951004,0.0,1.0,819.0,1.0
43.0,0,0.0,1.0,1.0,11267,528,434,0,193423,1.0,0.0,1,12.0,19342302,0.0,1.0,962.0,1.0
12.0,1,0.0,1.0,1.0,11275,412,388,0,221571,1.0,0.0,0,7.0,22157105,0.0,1.0,800.0,1.0
0.0,0,0.0,1.0,0.0,11285,429,431,1,244818,0.0,1.0,0,9.0,24481804,0.0,0.0,860.0,1.0
17.0,0,1.0,1.0,1.0,11287,418,393,0,244801,0.0,0.0,1,5.0,24480102,0.0,1.0,811.0,0.0
8.0,1,0.0,1.0,0.0,11291,473,424,0,169229,0.0,0.0,0,5.0,16922904,0.0,0.0,897.0,1.0
10.0,0,1.0,1.0,1.0,11292,489,397,1,244708,0.0,1.0,0,3.0,24470804,0.0,0.0,886.0,0.0
5.0,0,1.0,1.0,1.0,11294,392,391,1,244723,0.0,1.0,0,8.0,24472305,1.0,1.0,783.0,0.0
3.0,0,1.0,0.0,1.0,11300,559,485,0,244780,0.0,1.0,1,2.0,24478003,0.0,1.0,1044.0,0.0
10.0,1,0.0,0.0,0.0,11303,454,442,0,168211,1.0,0.0,0,27.0,16821102,0.0,1.0,896.0,1.0
5.0,0,0.0,0.0,1.0,11305,559,453,0,252885,1.0,0.0,1,14.0,25288501,1.0,1.0,1012.0,1.0
3.0,0,1.0,1.0,1.0,11308,434,395,1,244774,0.0,1.0,0,6.0,24477405,0.0,0.0,829.0,0.0
4.0,0,0.0,1.0,1.0,11311,454,413,0,112038,0.0,1.0,1,12.0,11203801,1.0,1.0,867.0,1.0
6.0,1,1.0,1.0,1.0,11315,429,422,0,244727,0.0,0.0,0,12.0,24472703,0.0,0.0,851.0,0.0
11.0,0,0.0,1.0,0.0,11321,429,390,1,164198,1.0,0.0,0,4.0,16419803,1.0,1.0,819.0,1.0
33.0,0,0.0,1.0,0.0,11323,506,416,1,234628,1.0,0.0,0,8.0,23462805,0.0,1.0,922.0,1.0
11.0,0,0.0,1.0,0.0,11324,444,403,0,168211,1.0,0.0,1,15.0,16821103,1.0,1.0,847.0,1.0
15.0,1,0.0,1.0,0.0,11328,473,453,0,169229,0.0,0.0,0,5.0,16922904,0.0,0.0,926.0,1.0
12.0,0,0.0,0.0,0.0,11332,489,434,0,244745,0.0,0.0,1,14.0,24474502,1.0,0.0,923.0,1.0
36.0,1,1.0,0.0,1.0,11334,547,478,0,244780,0.0,1.0,0,24.0,24478001,1.0,1.0,1025.0,0.0
5.0,0,1.0,1.0,1.0,11346,463,410,0,244776,0.0,1.0,1,3.0,24477608,0.0,0.0,873.0,0.0
7.0,1,0.0,0.0,0.0,11352,459,436,0,189382,0.0,0.0,0,14.0,18938203,1.0,1.0,895.0,1.0
2.0,0,1.0,1.0,1.0,11354,463,433,1,244776,0.0,1.0,0,7.0,24477607,1.0,1.0,896.0,0.0
17.0,1,1.0,1.0,1.0,11363,506,421,0,244801,0.0,0.0,0,8.0,24480103,0.0,0.0,927.0,0.0
4.0,0,1.0,1.0,1.0,11365,429,400,1,205490,0.0,1.0,0,12.0,20549003,0.0,1.0,829.0,0.0
10.0,0,0.0,1.0,1.0,11368,439,405,0,208501,1.0,0.0,1,5.0,20850104,0.0,1.0,844.0,1.0
48.0,0,0.0,0.0,0.0,11369,513,450,0,193423,1.0,0.0,1,12.0,19342302,0.0,1.0,963.0,1.0
9.0,0,0.0,0.0,0.0,11379,547,422,1,244801,0.0,0.0,0,0.0,24480101,0.0,1.0,969.0,1.0
9.0,0,0.0,0.0,0.0,11382,463,437,0,228606,1.0,0.0,1,12.0,22860603,0.0,1.0,900.0,1.0
5.0,0,1.0,0.0,0.0,11388,506,421,1,244727,0.0,0.0,0,4.0,24472702,0.0,1.0,927.0,0.0
4.0,0,1.0,1.0,1.0,11389,500,460,0,244796,0.0,1.0,1,12.0,24479601,1.0,1.0,960.0,0.0
27.0,0,1.0,0.0,1.0,11390,468,416,1,244736,0.0,1.0,0,0.0,24473602,0.0,1.0,884.0,0.0
3.0,0,1.0,1.0,1.0,11391,506,421,0,244776,0.0,1.0,1,6.0,24477601,1.0,1.0,927.0,0.0
4.0,0,0.0,0.0,0.0,11392,489,428,1,244818,0.0,1.0,0,9.0,24481804,0.0,0.0,917.0,1.0
7.0,0,1.0,1.0,1.0,11393,536,463,0,244746,0.0,1.0,1,5.0,24474603,0.0,1.0,999.0,0.0
13.0,0,1.0,1.0,1.0,11394,478,414,0,244774,0.0,1.0,1,6.0,24477402,0.0,0.0,892.0,0.0
0.0,0,1.0,0.0,0.0,11397,536,450,0,244727,0.0,0.0,1,21.0,24472701,0.0,1.0,986.0,0.0
4.0,1,1.0,1.0,1.0,11398,429,424,0,244697,0.0,1.0,0,22.0,24469704,1.0,1.0,853.0,0.0
14.0,1,1.0,0.0,0.0,11400,473,448,0,244727,0.0,0.0,0,1.0,24472704,0.0,0.0,921.0,0.0
1.0,0,1.0,0.0,1.0,11401,576,503,0,244755,0.0,1.0,1,3.0,24475507,0.0,0.0,1079.0,0.0
4.0,1,1.0,1.0,1.0,11402,536,440,0,244774,0.0,1.0,0,1.0,24477403,0.0,1.0,976.0,0.0
3.0,0,1.0,0.0,1.0,11403,463,470,1,244806,0.0,1.0,0,6.0,24480605,0.0,0.0,933.0,0.0
6.0,1,1.0,1.0,1.0,11404,468,433,0,244697,0.0,1.0,0,22.0,24469704,1.0,1.0,901.0,0.0
16.0,1,1.0,0.0,1.0,11405,468,431,0,244697,0.0,1.0,0,5.0,24469703,1.0,1.0,899.0,0.0
7.0,1,1.0,0.0,1.0,11406,459,424,0,244755,0.0,1.0,0,16.0,24475506,0.0,0.0,883.0,0.0
1.0,1,1.0,0.0,1.0,11407,459,436,0,244755,0.0,1.0,0,16.0,24475506,0.0,0.0,895.0,0.0
34.0,1,1.0,1.0,1.0,11408,444,442,0,244746,0.0,1.0,0,17.0,24474601,1.0,1.0,886.0,0.0
21.0,0,1.0,1.0,1.0,11410,506,434,0,244755,0.0,1.0,1,9.0,24475503,0.0,0.0,940.0,0.0
9.0,1,1.0,0.0,1.0,11411,454,421,0,244708,0.0,1.0,0,0.0,24470806,0.0,1.0,875.0,0.0
1.0,0,1.0,0.0,0.0,11412,520,465,0,244818,0.0,1.0,1,10.0,24481802,1.0,0.0,985.0,0.0
8.0,0,1.0,0.0,0.0,11413,528,442,1,244839,0.0,0.0,0,1.0,24483901,0.0,1.0,970.0,0.0
1.0,0,1.0,0.0,1.0,11414,429,388,1,244708,0.0,1.0,0,2.0,24470803,0.0,1.0,817.0,0.0
15.0,0,1.0,1.0,1.0,11415,463,419,0,244697,0.0,1.0,1,1.0,24469702,0.0,1.0,882.0,0.0
8.0,1,1.0,0.0,1.0,11417,459,410,0,244697,0.0,1.0,0,22.0,24469704,1.0,1.0,869.0,0.0
4.0,0,1.0,1.0,1.0,11418,478,461,1,244806,0.0,1.0,0,0.0,24480603,0.0,0.0,939.0,0.0
6.0,0,0.0,0.0,0.0,11419,500,443,1,244801,0.0,0.0,0,0.0,24480101,0.0,1.0,943.0,1.0
12.0,0,1.0,1.0,1.0,11420,423,431,0,244796,0.0,1.0,1,21.0,24479603,0.0,0.0,854.0,0.0
0.0,0,1.0,0.0,0.0,11421,602,490,1,244839,0.0,0.0,0,20.0,24483903,0.0,0.0,1092.0,0.0
4.0,0,1.0,1.0,1.0,11422,405,388,1,244708,0.0,1.0,0,2.0,24470803,0.0,1.0,793.0,0.0
17.0,0,1.0,1.0,1.0,11423,468,428,0,244697,0.0,1.0,1,1.0,24469702,0.0,1.0,896.0,0.0
3.0,1,1.0,1.0,1.0,11424,439,416,0,244697,0.0,1.0,0,22.0,24469704,1.0,1.0,855.0,0.0
9.0,1,1.0,0.0,1.0,11425,484,414,0,244697,0.0,1.0,0,22.0,24469704,1.0,1.0,898.0,0.0
16.0,0,1.0,1.0,1.0,11426,439,425,0,244746,0.0,1.0,1,5.0,24474603,0.0,1.0,864.0,0.0
0.0,0,1.0,0.0,1.0,11428,489,430,1,244796,0.0,1.0,0,11.0,24479602,1.0,0.0,919.0,0.0
5.0,0,1.0,0.0,0.0,11430,506,433,0,244799,0.0,0.0,1,13.0,24479902,0.0,1.0,939.0,0.0
3.0,0,1.0,1.0,1.0,11432,468,425,0,244806,0.0,1.0,1,1.0,24480601,0.0,1.0,893.0,0.0
1.0,0,1.0,1.0,1.0,11433,468,419,1,244796,0.0,1.0,0,11.0,24479602,1.0,0.0,887.0,0.0
28.0,1,1.0,0.0,1.0,11436,494,461,0,244806,0.0,1.0,0,20.0,24480602,0.0,0.0,955.0,0.0
28.0,0,1.0,1.0,1.0,11437,500,434,1,244755,0.0,1.0,0,1.0,24475504,0.0,0.0,934.0,0.0
2.0,1,1.0,0.0,1.0,11438,513,430,0,244697,0.0,1.0,0,22.0,24469704,1.0,1.0,943.0,0.0
2.0,0,1.0,1.0,1.0,11439,506,442,0,244708,0.0,1.0,1,14.0,24470801,0.0,1.0,948.0,0.0
18.0,0,1.0,1.0,1.0,11440,468,422,0,244799,0.0,0.0,1,13.0,24479902,0.0,1.0,890.0,0.0
17.0,1,1.0,1.0,1.0,11441,429,400,0,244723,0.0,1.0,0,6.0,24472304,0.0,1.0,829.0,0.0
