dateid01,m,p
1994-04-01,0.0132424,0.0198059
1994-07-01,0.0183706,0.0218783
1994-10-01,0.0194404,0.0212753
1995-01-01,0.0324141,0.0215572
1995-04-01,0.0489132,0.0209475
1995-07-01,0.0601504,0.0192548
1995-10-01,0.0596565,0.0193848
1996-01-01,0.0717672,0.0194503
1996-04-01,0.0637525,0.0194058
1996-07-01,0.060069,0.0178475
1996-10-01,0.0722787,0.0183356
1997-01-01,0.0719325,0.0183188
1997-04-01,0.0721596,0.0163867
1997-07-01,0.0864294,0.0167173
1997-10-01,0.0917459,0.0146765
1998-01-01,0.1002991,0.0108424
1998-04-01,0.1002807,0.0108925
1998-07-01,0.0972569,0.0110882
1998-10-01,0.1035207,0.0112836
1999-01-01,0.0904049,0.012814
1999-04-01,0.0851875,0.0146927
1999-07-01,0.071054,0.0145378
1999-10-01,0.080327,0.01535
2000-01-01,0.0899787,0.0202311
2000-04-01,0.0899507,0.0209856
2000-07-01,0.1020681,0.0226475
2000-10-01,0.0838053,0.0224401
2001-01-01,0.0953223,0.0215154
2001-04-01,0.1146383,0.0248146
2001-07-01,0.114624,0.0238021
2001-10-01,0.1221444,0.0247735
2002-01-01,0.0956589,0.0203962
2002-04-01,0.0699804,0.0163544
2002-07-01,0.0600628,0.0159713
2002-10-01,0.0630701,0.0164831
2003-01-01,0.0616963,0.0206035
2003-04-01,0.0715853,0.0202389
2003-07-01,0.0683594,0.0216471
2003-10-01,0.03352,0.0215289
2004-01-01,0.046496,0.0229831
2004-04-01,0.0541361,0.0288092
2004-07-01,0.0507758,0.0288273
2004-10-01,0.0602464,0.0313355
2005-01-01,0.050993,0.0305593
2005-04-01,0.0476433,0.0276193
2005-07-01,0.062794,0.0304535
2005-10-01,0.0731086,0.0305588
