sold,date_auctn,years_old,rhammer,inchsq,signed,creation,age,yob,drec
1,1987.42,91.42,24.77876,808.35,1,1896,31,1865,0
1,2008.83,82.83,0.14383,118.75,1,1926,64,1862,1
1,2008.5,83.5,0.50636,115.625,0,1925,63,1862,1
1,2008.42,83.42,3.25122,480.0,1,1925,63,1862,1
0,2008.42,83.42,,108.0,1,1925,63,1862,1
0,2008.0,83.0,,108.0,1,1925,63,1862,1
1,2007.92,97.92,26.48514,147.84,1,1910,48,1862,0
0,2007.5,82.5,,140.938,1,1925,63,1862,0
1,2007.5,87.5,0.45858,157.5,1,1920,58,1862,0
0,2007.5,87.5,,123.75,1,1920,58,1862,0
1,2007.5,82.5,0.72407,165.0,1,1925,63,1862,0
0,2007.33,82.33,,480.0,1,1925,63,1862,0
1,2007.17,86.17,1.37095,249.75,1,1921,59,1862,0
0,2006.92,81.92,,247.0,1,1925,63,1862,0
1,2006.92,111.92,0.64356,200.564,0,1895,33,1862,0
0,2006.83,81.83,,247.0,1,1925,63,1862,0
1,2006.42,109.42,0.66236,47.43,0,1897,35,1862,0
0,2004.42,90.42,,720.0,1,1914,52,1862,0
1,2004.25,76.25,3.47408,115.0,1,1928,66,1862,0
1,2003.67,96.67,1.43339,108.688,1,1907,45,1862,0
1,2003.17,82.17,1.20576,275.8,1,1921,59,1862,0
0,1998.75,73.75,,918.0,1,1925,63,1862,0
0,1992.92,65.92,,108.0,1,1927,65,1862,0
1,2008.83,63.83,3.31904,33.75,1,1945,69,1876,1
1,2008.75,96.75,0.54832,1218.75,1,1912,36,1876,1
1,2008.5,106.5,0.57541,24.0,1,1902,26,1876,1
0,2008.5,74.5,,154.0,0,1934,58,1876,1
1,2008.5,65.5,1.84132,22.5,1,1943,67,1876,1
0,2008.42,73.42,,97.44,1,1935,59,1876,1
1,2008.42,75.42,0.5462,323.0,1,1933,57,1876,1
1,2008.33,106.33,0.39716,44.563,1,1902,26,1876,1
1,2008.25,108.25,3.7477,78.8,1,1900,24,1876,1
1,2008.17,91.17,0.47018,64.625,1,1917,41,1876,1
1,2008.0,99.0,0.27131,130.0,1,1909,33,1876,1
1,2008.0,73.0,0.31672,32.5,1,1935,59,1876,1
0,2007.92,58.92,,432.0,1,1949,73,1876,0
1,2007.83,72.83,1.83595,95.7,1,1935,59,1876,0
1,2007.75,103.75,0.92101,204.0,0,1904,28,1876,0
1,2007.5,102.5,1.25707,118.75,1,1905,29,1876,0
1,2007.5,62.5,0.70396,178.8,1,1945,69,1876,0
1,2007.42,100.42,10.09103,468.0,1,1907,31,1876,0
0,2007.42,82.42,,103.04,1,1925,49,1876,0
1,2007.42,84.42,17.65931,716.85,1,1923,47,1876,0
1,2007.42,104.42,100.91032,139.1,1,1903,27,1876,0
1,2006.92,98.92,72.32028,199.5,1,1908,32,1876,0
1,2006.92,96.92,112.95738,396.0,1,1910,34,1876,0
1,2006.92,63.92,77.48601,432.0,1,1943,67,1876,0
1,2006.92,64.92,12.91433,252.0,1,1942,66,1876,0
0,2006.92,90.92,,212.09,1,1916,40,1876,0
0,2006.92,96.92,,320.0,1,1910,34,1876,0
1,2006.83,100.83,1.47969,155.0,1,1906,30,1876,0
1,2006.75,93.75,1.08481,492.0,1,1913,37,1876,0
1,2006.67,64.67,0.9515,126.0,1,1942,66,1876,0
1,2006.5,64.5,0.49348,114.84,1,1942,66,1876,0
1,2006.42,100.42,4.96771,33.84,1,1906,30,1876,0
0,2006.42,96.42,,320.0,1,1910,34,1876,0
1,2006.33,64.33,1.04924,126.0,1,1942,66,1876,0
1,2006.25,79.25,23.51353,1044.0,1,1927,51,1876,0
0,2006.0,88.0,,616.0,1,1918,42,1876,0
1,2005.92,53.92,52.67432,184.0,1,1952,76,1876,0
0,2005.92,81.92,,30.34,1,1924,48,1876,0
0,2005.92,99.92,,33.84,1,1906,30,1876,0
1,2005.92,65.92,1.76678,254.375,1,1940,64,1876,0
1,2005.75,99.75,0.53026,116.44,1,1906,30,1876,0
1,2005.75,95.75,0.73902,133.0,1,1910,34,1876,0
1,2005.75,61.75,0.37726,253.45,1,1944,68,1876,0
1,2005.5,60.5,0.41301,249.57,1,1945,69,1876,0
1,2005.42,64.42,0.87466,198.0,1,1941,65,1876,0
1,2005.0,64.0,0.99983,195.0,1,1941,65,1876,0
1,2005.0,53.0,40.65682,96.3,1,1952,76,1876,0
1,2005.0,97.0,79.83489,373.95,1,1908,32,1876,0
1,2005.0,99.0,3559.91019,708.0,1,1906,30,1876,0
1,2005.0,93.0,186.52333,333.3,1,1912,36,1876,0
1,2004.92,69.92,1.974,90.95,1,1935,59,1876,0
1,2004.92,66.92,1.71144,79.65,1,1938,62,1876,0
1,2004.83,87.83,1.56578,256.5,1,1917,41,1876,0
0,2004.83,62.83,,120.0,1,1942,66,1876,0
1,2004.83,94.83,1.75367,92.0,1,1910,34,1876,0
1,2004.5,94.5,1.08876,256.19,1,1910,34,1876,0
1,2004.5,102.5,1.27051,206.4,1,1902,26,1876,0
1,2004.5,78.5,16.22667,660.0,1,1926,50,1876,0
1,2004.42,61.42,1.19067,486.75,1,1943,67,1876,0
1,2004.42,69.42,30.49485,1512.0,1,1935,59,1876,0
0,2004.42,74.42,,320.0,1,1930,54,1876,0
1,2004.42,97.42,5.04782,171.0,1,1907,31,1876,0
1,2004.42,97.42,1.59405,167.31,1,1907,31,1876,0
1,2004.42,98.42,11.08904,134.4,1,1906,30,1876,0
1,2004.42,97.42,2.1254,202.96,1,1907,31,1876,0
0,2004.42,77.42,,504.0,1,1927,51,1876,0
1,2004.25,97.25,6.41368,48.8,1,1907,31,1876,0
0,2004.25,56.25,,116.4,1,1948,72,1876,0
0,2004.25,89.25,,438.45,0,1915,39,1876,0
1,2004.25,96.25,2.92758,31.5,1,1908,32,1876,0
0,2004.0,98.0,,26.0,1,1906,30,1876,0
1,2004.0,61.0,3.69497,355.5,1,1943,67,1876,0
1,2004.0,98.0,116.73929,246.0,1,1906,30,1876,0
1,2004.0,91.0,21.09457,1026.0,1,1913,37,1876,0
0,2003.5,77.5,,660.0,1,1926,50,1876,0
1,2003.5,64.5,2.82359,130.15,1,1939,63,1876,0
1,2003.42,55.42,42.61297,418.0,1,1948,72,1876,0
1,2003.42,93.42,12.83667,42.5,1,1910,34,1876,0
1,2003.42,96.42,9.69881,77.6,1,1907,31,1876,0
1,2003.42,95.42,34.23111,252.0,1,1908,32,1876,0
1,2003.42,87.42,15.68926,655.5,1,1916,40,1876,0
1,2003.42,74.42,290.96441,1512.0,1,1929,53,1876,0
1,2003.42,93.42,10.26933,359.64,1,1910,34,1876,0
0,2003.42,68.42,,1512.0,1,1935,59,1876,0
0,2003.42,55.42,,116.4,1,1948,72,1876,0
1,2003.25,63.25,26.95227,183.69,1,1940,64,1876,0
0,2003.25,61.25,,120.0,1,1942,66,1876,0
1,2003.25,69.25,11.30104,86.7,1,1934,58,1876,0
1,2003.0,91.0,3560.24733,1057.04,1,1912,36,1876,0
1,2003.0,104.0,246.05721,100.0,1,1899,23,1876,0
1,2003.0,99.0,219.15235,110.5,1,1904,28,1876,0
1,2003.0,61.0,37.15502,104.4,1,1942,66,1876,0
1,2003.0,58.0,34.29473,72.0,1,1945,69,1876,0
1,2003.0,63.0,21.43301,93.5,1,1940,64,1876,0
1,2002.92,59.92,2.06412,379.75,1,1943,67,1876,0
0,2002.83,90.83,,189.75,1,1912,36,1876,0
1,2002.42,95.42,1.70764,183.69,1,1907,31,1876,0
1,2002.42,92.42,1.96379,60.0,1,1910,34,1876,0
1,2002.42,72.42,46.31222,480.0,1,1930,54,1876,0
1,2002.42,61.42,3.12119,203.55,1,1941,65,1876,0
1,2002.33,57.33,0.71041,157.5,1,1945,69,1876,0
1,2002.33,57.33,0.71041,144.0,1,1945,69,1876,0
0,2001.92,89.92,,217.8,1,1912,36,1876,1
0,2001.92,77.92,,154.0,1,1924,48,1876,1
1,2001.83,82.83,4.28122,63.24,1,1919,43,1876,1
0,2001.5,76.5,,708.0,1,1925,49,1876,1
1,2001.5,91.5,3.09627,154.35,1,1910,34,1876,1
1,2001.42,96.42,46.10216,419.49,1,1905,29,1876,1
1,2001.42,95.42,149.47533,275.1,1,1906,30,1876,1
1,2001.0,66.0,8.97289,221.34,1,1935,59,1876,0
1,2000.92,97.92,196.35508,255.6,1,1903,27,1876,0
1,2000.92,101.92,46.19254,112.2,1,1899,23,1876,0
1,2000.83,100.83,2.53134,194.4,1,1900,24,1876,0
1,2000.5,100.5,11.86689,32.4,1,1900,24,1876,0
1,2000.42,75.42,131.9447,99.0,1,1925,49,1876,0
1,2000.42,56.42,23.87241,651.0,1,1944,68,1876,0
1,2000.42,48.42,33.96993,310.0,1,1952,76,1876,0
1,2000.42,55.42,28.95165,720.0,1,1945,69,1876,0
1,2000.42,58.42,11.9362,120.0,1,1942,66,1876,0
0,1999.92,82.92,,274.0,1,1917,41,1876,0
0,1999.75,59.75,,125.0,1,1940,64,1876,0
0,1999.75,71.75,,125.19,1,1928,52,1876,0
1,1999.42,47.42,9.63855,306.25,1,1952,76,1876,0
1,1999.42,87.42,176.06791,333.3,1,1912,36,1876,0
1,1999.42,84.42,6.62651,29.25,1,1915,39,1876,0
1,1999.25,56.25,1.09223,115.0,1,1943,67,1876,0
1,1999.25,96.25,31.71889,224.0,1,1903,27,1876,0
1,1999.08,92.08,5.1609,287.24,1,1907,31,1876,0
1,1998.92,78.92,1.16578,294.0,1,1920,44,1876,0
1,1998.83,91.83,5.79887,48.0,1,1907,31,1876,0
1,1998.75,78.75,1.37588,62.31,1,1920,44,1876,0
0,1998.75,56.75,,300.0,1,1942,66,1876,0
1,1998.75,81.75,0.17551,157.5,1,1917,41,1876,0
1,1998.5,77.5,12.28501,396.0,1,1921,45,1876,0
1,1998.42,68.42,14.76015,509.35,1,1930,54,1876,0
0,1998.42,91.42,,287.24,1,1907,31,1876,0
0,1998.42,53.42,,101.25,1,1945,69,1876,0
1,1998.33,49.33,6.16523,775.0,1,1949,73,1876,0
1,1998.33,92.33,4.31566,203.0,1,1906,30,1876,0
1,1998.33,56.33,25.89396,402.5,1,1942,66,1876,0
1,1998.0,95.0,57.02888,266.64,1,1903,27,1876,0
1,1998.0,74.0,112.65311,423.0,1,1924,48,1876,0
0,1997.83,71.83,,504.0,1,1926,50,1876,0
1,1997.5,89.5,20.26272,221.0,1,1908,32,1876,0
1,1997.5,97.5,5.9328,111.55,1,1900,24,1876,0
1,1997.5,98.5,54.47736,642.32,1,1899,23,1876,0
1,1997.33,63.33,3.43965,371.25,1,1934,58,1876,0
1,1997.0,61.0,12.57071,137.7,1,1936,60,1876,0
1,1997.0,62.0,1.63419,271.95,1,1935,59,1876,0
1,1997.0,97.0,3.14268,32.4,1,1900,24,1876,0
0,1996.92,81.92,,453.25,1,1915,39,1876,0
1,1996.83,80.83,0.94817,283.59,1,1916,40,1876,0
1,1996.75,94.75,6.97527,118.75,1,1902,26,1876,0
1,1996.25,66.25,2.57235,298.41,1,1930,54,1876,0
0,1995.92,83.92,,110.4,1,1912,36,1876,0
0,1995.75,63.75,,223.68,1,1932,56,1876,0
1,1995.75,70.75,1.69824,708.0,1,1925,49,1876,0
0,1995.75,56.75,,86.7,1,1939,63,1876,0
0,1995.75,88.75,,280.5,1,1907,31,1876,0
0,1995.75,91.75,,212.4,1,1904,28,1876,0
1,1995.58,95.58,0.07864,23.94,1,1900,24,1876,0
1,1995.42,95.42,11.83432,40.0,1,1900,24,1876,0
1,1995.42,87.42,26.29849,197.95,1,1908,32,1876,0
1,1995.42,50.42,24.65769,720.0,1,1945,69,1876,0
1,1995.42,46.42,5.00243,178.25,1,1949,73,1876,0
0,1995.25,46.25,,247.05,1,1949,73,1876,0
0,1995.25,50.25,,450.0,1,1945,69,1876,0
1,1995.25,92.25,14.55026,117.0,1,1903,27,1876,0
0,1995.25,68.25,,220.64,1,1927,51,1876,0
0,1995.0,66.0,,1512.0,1,1929,53,1876,0
1,1994.92,55.92,2.13618,508.75,1,1939,63,1876,0
1,1994.75,65.75,45.05876,173.6,1,1929,53,1876,0
1,1994.42,49.42,12.20339,123.76,1,1945,69,1876,0
1,1994.42,45.42,4.40678,34.5,1,1949,73,1876,0
1,1994.25,87.25,2.37933,85.41,1,1907,31,1876,0
1,1994.25,47.25,5.77838,522.72,1,1947,71,1876,0
1,1993.75,89.75,5.51724,237.5,1,1904,28,1876,0
0,1993.75,44.75,,34.5,1,1949,73,1876,0
1,1993.75,59.75,2.2069,168.75,1,1934,58,1876,0
1,1993.75,51.75,0.58651,126.04,1,1942,66,1876,0
1,1993.42,88.42,20.80444,419.49,1,1905,29,1876,0
1,1993.42,68.42,41.79801,170.24,1,1925,49,1876,0
1,1993.42,87.42,0.24302,102.75,1,1906,30,1876,0
1,1993.42,84.42,0.55479,136.5,1,1909,33,1876,0
1,1993.25,59.25,1.74459,373.24,1,1934,58,1876,0
1,1993.25,86.25,0.43691,206.4,1,1907,31,1876,0
1,1993.25,48.25,0.90719,140.0,1,1945,69,1876,0
0,1993.25,55.25,,71.4,1,1938,62,1876,0
1,1993.0,93.0,16.16304,114.75,1,1900,24,1876,0
1,1993.0,60.0,18.27126,501.8,1,1933,57,1876,0
0,1993.0,95.0,,585.66,1,1898,22,1876,0
1,1993.0,52.0,1.40548,187.0,1,1941,65,1876,0
1,1992.75,52.75,1.98441,135.0,1,1940,64,1876,0
1,1992.75,49.75,12.75691,320.0,1,1943,67,1876,0
1,1992.75,58.75,15.59178,216.0,1,1934,58,1876,0
1,1992.42,90.42,114.53114,454.99,1,1902,26,1876,0
1,1992.42,46.42,10.02147,79.38,1,1946,70,1876,0
1,1992.42,93.42,13.60057,640.15,1,1899,23,1876,0
0,1992.33,54.33,,71.4,1,1938,62,1876,0
0,1992.33,54.33,,216.0,1,1938,62,1876,0
0,1992.25,50.25,,123.3,1,1942,66,1876,0
1,1992.25,58.25,5.75126,216.0,1,1934,58,1876,0
0,1992.0,58.0,,371.25,1,1934,58,1876,0
1,1992.0,80.0,5.78871,158.4,1,1912,36,1876,0
1,1992.0,88.0,57.88712,156.0,1,1904,28,1876,0
0,1992.0,85.0,,417.6,1,1907,31,1876,0
0,1991.75,92.75,,640.15,1,1899,23,1876,0
0,1990.83,45.83,,119.34,1,1945,69,1876,1
0,1990.42,47.42,,320.0,1,1943,67,1876,0
1,1989.42,91.42,40.42037,585.66,1,1898,22,1876,0
1,1989.25,43.25,10.6383,79.38,1,1946,70,1876,0
0,1989.17,47.17,,128.8,1,1942,66,1876,0
1,1988.5,48.5,6.35593,243.0,1,1940,64,1876,0
1,1988.5,39.5,6.35593,385.0,1,1949,73,1876,0
1,1988.42,39.42,19.57447,178.25,1,1949,73,1876,0
1,1988.0,55.0,13.4083,468.75,1,1933,57,1876,0
1,1987.42,53.42,12.38938,111.55,1,1934,58,1876,0
1,2008.42,95.42,153.6587,832.0,0,1913,43,1870,1
1,2008.0,98.0,1.95822,69.375,1,1910,40,1870,1
0,2007.42,97.42,,192.0,0,1910,40,1870,0
1,2007.17,95.17,1.83609,65.0,1,1912,42,1870,0
1,2006.92,95.92,92.98321,391.0,1,1911,41,1870,0
0,2006.92,76.92,,208.0,0,1930,60,1870,0
0,2006.42,97.42,,750.0,1,1909,39,1870,0
1,2006.33,69.33,3.96944,174.0,1,1937,67,1870,0
1,2005.75,93.75,1.50905,66.34,1,1912,42,1870,0
1,2005.67,69.67,89.24018,174.8,1,1936,66,1870,0
1,2005.42,91.42,127.91951,480.0,0,1914,44,1870,0
1,2005.42,75.42,86.23787,447.7,1,1930,60,1870,0
1,2005.0,89.0,410.06101,432.0,1,1916,46,1870,0
1,2004.42,91.42,169.06159,832.0,0,1913,43,1870,0
1,2004.0,85.0,211.71282,510.0,0,1919,49,1870,0
1,2003.42,68.42,110.86211,466.89,0,1935,65,1870,0
1,2003.42,87.42,24.24703,224.0,0,1916,46,1870,0
1,2003.08,67.08,184.83023,174.8,1,1936,66,1870,0
1,2000.92,91.92,365.27797,750.0,1,1909,39,1870,0
1,2000.92,90.92,27.64439,181.5,1,1910,40,1870,0
0,2000.92,81.92,,510.0,0,1919,49,1870,0
0,2000.0,81.0,,510.0,0,1919,49,1870,0
0,1997.5,93.5,,832.0,1,1904,34,1870,0
1,1997.0,67.0,42.2833,325.5,1,1930,60,1870,0
1,1996.42,94.42,174.08742,750.0,1,1902,32,1870,0
1,1994.25,91.25,1.69952,193.2,1,1903,33,1870,0
1,1992.42,83.42,214.74588,806.0,1,1909,39,1870,0
1,1991.92,93.92,1.37881,224.4,1,1898,28,1870,0
0,2008.42,108.42,,567.0,1,1900,27,1873,1
0,2008.42,115.42,,266.0,1,1893,20,1873,1
1,2007.25,91.25,16.52304,720.0,1,1916,43,1873,0
1,2006.92,74.92,25.82867,320.0,1,1932,59,1873,0
1,2006.92,88.92,7.92079,592.25,1,1918,45,1873,0
1,2006.5,112.5,33.47266,750.0,1,1894,21,1873,0
0,2006.0,71.0,,20.0,1,1935,62,1873,0
0,2005.92,89.92,,720.0,1,1916,43,1873,0
1,2005.42,89.42,1.4678,130.0,1,1916,43,1873,0
1,2005.0,91.0,46.26795,291.84,1,1914,41,1873,0
1,2005.0,93.0,14.96904,320.0,1,1912,39,1873,0
1,2004.5,91.5,1.55506,125.0,1,1913,40,1873,0
0,2003.25,85.25,,462.95,1,1918,45,1873,0
1,2003.0,101.0,31.43923,488.84,1,1902,29,1873,0
0,2002.75,105.75,,206.4,1,1897,24,1873,0
1,2001.42,91.42,23.54153,345.0,0,1910,37,1873,1
1,2001.0,87.0,22.41147,323.61,1,1914,41,1873,0
1,1999.42,84.42,43.53779,484.0,1,1915,42,1873,0
1,1999.0,96.0,80.45786,1397.25,1,1903,30,1873,0
1,1998.0,88.0,112.65311,735.0,1,1910,37,1873,0
1,1998.0,92.0,53.93864,750.0,1,1906,33,1873,0
1,1996.42,88.42,122.93653,1320.0,1,1908,35,1873,0
0,1993.0,90.0,,1397.25,1,1903,30,1873,0
0,1992.42,79.42,,482.0,1,1913,40,1873,0
1,1992.33,80.33,7.89096,320.0,1,1912,39,1873,0
1,1990.75,58.75,18.86792,320.0,1,1932,59,1873,1
1,1989.0,86.0,91.13505,750.0,1,1903,30,1873,0
0,1987.42,89.42,,238.0,1,1898,25,1873,0
1,2008.67,88.67,19.65445,280.0,1,1920,53,1867,1
1,2008.0,86.0,14.13091,762.5,1,1922,55,1867,1
0,2007.92,87.92,,440.44,1,1920,53,1867,0
0,2007.92,85.92,,320.0,1,1922,55,1867,0
1,2007.42,85.42,37.84137,320.0,1,1922,55,1867,0
1,2007.17,105.17,10.77175,567.0,1,1902,35,1867,0
1,2007.17,74.17,0.244,67.735,1,1933,66,1867,0
1,2006.83,101.83,6.41407,390.42,1,1905,38,1867,0
0,2006.75,84.75,,762.5,1,1922,55,1867,0
1,2006.42,71.42,0.27255,65.0,1,1935,68,1867,0
1,2006.25,80.25,9.40541,750.0,1,1926,59,1867,0
1,2005.92,89.92,94.81377,1743.3,1,1916,49,1867,0
1,2005.92,85.92,0.22968,99.0,1,1920,53,1867,0
1,2005.92,70.92,0.21033,65.0,1,1935,68,1867,0
1,2005.08,105.08,3.00104,133.0,1,1900,33,1867,0
1,2005.0,76.0,10.34225,280.0,1,1929,62,1867,0
0,2004.75,81.75,,115.0,1,1923,56,1867,0
1,2004.25,89.25,8.55158,327.24,0,1915,48,1867,0
1,2004.25,104.25,1.59674,133.0,1,1900,33,1867,0
1,2003.83,83.83,3.08161,55.51,0,1920,53,1867,0
1,2003.42,87.42,127.58867,266.0,1,1916,49,1867,0
0,2002.33,98.33,,192.0,1,1904,37,1867,0
1,2002.33,78.33,0.51856,33.75,1,1924,57,1867,0
1,2002.0,94.0,109.53674,817.8,1,1908,41,1867,0
1,2001.92,81.92,23.02511,442.86,1,1920,53,1867,1
1,2000.0,67.0,0.43272,66.5,1,1933,66,1867,0
1,1999.42,77.42,58.59803,320.0,1,1922,55,1867,0
1,1999.25,74.25,0.6068,80.64,1,1925,58,1867,0
1,1998.42,92.42,14.76015,750.0,1,1906,39,1867,0
1,1998.42,83.42,1.53752,750.0,1,1915,48,1867,0
1,1998.42,76.42,62.89836,758.02,1,1922,55,1867,0
1,1997.0,73.0,6.28536,336.0,1,1924,57,1867,0
1,1996.42,91.42,5.55988,390.42,1,1905,38,1867,0
1,1996.42,106.42,0.50039,92.15,1,1890,23,1867,0
1,1996.0,80.0,0.97466,78.54,1,1916,49,1867,0
1,1995.42,90.42,36.011,846.65,1,1905,38,1867,0
1,1994.42,72.42,63.91371,320.0,1,1922,55,1867,0
1,1993.42,93.42,11.79521,505.12,1,1900,33,1867,0
1,1993.0,63.0,4.91918,280.0,1,1930,63,1867,0
0,1992.25,69.25,,320.0,1,1923,56,1867,0
0,1991.42,91.42,,505.12,1,1900,33,1867,0
0,1990.92,67.92,,320.0,1,1923,56,1867,1
0,1989.0,81.0,,817.8,1,1908,41,1867,0
1,1989.0,69.0,14.91301,280.0,1,1920,53,1867,0
0,2008.92,83.92,,480.0,1,1925,54,1871,1
1,2008.75,82.75,1.49142,22.715,1,1926,55,1871,1
1,2008.5,62.5,0.95749,149.958,1,1946,75,1871,1
0,2008.08,70.08,,66.5,1,1938,67,1871,1
1,2008.0,93.0,0.7235,96.015,1,1915,44,1871,1
1,2007.92,91.92,52.57499,480.0,1,1916,45,1871,0
1,2007.92,99.92,16.99793,105.3,1,1908,37,1871,0
1,2007.92,90.92,114.24189,480.0,1,1917,46,1871,0
1,2007.75,77.75,0.57563,259.2,1,1930,59,1871,0
0,2007.67,78.67,,219.938,1,1929,58,1871,0
1,2007.42,79.42,4.83529,520.0,1,1928,57,1871,0
1,2006.92,98.92,28.41154,93.09,1,1908,37,1871,0
1,2006.92,60.92,18.08007,320.0,1,1946,75,1871,0
1,2006.5,93.5,1.98216,250.19,1,1913,42,1871,0
1,2006.42,91.42,98.49025,480.0,1,1915,44,1871,0
1,2006.25,90.25,0.6347,29.4,0,1916,45,1871,0
1,2006.25,61.25,1.50225,216.0,1,1945,74,1871,0
0,2006.0,80.0,,529.24,1,1926,55,1871,0
0,2006.0,76.0,,648.0,1,1930,59,1871,0
0,2006.0,60.0,,459.0,1,1946,75,1871,0
1,2005.92,80.92,14.48544,320.0,1,1925,54,1871,0
1,2005.75,97.75,13.07847,93.09,1,1908,37,1871,0
1,2005.0,94.0,161.12132,576.4,1,1911,40,1871,0
1,2005.0,93.0,3.65154,120.9,1,1912,41,1871,0
1,2005.0,86.0,422.76201,480.0,1,1919,48,1871,0
1,2005.0,57.0,23.13397,480.0,1,1948,77,1871,0
1,2005.0,86.0,38.10301,480.0,1,1919,48,1871,0
