state,state_nm,year,vote,margin,d,bin,margin2,margin3,margin4
5,Rhode Island,1958,82.7307281494,28.9716949463,1,27.5,839.3591308594,24317.65625,704523.6875
5,Rhode Island,1960,67.6594619751,37.7933578491,1,37.5,1428.337890625,53981.68359375,2040149.125
5,Rhode Island,1964,67.5422439575,65.4614562988,1,67.5,4285.2021484375,280515.59375,18362958.0
5,Rhode Island,1966,53.6829605103,35.3189239502,1,37.5,1247.4263916016,44057.7578125,1556072.625
5,Rhode Island,1970,42.0312042236,36.0814933777,1,37.5,1301.8741455078,46973.5625,1694876.375
5,Rhode Island,1972,75.1123962402,7.970375061,1,7.5,63.5268783569,506.3330383301,4035.6643066406
5,Rhode Island,1976,48.8021392822,-15.7089653015,0,-17.5,246.7715911865,-3876.5263671875,60896.21875
5,Rhode Island,1978,72.5525741577,50.2247924805,1,52.5,2522.5297851563,126693.53125,6363156.5
5,Rhode Island,1982,45.4074249268,-2.3957223892,0,-2.5,5.7394857407,-13.7502145767,32.941696167
5,Rhode Island,1984,61.8331985474,45.1051445007,1,47.5,2034.4741210938,91765.25,4139084.75
5,Rhode Island,1988,35.4766235352,-9.1851558685,0,-7.5,84.3670883179,-774.9248657227,7117.8056640625
5,Rhode Island,1990,63.4822235107,23.6663970947,1,22.5,560.0983276367,13255.509765625,313710.15625
5,Rhode Island,1996,78.3922805786,28.4304466248,1,27.5,808.2902832031,22980.0546875,653333.1875
5,Rhode Island,2000,53.4724235535,-15.7313232422,0,-17.5,247.4745330811,-3893.1018066406,61243.64453125
5,Rhode Island,2002,73.4044876099,56.8182106018,1,57.5,3228.3090820313,183426.75,10421979.0
6,Vermont,1922,28.4458847046,-35.8676223755,0,-37.5,1286.486328125,-46143.20703125,1655047.125
6,Vermont,1926,44.8495864868,-46.8860549927,0,-47.5,2198.3022460938,-103069.71875,4832532.5
6,Vermont,1934,33.5505867004,-2.6711850166,0,-2.5,7.1352295876,-19.0595169067,50.9114990234
6,Vermont,1944,21.9892120361,-31.6094398499,0,-32.5,999.1566772461,-31582.783203125,998314.0625
6,Vermont,1946,27.6724758148,-49.2705192566,0,-47.5,2427.583984375,-119608.328125,5893164.5
6,Vermont,1950,33.6044387817,-55.9991493225,0,-57.5,3135.9047851563,-175608.0,9833898.0
6,Vermont,1952,47.8423690796,-44.6446647644,0,-42.5,1993.1461181641,-88983.3359375,3972631.25
6,Vermont,1956,33.066116333,-32.7885437012,0,-32.5,1075.0886230469,-35250.58984375,1155815.5
6,Vermont,1958,46.5208396912,-4.3104438782,0,-2.5,18.5799255371,-80.0877304077,345.2136535645
6,Vermont,1962,0.0,-33.8677635193,0,-32.5,1147.025390625,-38847.18359375,1315667.25
6,Vermont,1964,40.2010345459,-6.9498004913,0,-7.5,48.2997283936,-335.6734619141,2332.8635253906
6,Vermont,1968,49.469783783,-99.8595733643,0,-97.5,9971.9345703125,-995793.125,99439472.0
6,Vermont,1974,49.7590484619,3.0860395432,1,2.5,9.523639679,29.390329361,90.69972229
6,Vermont,1976,47.2253456116,-4.6564397812,0,-2.5,21.6824321747,-100.9629364014,470.1278381348
6,Vermont,1980,63.1566352844,1.1684268713,1,2.5,1.3652213812,1.5951613188,1.8638293743
6,Vermont,1982,29.7649822235,-3.0416102409,0,-2.5,9.2513933182,-28.139131546,85.5882720947
6,Vermont,1986,54.1620140076,28.6594543457,1,27.5,821.3643188477,23539.853515625,674639.375
6,Vermont,1988,40.5665359497,-38.2048339844,0,-37.5,1459.609375,-55764.1328125,2130459.5
6,Vermont,1992,72.215423584,10.81686306,1,12.5,117.004524231,1265.6219482422,13690.0595703125
6,Vermont,1994,25.4253025055,-9.7495164871,0,-7.5,95.0530700684,-926.721496582,9035.0869140625
6,Vermont,1998,70.6270675659,49.7654571533,1,47.5,2476.6008300781,123249.1640625,6133551.0
6,Vermont,2004,64.3261642456,46.0840873718,1,47.5,2123.7431640625,97870.765625,4510285.0
11,Delaware,1922,39.0500526428,0.4339635372,1,2.5,0.1883243471,0.0817259029,0.03546606
11,Delaware,1928,46.1559410095,-21.8999004364,0,-22.5,479.6056518555,-10503.3154296875,230021.5625
11,Delaware,1930,52.9760360718,-9.1305103302,0,-7.5,83.3662185669,-761.1761474609,6949.9262695313
11,Delaware,1934,50.6335334778,-7.1173548698,0,-7.5,50.6567420959,-360.5419921875,2566.1052246094
11,Delaware,1936,44.9219284058,11.5806159973,1,12.5,134.1106719971,1553.0841064453,17985.671875
11,Delaware,1940,44.8494873047,3.3326177597,1,2.5,11.106341362,37.0131912231,123.3508148193
11,Delaware,1942,50.8538360596,-9.2464981079,0,-7.5,85.4977264404,-790.5545654297,7309.861328125
11,Delaware,1946,45.5083351135,-10.3010206223,0,-12.5,106.1110229492,-1093.0518798828,11259.5498046875
11,Delaware,1948,56.9434089661,2.5763630867,1,2.5,6.6376466751,17.1009883881,44.0583534241
11,Delaware,1952,46.7208862305,-8.9833345413,0,-7.5,80.700302124,-724.9577636719,6512.5385742188
11,Delaware,1954,49.2860221863,13.8868217468,1,12.5,192.8438110352,2677.9877929688,37188.73828125
11,Delaware,1958,48.2553825378,-6.5582275391,0,-7.5,43.0103492737,-282.0716552734,1849.8900146484
11,Delaware,1960,40.8816566467,-1.4279574156,0,-2.5,2.0390622616,-2.9116942883,4.1577754021
11,Delaware,1966,50.4751396179,-18.2366847992,0,-17.5,332.5766601563,-6065.0961914063,110607.2421875
11,Delaware,1970,43.6073265076,-18.7309112549,0,-17.5,350.8470458984,-6571.6845703125,123093.640625
11,Delaware,1972,57.9557228088,1.3758122921,1,2.5,1.8928594589,2.6042191982,3.582916975
11,Delaware,1976,44.2045440674,-12.2063131332,0,-12.5,148.9940795898,-1818.6684570313,22199.236328125
11,Delaware,1978,60.1105194092,16.9375362396,1,17.5,286.8801269531,4859.0424804688,82300.2109375
11,Delaware,1982,37.9386672974,-10.9677429199,0,-12.5,120.2913818359,-1319.3249511719,14470.017578125
11,Delaware,1984,62.6792907715,20.2210388184,1,22.5,408.890411377,8268.1884765625,167191.375
11,Delaware,1988,42.483253479,-24.1226673126,0,-22.5,581.9030761719,-14037.0546875,338611.1875
11,Delaware,1990,60.040058136,26.8462142944,1,27.5,720.7192382813,19348.58203125,519436.1875
11,Delaware,1994,55.5218811035,-13.3317260742,0,-12.5,177.7349243164,-2369.5131835938,31589.701171875
11,Delaware,1996,58.219909668,21.9081878662,1,22.5,479.9686889648,10515.244140625,230369.953125
11,Delaware,2000,67.1261978149,11.8265991211,1,12.5,139.8684539795,1654.1680908203,19563.181640625
11,Delaware,2002,64.6865158081,17.4160842896,1,17.5,303.3199768066,5282.646484375,92003.015625
12,New Jersey,1922,41.8404846191,10.8244924545,1,12.5,117.1696395874,1268.3018798828,13728.7236328125
12,New Jersey,1928,57.9023017883,-16.026720047,0,-17.5,256.8557434082,-4116.5551757813,65974.8828125
12,New Jersey,1936,45.8093719482,10.5629291534,1,12.5,111.5754699707,1178.5638427734,12449.0859375
12,New Jersey,1942,47.2978515625,-7.2826833725,0,-7.5,53.0374755859,-386.2551574707,2812.9738769531
12,New Jersey,1946,43.618888855,-18.38489151,0,-17.5,338.0042419434,-6214.1713867188,114246.8671875
12,New Jersey,1948,48.4682502747,-2.6903300285,0,-2.5,7.2378754616,-19.4722747803,52.386844635
12,New Jersey,1952,51.3909034729,-11.8881521225,0,-12.5,141.3281555176,-1680.1306152344,19973.6484375
12,New Jersey,1954,43.211139679,-0.1903355122,0,-2.5,0.0362276062,-0.0068954001,0.0013124396
12,New Jersey,1958,61.9106292725,4.4938983917,1,2.5,20.1951236725,90.7548294067,407.8429870605
12,New Jersey,1960,36.9843444824,-12.4766407013,0,-12.5,155.6665649414,-1942.1958007813,24232.078125
12,New Jersey,1964,54.0157432556,24.5881710052,1,22.5,604.578125,14865.470703125,365514.75
12,New Jersey,1966,34.5130767822,-23.0358448029,0,-22.5,530.6501464844,-12223.974609375,281589.5625
12,New Jersey,1970,60.660533905,11.8597326279,1,12.5,140.6532592773,1668.1099853516,19783.33984375
12,New Jersey,1972,55.3232002258,-27.9479598999,0,-27.5,781.0884399414,-21829.828125,610099.1875
12,New Jersey,1976,50.937877655,22.610748291,1,22.5,511.2459411621,11559.6533203125,261372.40625
12,New Jersey,1978,64.1586380005,12.1970949173,1,12.5,148.7691192627,1814.5511474609,22132.251953125
12,New Jersey,1984,50.4427719116,29.2768249512,1,27.5,857.1325073242,25094.1171875,734676.0625
12,New Jersey,1988,50.2941017151,8.3667545319,1,7.5,70.0025787354,585.6943969727,4900.361328125
12,New Jersey,1990,52.6793403625,3.0403585434,1,2.5,9.2437801361,28.1044063568,85.4474716187
12,New Jersey,1994,50.1129455566,3.2723426819,1,2.5,10.7082262039,35.0409889221,114.6661148071
12,New Jersey,1996,53.8763046265,10.1075019836,1,12.5,102.1615982056,1032.5985107422,10436.9921875
12,New Jersey,2002,56.0301170349,9.928694725,1,7.5,98.5789794922,978.760559082,9717.8154296875
13,New York,1922,49.076385498,11.5871963501,1,12.5,134.2631225586,1555.7331542969,18026.5859375
13,New York,1926,55.7739067078,4.0880737305,1,2.5,16.7123470306,68.3213043213,279.3025512695
13,New York,1928,55.3401222229,1.1834025383,1,2.5,1.4004415274,1.6572860479,1.9612365961
13,New York,1932,54.4838981628,17.2132492065,1,17.5,296.2959594727,5100.2158203125,87791.2890625
13,New York,1938,53.0585899353,9.5659704208,1,7.5,91.5077896118,875.3608398438,8373.67578125
13,New York,1940,47.4190635681,6.6017570496,1,7.5,43.5831947327,287.7256774902,1899.4949951172
13,New York,1946,36.1266822815,-5.1618723869,0,-7.5,26.6449260712,-137.5377044678,709.9520874023
13,New York,1950,46.7179298401,5.0677032471,1,7.5,25.6816158295,130.1468048096,659.5454101563
13,New York,1952,48.3748703003,-19.085226059,0,-17.5,364.2458496094,-6951.7143554688,132675.046875
13,New York,1956,40.1416091919,-6.5641403198,0,-7.5,43.0879364014,-282.8352661133,1856.5704345703
13,New York,1958,53.4671859741,-2.3740143776,0,-2.5,5.6359443665,-13.3798122406,31.7638683319
13,New York,1962,32.6774520874,-17.2378387451,0,-17.5,297.1430969238,-5122.1044921875,88294.015625
13,New York,1968,38.224899292,-17.0031490326,0,-17.5,289.1070861816,-4915.7309570313,83582.8984375
13,New York,1970,54.1570663452,-2.1644978523,0,-2.5,4.6850509644,-10.1407823563,21.9497032166
13,New York,1974,43.5361328125,-7.0959625244,0,-7.5,50.352684021,-357.3007507324,2535.3928222656
13,New York,1976,65.0660171509,9.2718925476,1,7.5,85.9679946899,797.0859985352,7390.4956054688
13,New York,1980,38.4229698181,-1.3465046883,0,-2.5,1.8130748272,-2.4413137436,3.2872405052
13,New York,1982,67.0197372437,30.9085845947,1,32.5,955.3405761719,29528.2265625,912675.6875
13,New York,1986,47.7826766968,-14.6042737961,0,-12.5,213.2848205566,-3114.8698730469,45490.41015625
13,New York,1988,55.1983604431,35.9687461853,1,37.5,1293.7507324219,46534.58984375,1673790.875
13,New York,1992,54.6172447205,-1.2509077787,0,-2.5,1.5647702217,-1.957383275,2.4485061169
13,New York,1994,55.2713699341,13.7286300659,1,12.5,188.4752807617,2587.5073242188,35522.93359375
13,New York,1998,71.1608657837,10.5351629257,1,12.5,110.989654541,1169.2941894531,12318.7041015625
13,New York,2000,67.0020599365,12.2654800415,1,12.5,150.4420013428,1845.2434082031,22632.794921875
13,New York,2004,66.3044433594,46.9165077209,1,47.5,2201.1586914063,103270.6796875,4845099.5
14,Pennsylvania,1922,33.997341156,-26.4454746246,0,-27.5,699.3630981445,-18494.990234375,489108.78125
14,Pennsylvania,1928,50.7770347595,-30.3809318542,0,-32.5,923.0010375977,-28041.630859375,851930.875
14,Pennsylvania,1932,44.4156112671,-6.2847909927,0,-7.5,39.4985961914,-248.2404327393,1560.1392822266
14,Pennsylvania,1934,51.7880783081,4.3206005096,1,2.5,18.6675891876,80.6551971436,348.4788818359
14,Pennsylvania,1938,49.9876403809,-10.287446022,0,-12.5,105.8315429688,-1088.736328125,11200.31640625
14,Pennsylvania,1940,39.8143768311,4.4251947403,1,2.5,19.5823478699,86.655708313,383.4683837891
14,Pennsylvania,1944,47.7387123108,0.6377875805,1,2.5,0.406773001,0.2594347596,0.1654642671
14,Pennsylvania,1946,47.9792175293,-19.4420452118,0,-17.5,377.9931335449,-7348.9594726563,142878.796875
14,Pennsylvania,1950,50.0817642212,-3.5597860813,0,-2.5,12.672077179,-45.1098823547,160.58152771
14,Pennsylvania,1952,48.3831481934,-3.5950601101,0,-2.5,12.92445755,-46.4641990662,167.041595459
14,Pennsylvania,1956,51.0641212463,0.3966957331,1,2.5,0.1573674977,0.0624270178,0.0247645322
14,Pennsylvania,1958,49.111240387,-2.827170372,0,-2.5,7.9928922653,-22.5972690582,63.8863258362
14,Pennsylvania,1962,45.7950286865,2.3664803505,1,2.5,5.6002292633,13.2528324127,31.3625679016
14,Pennsylvania,1964,45.3796806335,-1.470386982,0,-2.5,2.1620378494,-3.1790323257,4.674407959
14,Pennsylvania,1968,45.8944015503,-6.1004934311,0,-7.5,37.2160186768,-227.0360870361,1385.0321044922
14,Pennsylvania,1970,46.7842445374,-6.0459256172,0,-7.5,36.5532150269,-220.9980316162,1336.1376953125
14,Pennsylvania,1974,48.0391769409,-7.1078004837,0,-7.5,50.5208282471,-359.0919494629,2552.3540039063
14,Pennsylvania,1976,39.2042922974,-5.607003212,0,-7.5,31.4384841919,-176.275680542,988.3783569336
14,Pennsylvania,1980,42.8692169189,-2.4448127747,0,-2.5,5.9771094322,-14.6129140854,35.7258377075
14,Pennsylvania,1982,32.4454879761,-20.0730113983,0,-22.5,402.92578125,-8087.9340820313,162349.1875
14,Pennsylvania,1986,46.3301963806,-13.566822052,0,-12.5,184.0586547852,-2497.0910644531,33877.58984375
14,Pennsylvania,1992,34.7874679565,-2.7727544308,0,-2.5,7.6881670952,-21.3173999786,59.1079139709
14,Pennsylvania,1994,45.5090866089,-2.4822382927,0,-2.5,6.1615071297,-15.2943286896,37.9641685486
14,Pennsylvania,1998,41.9874420166,-26.5542297363,0,-27.5,705.1271362305,-18724.107421875,497204.25
14,Pennsylvania,2000,58.6365814209,-6.9069890976,0,-7.5,47.7064971924,-329.5082702637,2275.9099121094
21,Illinois,1924,64.0209884644,-28.1683959961,0,-27.5,793.4585571289,-22350.455078125,629576.4375
21,Illinois,1930,56.472076416,33.2906761169,1,32.5,1108.2691650391,36895.02734375,1228260.375
21,Illinois,1932,51.3298225403,6.2106518745,1,7.5,38.5721969604,239.5584869385,1487.8143310547
21,Illinois,1938,52.607624054,2.9951334,1,2.5,8.9708242416,26.8688144684,80.4756851196
21,Illinois,1942,55.0665931702,-6.8234262466,0,-7.5,46.5591468811,-317.6929016113,2167.7541503906
21,Illinois,1944,45.7570953369,5.5501847267,1,7.5,30.8045501709,170.9709472656,948.9203491211
21,Illinois,1948,53.5725822449,10.4537992477,1,12.5,109.2819213867,1142.4112548828,11942.5380859375
21,Illinois,1950,45.7200660706,-8.1253290176,0,-7.5,66.0209732056,-536.4421386719,4358.7685546875
21,Illinois,1954,54.6310081482,7.1452856064,1,7.5,51.0551071167,364.803314209,2606.6237792969
21,Illinois,1956,47.1260528564,-8.3817901611,0,-7.5,70.25440979,-588.8576660156,4935.681640625
21,Illinois,1960,43.8992462158,9.4348430634,1,7.5,89.0162658691,839.8544921875,7923.8950195313
21,Illinois,1962,46.5922546387,-5.7477087975,0,-7.5,33.0361557007,-189.8822021484,1091.3875732422
21,Illinois,1966,37.3456840515,-11.0471458435,0,-12.5,122.0394287109,-1348.1873779297,14893.623046875
21,Illinois,1972,45.4723472595,-24.86876297,0,-22.5,618.4553833008,-15380.2197265625,382487.03125
21,Illinois,1974,56.0106048584,24.9295139313,1,22.5,621.4806518555,15493.2109375,386238.21875
21,Illinois,1978,50.073059082,-7.8663291931,0,-7.5,61.8791351318,-486.7616577148,3829.02734375
21,Illinois,1980,65.12550354,13.5153264999,1,12.5,182.6640472412,2468.7641601563,33366.15625
21,Illinois,1984,65.068397522,1.8617033958,1,2.5,3.4659395218,6.4525513649,12.0127372742
