dateid01,g,inf,u
2007-07-01,1.022,0.633,4.7
2007-10-01,0.793,1.227,4.8
2008-01-01,-0.115,1.083,5.0
2008-04-01,0.986,1.301,5.3
2008-07-01,0.203,1.542,6.0
2008-10-01,-1.975,-2.29,6.9
2009-01-01,-1.141,-0.688,8.3
2009-04-01,-0.302,0.532,9.3
2009-07-01,0.305,0.86,9.6
2009-10-01,1.268,0.783,9.9
2010-01-01,0.787,0.159,9.8
2010-04-01,1.413,-0.035,9.6
2010-07-01,1.136,0.293,9.5
2010-10-01,1.146,0.81,9.5
2011-01-01,0.054,1.067,9.0
2011-04-01,1.46,1.137,9.1
2011-07-01,0.816,0.652,9.0
2011-10-01,1.272,0.449,8.6
2012-01-01,1.195,0.586,8.3
2012-04-01,0.927,0.202,8.2
2012-07-01,0.657,0.407,8.0
2012-10-01,0.428,0.711,7.8
2013-01-01,0.88,0.397,7.7
2013-04-01,0.524,-0.122,7.5
2013-07-01,1.214,0.507,7.3
2013-10-01,1.376,0.46,6.9
2014-01-01,0.157,0.583,6.7
2014-04-01,1.682,0.475,6.2
2014-07-01,1.46,0.228,6.1
2014-10-01,0.535,-0.078,5.7
2015-01-01,0.19,-0.724,5.6
2015-04-01,1.498,0.604,5.4
2015-07-01,0.818,0.342,5.2
2015-10-01,0.579,0.191,5.0
2016-01-01,0.31,-0.078,4.9
